Sample ID,Species,Sex,Collection_Date,Site,Latitude,Longitude,Time_Chill_Coma_minutes,Mass_Before_CTmax_mg,Mass_After_CTmax_mg,deltaMass_mg,CTmax_Celsius,Time_to_CTmax_min,28sReferenceGene_RawCT_Mean,Trypanosome_RawCT_Mean,Trypanosome_DeltaCT,Trypanosome_ddCT,Trypanosome_2^-ddCT,Trypanosome_log(2^-ddCT),Trypanosome_RelativeIntensity_AdjustedforThreshold,Vairimorpha_apis_RawCT_Mean,Vairimorpha_apis_DeltaCT,Vairimorpha_apis_ddCT,Vairimorpha_apis_2^-ddCT,Vairimorpha_apis_log(2^-ddCT),Vairimorpha_apis_RelativeIntensity_AdjustedforThreshold,Spiroplasma_apis_RawCT_Mean,Spiroplasma_apis_DeltaCT,Spiroplasma_apis_ddCT,Spiroplasma_apis_2^-ddCT,Spiroplasma_apis_log(2^-ddCT),Spiroplasma_apis_RelativeIntensity_AdjustedforThreshold
epl0469,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,58.1,48.9,-9.2,39.71,158.84,12.84237,31.32509,18.48272,-12.0677,4292.85,3.632746,3.632746,30.62242,17.78005,-10.8709,1872.721,3.272473,3.272473,41,28.15763,-3.11696,8.675597,0.938299,0
epl0470,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,79.1,68.3,-10.8,52.65,210.6,12.32344,34.7292,22.40576,-8.14468,283.0043,2.451793,2.451793,31.71194,19.3885,-9.26247,614.1597,2.788281,2.788281,41,28.67656,-2.59803,6.054606,0.782086,0
epl0471,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,66.2,58,-8.2,45.73,182.92,12.27337,34.32955,22.05618,-8.49426,360.6011,2.557027,2.557027,31.47824,19.20487,-9.4461,697.5245,2.843559,2.843559,41,28.72663,-2.54796,5.84808,0.767013,0
epl0472,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,114.6,102.7,-11.9,42.16,168.64,13.0599,33.03847,19.97857,-10.5719,1522.124,3.18245,3.18245,31.03117,17.97127,-10.6797,1640.25,3.21491,3.21491,41,27.9401,-3.33449,10.08747,1.003782,0
epl0473,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,98.2,77.7,-20.5,49.69,198.76,12.56792,33.27123,20.70331,-9.84713,921.0464,2.964282,2.964282,30.6361,18.06818,-10.5828,1533.689,3.185737,3.185737,35.96367,23.39575,-7.87884,235.3792,2.371768,0
epl0474,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,140.5,120.2,-20.3,45.93,183.72,12.12845,33.93856,21.81011,-8.74033,427.6628,2.631102,2.631102,30.74213,18.61368,-10.0373,1050.813,3.021525,3.021525,41,28.87155,-2.40304,5.289176,0.723388,0
epl0503,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,73.4,57.2,-16.2,47.52,190.08,12.97391,34.62634,21.65243,-8.89801,477.055,2.678568,2.678568,28.18967,15.21576,-13.4352,11076.48,4.044402,4.044402,26.31726,13.34335,-17.9312,249943.9,5.397843,5.397843
epl0504,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,68.2,55.1,-13.1,48.28,193.12,12.295,32.17044,19.87544,-10.675,1634.915,3.213495,3.213495,28.25421,15.95921,-12.6918,6616.076,3.8206,3.8206,13.89406,1.59906,-29.6755,8.57E+08,8.933226,8.933226
epl0505,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,77.5,60.3,-17.2,50.14,200.56,13.50517,36.45935,22.95418,-7.59626,193.5094,2.286702,0,29.35506,15.84989,-12.8011,7136.891,3.853509,3.853509,20.71602,7.21085,-24.0637,17535108,7.243908,7.243908
epl0506,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,87.6,77.1,-10.5,42.58,170.32,12.7405,32.75682,20.01632,-10.5341,1482.812,3.171086,3.171086,26.13276,13.39226,-15.2587,39203.91,4.593329,4.593329,23.12129,10.38079,-20.8938,1948325,6.289661,6.289661
epl0507,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,131.3,121,-10.3,47.68,190.72,11.19972,33.20141,22.00169,-8.54875,374.4813,2.57343,2.57343,28.53371,17.33399,-11.317,2551.235,3.40675,3.40675,31.90612,20.7064,-10.5682,1518.249,3.181343,3.181343
epl0508,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,121.1,87.6,-33.5,49.93,199.72,12.44077,34.49319,22.05242,-8.49802,361.5421,2.558159,2.558159,29.45614,17.01537,-11.6356,3181.739,3.502665,3.502665,33.91043,21.46966,-9.80493,894.4971,2.951579,2.951579
epl0509,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,39.3,34.5,-4.8,43.83,175.32,13.63341,33.76359,20.13018,-10.4203,1370.285,3.136811,3.136811,28.87811,15.2447,-13.4063,10856.49,4.035689,4.035689,41,27.36659,-3.908,15.01157,1.176426,0
epl0510,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,88.6,73.1,-15.5,45.36,181.44,12.827,33.25622,20.42922,-10.1212,1113.758,3.046791,3.046791,28.5776,15.7506,-12.9004,7645.367,3.883398,3.883398,37.55963,24.73263,-6.54196,93.18094,1.969327,0
epl0511,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,88.6,74.4,-14.2,47.5,190,13.80358,34.42122,20.61764,-9.9328,977.3964,2.990071,2.990071,30.3333,16.52972,-12.1213,4455.124,3.64886,3.64886,23.75374,9.95016,-21.3244,2625995,6.419294,6.419294
epl0512,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,61.4,49.5,-11.9,45.72,182.88,14.50142,33.15321,18.65179,-11.8987,3818.129,3.581851,3.581851,30.11477,15.61335,-13.0376,8408.426,3.924715,3.924715,16.04069,1.53927,-29.7353,8.94E+08,8.951224,8.951224
epl0513,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,132.3,113.4,-18.9,51.2,204.8,11.09779,33.21925,22.12146,-8.42898,344.648,2.537376,2.537376,31.31568,20.21789,-8.43308,345.6289,2.53861,2.53861,41,29.90221,-1.37238,2.588979,0.413128,0
epl0514,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,96,80.1,-15.9,49.96,199.84,13.11671,32.8456,19.72889,-10.8216,1809.719,3.257611,3.257611,30.65389,17.53718,-11.1138,2216.073,3.345584,3.345584,27.94064,14.82393,-16.4507,89565.97,4.952143,4.952143
epl0515,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,85.8,73.4,-12.4,47.73,190.92,13.26931,36.99473,23.72542,-6.82502,113.3798,2.054536,0,32.61123,19.34192,-9.30905,634.3125,2.802303,2.802303,20.48815,7.21884,-24.0558,17438263,7.241503,7.241503
epl0516,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,127.5,111.5,-16,45.71,182.84,11.43516,31.43165,19.99649,-10.554,1503.334,3.177056,3.177056,29.86623,18.43107,-10.2199,1192.605,3.076496,3.076496,29.8348,18.39964,-12.875,7511.852,3.875747,3.875747
epl0517,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,86.3,63.6,-22.7,46.13,184.52,11.60408,30.83636,19.23228,-11.3182,2553.322,3.407106,3.407106,30.96057,19.35649,-9.29448,627.9387,2.797917,2.797917,14.554,2.94992,-28.3247,3.36E+08,8.526576,8.526576
epl0518,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,113.7,88.1,-25.6,46.25,185,12.6147,35.29852,22.68382,-7.86662,233.3934,2.368089,0,30.27441,17.65971,-10.9913,2035.631,3.308699,3.308699,41,28.3853,-2.88929,7.409073,0.869764,0
epl0519,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,85.1,76.5,-8.6,40.96,163.84,12.54025,35.23693,22.69668,-7.85376,231.3222,2.364217,0,30.30704,17.76679,-10.8842,1890.012,3.276465,3.276465,26.09492,13.55467,-17.7199,215887.9,5.334228,5.334228
epl0520,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,104.7,90.4,-14.3,46.73,186.92,12.92656,31.6836,18.75704,-11.7934,3549.5,3.550167,3.550167,30.26032,17.33376,-11.3172,2551.642,3.40682,3.40682,36.1607,23.23414,-8.04045,263.2798,2.420418,0
epl0521,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,131.1,104.5,-26.6,45.57,182.28,11.86471,33.94997,22.08526,-8.46518,353.4053,2.548273,2.548273,30.04274,18.17803,-10.4729,1421.245,3.152669,3.152669,37.23453,25.36982,-5.90477,59.912,1.777514,0
epl0522,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,86.7,69.4,-17.3,47.19,188.76,13.64214,33.85634,20.2142,-10.3362,1292.761,3.111518,3.111518,30.71385,17.07171,-11.5793,3059.881,3.485705,3.485705,27.52193,13.87979,-17.3948,172328.6,5.236357,5.236357
epl0523,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,98.6,83.7,-14.9,46.93,187.72,12.25162,34.71701,22.46539,-8.08505,271.5455,2.433843,2.433843,31.10275,18.85113,-9.79984,891.3449,2.950046,2.950046,19.26015,7.00853,-24.2661,20174967,7.304813,7.304813
epl0524,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,157.6,136.4,-21.2,46.43,185.72,12.15044,33.60571,21.45527,-9.09517,546.9139,2.737919,2.737919,30.28283,18.13239,-10.5186,1466.926,3.166408,3.166408,19.59855,7.44811,-23.8265,14875997,7.172486,7.172486
epl0525,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,120.2,92.5,-27.7,48.18,192.72,12.26814,32.89574,20.6276,-9.92284,970.672,2.987072,2.987072,30.72587,18.45773,-10.1932,1170.768,3.068471,3.068471,41,28.73186,-2.54273,5.826918,0.765439,0
epl0526,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,68.7,63.8,-4.9,40.16,160.64,11.99721,34.82671,22.8295,-7.72094,210.9767,2.324235,2.324235,29.31079,17.31358,-11.3374,2587.584,3.412894,3.412894,17.31677,5.31956,-25.955,65049426,7.813243,7.813243
epl0527,Xenoglossa_pruinosa,Male,7/30/2019,Berwick,41.051,-76.33,156,90.3,76,-14.3,51.56,206.24,13.41088,34.04143,20.63055,-9.91989,968.6892,2.986184,2.986184,31.06029,17.64941,-11.0016,2050.216,3.3118,3.3118,12.55764,-0.85324,-32.1278,4.69E+09,9.671441,9.671441
epl0528,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,143.1,125.5,-17.6,48.14,192.56,12.36747,35.19831,22.83084,-7.7196,210.7809,2.323831,0,31.43203,19.06456,-9.58641,768.7709,2.885797,2.885797,41,28.63253,-2.64206,6.242236,0.79534,0
epl0529,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,118.5,93.5,-25,51.34,205.36,12.89148,32.76722,19.87574,-10.6747,1634.575,3.213405,3.213405,30.82223,17.93075,-10.7202,1686.972,3.227108,3.227108,35.89361,23.00213,-8.27246,309.2143,2.49026,0
epl0530,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,146.4,119.3,-27.1,48.27,193.08,11.8908,33.78148,21.89068,-8.65976,404.4339,2.606848,2.606848,30.676,18.7852,-9.86577,933.0238,2.969893,2.969893,41,29.1092,-2.16539,4.485886,0.651848,0
epl0531,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,105.7,96.6,-9.1,41.31,165.24,12.73722,32.91331,20.17609,-10.3744,1327.366,3.122991,3.122991,30.99184,18.25462,-10.3964,1347.762,3.129613,3.129613,41,28.26278,-3.01181,8.065774,0.906646,0
epl0532,Xenoglossa_pruinosa,Female,7/30/2019,Berwick,41.051,-76.33,156,130.3,115.8,-14.5,47.36,189.44,11.99905,32.89018,20.89113,-9.65931,808.6155,2.907742,2.907742,30.76964,18.77059,-9.88038,942.5204,2.974291,2.974291,38.17685,26.1778,-5.09679,34.2206,1.534288,0
epl0560,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,100.6,78.5,-22.1,46.67,186.68,12.39666,32.35907,19.96241,-10.588,1539.269,3.187315,3.187315,27.94271,15.54605,-13.1049,8809.962,3.944974,3.944974,33.62635,21.22969,-10.0449,1056.373,3.023817,3.023817
epl0561,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,136,108.7,-27.3,45.21,180.84,11.30212,33.10207,21.79995,-8.75049,430.6852,2.63416,2.63416,27.86939,16.56727,-12.0837,4340.664,3.637556,3.637556,31.13236,19.83024,-11.4444,2786.721,3.445094,3.445094
epl0562,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,124.5,110.2,-14.3,44.05,176.2,11.34706,32.62302,21.27596,-9.27448,619.2937,2.791897,2.791897,26.35899,15.01193,-13.639,12757.34,4.10576,4.10576,32.40631,21.05925,-10.2153,1188.843,3.075125,3.075125
epl0563,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,78.6,70.9,-7.7,46.63,186.52,12.29486,23.94446,11.6496,-18.9008,489462.9,5.68972,5.68972,27.69396,15.3991,-13.2519,9754.591,3.989209,3.989209,33.89386,21.599,-9.67559,817.7936,2.912644,2.912644
epl0564,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,122.2,92.9,-29.3,54.85,219.4,11.49864,32.43713,20.93849,-9.61195,782.5017,2.893485,2.893485,27.7325,16.23386,-12.4171,5469.184,3.737923,3.737923,32.6827,21.18406,-10.0905,1090.318,3.037553,3.037553
epl0565,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,71.4,63.3,-8.1,44.67,178.68,14.19229,34.11449,19.9222,-10.6282,1582.774,3.199419,3.199419,29.37308,15.18079,-13.4702,11348.23,4.054928,4.054928,38.51279,24.3205,-6.95409,123.9911,2.093391,0
epl0566,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,112.2,103.8,-8.4,41.21,164.84,12.53825,34.08719,21.54894,-9.0015,512.5326,2.709722,2.709722,27.52835,14.9901,-13.6609,12951.84,4.112332,4.112332,41,28.46175,-2.81284,7.026679,0.84675,0
epl0567,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,122.5,111.7,-10.8,47.55,190.2,12.72942,32.91029,20.18087,-10.3696,1322.975,3.121552,3.121552,28.06595,15.33653,-13.3144,10186.99,4.008046,4.008046,34.81155,22.08213,-9.19246,585.069,2.767207,2.767207
epl0568,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,124.6,114.9,-9.7,41.76,167.04,12.14238,32.66773,20.52535,-10.0251,1041.964,3.017853,3.017853,31.34222,19.19984,-9.45113,699.9606,2.845074,2.845074,36.17375,24.03137,-7.24322,151.5051,2.180427,0
epl0569,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,79.1,70.4,-8.7,39.66,158.64,13.20063,32.77028,19.56965,-10.9808,2020.911,3.305547,3.305547,28.14989,14.94926,-13.7017,13323.73,4.124626,4.124626,37.75119,24.55056,-6.72403,105.7148,2.024136,0
epl0570,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,183.9,138.3,-45.6,52.72,210.88,11.7886,33.59419,21.80559,-8.74485,429.0048,2.632462,2.632462,30.47096,18.68236,-9.96861,1001.961,3.000851,3.000851,32.68336,20.89476,-10.3798,1332.42,3.124641,3.124641
epl0571,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,103.9,89.8,-14.1,41.27,165.08,12.27539,18.55779,6.2824,-24.268,20202633,7.305408,7.305408,30.93666,18.66127,-9.9897,1016.715,3.007199,3.007199,32.71534,20.43995,-10.8346,1826.218,3.261553,3.261553
epl0572,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,51.5,47.7,-3.8,40.29,161.16,13.1882,36.98319,23.79499,-6.75545,108.0421,2.033593,0,31.8905,18.7023,-9.94867,988.2074,2.994848,2.994848,31.77051,18.58231,-12.6923,6618.474,3.820758,3.820758
epl0573,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,107.9,96.4,-11.5,41.31,165.24,12.09932,33.01788,20.91856,-9.63188,793.3865,2.899485,2.899485,30.79558,18.69626,-9.95471,992.3533,2.996666,2.996666,41,28.90068,-2.37391,5.183451,0.714619,0
epl0574,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,157.7,144.9,-12.8,42.06,168.24,12.37792,31.6638,19.28588,-11.2646,2460.2,3.39097,3.39097,30.20985,17.83193,-10.819,1806.573,3.256856,3.256856,32.38876,20.01084,-11.2638,2458.824,3.390728,3.390728
epl0575,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,111.1,99.6,-11.5,44.57,178.28,13.44965,31.67252,18.22287,-12.3276,5140.062,3.710968,3.710968,29.47892,16.02927,-12.6217,6302.463,3.79951,3.79951,32.88332,19.43367,-11.8409,3668.369,3.564473,3.564473
epl0576,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,134.5,123.5,-11,40.2,160.8,12.54228,34.40652,21.86424,-8.6862,411.9142,2.614807,2.614807,29.83482,17.29254,-11.3584,2625.597,3.419228,3.419228,37.87947,25.33719,-5.9374,61.28249,1.787336,0
epl0577,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,133.3,115.2,-18.1,45.85,183.4,12.67135,31.09941,18.42806,-12.1224,4458.615,3.6492,3.6492,30.5985,17.92715,-10.7238,1691.186,3.228191,3.228191,41,28.32865,-2.94594,7.705791,0.886817,0
epl0578,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,60.4,53,-7.4,43.18,172.72,11.8837,33.71459,21.83089,-8.71955,421.5471,2.624846,2.624846,30.65264,18.76894,-9.88203,943.5989,2.974787,2.974787,36.50014,24.61644,-6.65815,100.9959,2.004304,0
epl0579,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,157.1,125.9,-31.2,48.82,195.28,12.36511,33.29581,20.9307,-9.61974,786.7383,2.89583,2.89583,30.65281,18.2877,-10.3633,1317.21,3.119655,3.119655,41,28.63489,-2.6397,6.232034,0.79463,0
epl0580,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,148.5,139.9,-8.6,38.83,155.32,12.51787,33.76816,21.25029,-9.30015,630.4115,2.799624,2.799624,30.4082,17.89033,-10.7606,1734.904,3.239275,3.239275,33.07806,20.56019,-10.7144,1680.183,3.225357,3.225357
epl0581,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,146.8,131,-15.8,44.14,176.56,12.92229,34.476,21.55371,-8.99673,510.8408,2.708286,2.708286,30.6226,17.70031,-10.9507,1979.143,3.296477,3.296477,30.81468,17.89239,-13.3822,10676.88,4.028445,4.028445
epl0582,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,62.2,52.6,-9.6,43.42,173.68,12.42118,34.43705,22.01587,-8.53457,370.8187,2.569162,2.569162,30.34924,17.92806,-10.7229,1690.12,3.227918,3.227918,34.39621,21.97503,-9.29956,630.155,2.799447,2.799447
epl0583,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,59.1,55.7,-3.4,38.43,153.72,13.32048,31.34327,18.02279,-12.5277,5904.708,3.771198,3.771198,31.60657,18.28609,-10.3649,1318.681,3.12014,3.12014,31.40242,18.08194,-13.1927,9362.337,3.971384,3.971384
epl0584,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,78.3,72.2,-6.1,39.55,158.2,13.00941,33.85907,20.84966,-9.70078,832.1963,2.920226,2.920226,31.38942,18.38001,-10.271,1235.569,3.091867,3.091867,31.20038,18.19097,-13.0836,8680.864,3.938563,3.938563
epl0585,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,82.2,62.9,-19.3,45.56,182.24,12.71087,36.08123,23.37036,-7.18008,145.0172,2.161419,0,31.76429,19.05342,-9.59755,774.7301,2.88915,2.88915,41,28.28913,-2.98546,7.919795,0.898714,0
epl0586,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,57.2,49.7,-7.5,38.6,154.4,12.75015,32.21666,19.46651,-11.0839,2170.678,3.336595,3.336595,31.22336,18.47321,-10.1778,1158.273,3.063811,3.063811,41,28.24985,-3.02474,8.138388,0.910538,0
epl0587,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,52.1,44.3,-7.8,39.07,156.28,11.69602,32.90943,21.21341,-9.33703,646.7346,2.810726,2.810726,27.79736,16.10134,-12.5496,5995.357,3.777815,3.777815,36.04959,24.35357,-6.92102,121.1813,2.083436,0
epl0588,Xenoglossa_pruinosa,Female,7/31/2019,Wexford,40.612,-80.09,228,151.3,136.6,-14.7,42.01,168.04,12.74835,34.9488,22.20045,-8.34999,326.2853,2.513597,2.513597,31.38905,18.6407,-10.0103,1031.315,3.013392,3.013392,41,28.25165,-3.02294,8.12824,0.909997,0
epl0589,Xenoglossa_pruinosa,Male,7/31/2019,Wexford,40.612,-80.09,228,35.4,28.4,-7,40.65,162.6,13.70754,33.65612,19.94858,-10.6019,1554.096,3.191478,3.191478,31.69213,17.98459,-10.6664,1625.176,3.2109,3.2109,41,27.29246,-3.98213,15.80307,1.198741,0
epl0602,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,147.7,135.5,-12.2,42.31,169.24,11.92447,32.02375,20.09928,-10.4512,1399.95,3.146113,3.146113,26.67285,14.74838,-13.9026,15314.28,4.185097,4.185097,30.93584,19.01137,-12.2632,4915.843,3.691598,3.691598
epl0603,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,89.3,78.1,-11.2,44.74,178.96,13.24934,35.5032,22.25386,-8.29658,314.4267,2.497519,0,29.3017,16.05236,-12.5986,6202.396,3.79256,3.79256,30.30779,17.05845,-14.2161,19032.05,4.279485,4.279485
epl0604,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,120.2,92.9,-27.3,51.28,205.12,12.89144,32.28883,19.39739,-11.1531,2277.207,3.357403,3.357403,28.13021,15.23877,-13.4122,10901.21,4.037475,4.037475,30.1629,17.27146,-14.0031,16419.62,4.215363,4.215363
epl0605,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,99.6,65.1,-34.5,50.97,203.88,13.6528,33.90232,20.24952,-10.3009,1261.496,3.100886,3.100886,28.88823,15.23543,-13.4155,10926.47,4.03848,4.03848,32.23296,18.58016,-12.6944,6628.345,3.821405,3.821405
epl0606,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,121.6,88,-33.6,51.13,204.52,12.80652,33.87491,21.06839,-9.48205,715.1242,2.854381,2.854381,29.04179,16.23527,-12.4157,5463.842,3.737498,3.737498,31.90563,19.09911,-12.1755,4625.787,3.665186,3.665186
epl0607,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,116.2,90.3,-25.9,45.63,182.52,12.68615,32.36226,19.67611,-10.8743,1877.152,3.2735,3.2735,28.08923,15.40308,-13.2479,9727.747,3.988012,3.988012,34.54533,21.85918,-9.41541,682.8444,2.834322,2.834322
epl0608,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,106.7,88.5,-18.2,52.41,209.64,14.27171,30.87435,16.60264,-13.9478,15801.79,4.198706,4.198706,28.75383,14.48212,-14.1689,18418.27,4.265249,4.265249,34.91598,20.64427,-10.6303,1585.061,3.200046,3.200046
epl0609,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,127.5,109.1,-18.4,45.68,182.72,14.47294,33.41631,18.94337,-11.6071,3119.437,3.494076,3.494076,31.32908,16.85614,-11.7948,3553.02,3.550598,3.550598,32.15584,17.6829,-13.5917,12345.46,4.091507,4.091507
epl0610,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,92.8,66.4,-26.4,52.61,210.44,15.7046,20.35939,4.65479,-25.8957,62426273,7.795367,7.795367,30.50036,14.79576,-13.8552,14819.51,4.170834,4.170834,34.78704,19.08244,-12.1922,4679.546,3.670204,3.670204
epl0611,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,88.1,69.8,-18.3,44.18,176.72,12.43487,34.95859,22.52372,-8.02672,260.7855,2.416283,2.416283,30.16737,17.7325,-10.9185,1935.472,3.286787,3.286787,34.22987,21.795,-9.47959,713.9073,2.853642,2.853642
epl0612,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,148.3,138.5,-9.8,42.66,170.64,13.02873,35.86479,22.83606,-7.71438,210.0196,2.32226,0,30.22386,17.19513,-11.4558,2808.998,3.448551,3.448551,32.72472,19.69599,-11.5786,3058.488,3.485507,3.485507
epl0613,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,175.9,149.9,-26,43.14,172.56,12.08415,28.41806,16.33391,-14.2165,19037.15,4.279602,4.279602,29.999,17.91485,-10.7361,1705.667,3.231894,3.231894,37.14206,25.05791,-6.21668,74.37176,1.871408,0
epl0614,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,163.8,139.2,-24.6,44.47,177.88,11.90801,33.69523,21.78722,-8.76322,434.5023,2.637992,2.637992,31.72782,19.81981,-8.83116,455.4535,2.658444,2.658444,27.40419,15.49618,-15.7784,56205.08,4.749776,4.749776
epl0615,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,90.5,68.3,-22.2,49.69,198.76,13.04746,30.19836,17.1509,-13.3995,10805.96,4.033663,4.033663,32.08476,19.0373,-9.61367,783.4351,2.894003,2.894003,28.04916,15.0017,-16.2729,79182.45,4.898629,4.898629
epl0616,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,161.1,140.5,-20.6,41.78,167.12,12.69788,19.74828,7.0504,-23.5,11863612,7.074217,7.074217,30.2625,17.56462,-11.0864,2174.322,3.337324,3.337324,29.94478,17.2469,-14.0277,16701.53,4.222756,4.222756
epl0617,Xenoglossa_pruinosa,Female,8/1/2019,Tyrone,40.604,-78.22,106,147.6,129.8,-17.8,39.92,159.68,13.03294,31.89411,18.86117,-11.6893,3302.333,3.518821,3.518821,29.42435,16.39141,-12.2596,4903.377,3.690495,3.690495,36.76645,23.73351,-7.54108,186.2482,2.270092,0
epl0618,Xenoglossa_pruinosa,Male,8/1/2019,Tyrone,40.604,-78.22,106,113.7,89.4,-24.3,47.45,189.8,12.96434,31.13542,18.17108,-12.3794,5327.932,3.726559,3.726559,28.71853,15.75419,-12.8968,7626.366,3.882318,3.882318,36.68751,23.72317,-7.55142,187.5879,2.273205,0
