Treatment,Groups,Number,Body weight (mg)
0.004%GLS+dsSumf1,B,6,n/a
0.004%GLS+dsSumf1,B,7,156
0.004%GLS+dsSumf1,B,8,n/a
0.004%GLS+dsSumf1,B,9,n/a
0.004%GLS+dsSumf1,B,10,n/a
0.004%GLS+dsSumf1,B,11,n/a
0.004%GLS+dsSumf1,B,12,n/a
0.004%GLS+dsSumf1,B,13,127
0.004%GLS+dsSumf1,B,14,n/a
0.004%GLS+dsSumf1,B,15,n/a
0.004%GLS+dsSumf1,B,16,n/a
0.004%GLS+dsSumf1,B,17,n/a
0.004%GLS+dsSumf1,B,18,n/a
0.004%GLS+dsSumf1,C,1,136
0.004%GLS+dsSumf1,C,2,n/a
0.004%GLS+dsSumf1,C,3,173
0.004%GLS+dsSumf1,C,4,n/a
0.004%GLS+dsSumf1,C,5,n/a
0.004%GLS+dsSumf1,C,6,n/a
0.004%GLS+dsSumf1,C,7,n/a
0.004%GLS+dsSumf1,C,8,167
0.004%GLS+dsSumf1,C,9,n/a
0.004%GLS+dsSumf1,C,10,154
0.004%GLS+dsSumf1,C,11,n/a
0.004%GLS+dsSumf1,C,12,n/a
0.004%GLS+dsSumf1,C,13,n/a
0.004%GLS+dsSumf1,C,14,n/a
0.004%GLS+dsSumf1,C,15,n/a
0.004%GLS+dsSumf1,C,16,136
0.004%GLS+dsSumf1,C,17,n/a
0.004%GLS+dsSumf1,C,18,n/a
0.004%GLS+dsSumf1,C,19,n/a
0.04%GLS,A,1,207
0.04%GLS,A,2,n/a
0.04%GLS,A,3,236
0.04%GLS,A,4,n/a
0.04%GLS,A,5,n/a
0.04%GLS,A,6,195
0.04%GLS,A,7,n/a
0.04%GLS,A,8,209
0.04%GLS,A,9,n/a
0.04%GLS,A,10,221
0.04%GLS,A,11,n/a
0.04%GLS,A,12,216
0.04%GLS,A,13,n/a
0.04%GLS,A,14,n/a
0.04%GLS,A,15,231
0.04%GLS,A,16,193
0.04%GLS,A,17,n/a
0.04%GLS,A,18,216
0.04%GLS,B,1,n/a
0.04%GLS,B,2,n/a
0.04%GLS,B,3,252
0.04%GLS,B,4,n/a
0.04%GLS,B,5,n/a
