Treatment,Groups,Number,Pupa weight (mg)
0.04%GLS+dsEGFP,B,7,n/a
0.04%GLS+dsEGFP,B,8,n/a
0.04%GLS+dsEGFP,B,9,n/a
0.04%GLS+dsEGFP,B,10,n/a
0.04%GLS+dsEGFP,B,11,n/a
0.04%GLS+dsEGFP,B,12,n/a
0.04%GLS+dsEGFP,B,13,n/a
0.04%GLS+dsEGFP,B,14,n/a
0.04%GLS+dsEGFP,B,15,n/a
0.04%GLS+dsEGFP,B,16,271
0.04%GLS+dsEGFP,B,17,n/a
0.04%GLS+dsEGFP,B,18,n/a
0.04%GLS+dsEGFP,C,1,n/a
0.04%GLS+dsEGFP,C,2,n/a
0.04%GLS+dsEGFP,C,3,n/a
0.04%GLS+dsEGFP,C,4,n/a
0.04%GLS+dsEGFP,C,5,285
0.04%GLS+dsEGFP,C,6,n/a
0.04%GLS+dsEGFP,C,7,n/a
0.04%GLS+dsEGFP,C,8,n/a
0.04%GLS+dsEGFP,C,9,n/a
0.04%GLS+dsEGFP,C,10,n/a
0.04%GLS+dsEGFP,C,11,265
0.04%GLS+dsEGFP,C,12,n/a
0.04%GLS+dsEGFP,C,13,n/a
0.04%GLS+dsEGFP,C,14,n/a
0.04%GLS+dsEGFP,C,15,n/a
0.04%GLS+dsEGFP,C,16,n/a
0.04%GLS+dsEGFP,C,17,n/a
0.04%GLS+dsEGFP,C,18,n/a
0.04%GLS+dsEGFP,C,19,n/a
0.04%GLS+dsSumf1,A,1,n/a
0.04%GLS+dsSumf1,A,2,n/a
0.04%GLS+dsSumf1,A,3,n/a
0.04%GLS+dsSumf1,A,4,n/a
0.04%GLS+dsSumf1,A,5,n/a
0.04%GLS+dsSumf1,A,6,n/a
0.04%GLS+dsSumf1,A,7,n/a
0.04%GLS+dsSumf1,A,8,n/a
0.04%GLS+dsSumf1,A,9,n/a
0.04%GLS+dsSumf1,A,10,n/a
0.04%GLS+dsSumf1,A,11,208
0.04%GLS+dsSumf1,A,12,n/a
0.04%GLS+dsSumf1,A,13,n/a
0.04%GLS+dsSumf1,A,14,n/a
0.04%GLS+dsSumf1,A,15,n/a
0.04%GLS+dsSumf1,A,16,n/a
0.04%GLS+dsSumf1,A,17,n/a
