Feature ID,Gene Name,Control Average Birth Weight,Control Low Birth Weight,EDGE test: Fold change,EDGE test: Bonferroni,FDR p-value correction
ENSSSCG00000009133,ENSSSCG00000009133,301.13,334.67,2.631,0.272,0.0038
ENSSSCG00000040486,BIRC5,228.63,329,3.594,0,0.0001
ENSSSCG00000024614,ITSN1,265.38,320.56,2.618,0.217,0.0034
ENSSSCG00000040854,ENSSSCG00000040854,245,308.11,2.802,0.195,0.0031
ENSSSCG00000008659,ENSSSCG00000008659,323.38,306.11,2.374,0.721,0.007
ENSSSCG00000011102,NRP1,180.63,305.78,3.062,1,0.0397
ENSSSCG00000033655,TUBB2B,302.63,289.78,2.196,1,0.0322
ENSSSCG00000007790,PRR14,364,286,2.047,1,0.0175
ENSSSCG00000003903,ENSSSCG00000003903,246,275.44,2.336,1,0.0157
ENSSSCG00000032141,DUT,307.13,275.22,2.655,0.076,0.0019
ENSSSCG00000025672,RAVER2,40.75,266.33,14.211,0.002,0.0004
ENSSSCG00000020945,SMDT1,304.25,259.78,2.205,1,0.0247
ENSSSCG00000002749,ENSSSCG00000002749,292.63,253.89,2.596,1,0.0386
ENSSSCG00000050213,ENSSSCG00000050213,186.13,219.89,2.396,1,0.0168
ENSSSCG00000034723,PYCR1,184.25,217.89,3.03,0.034,0.0016
ENSSSCG00000032060,ENSSSCG00000032060,148.88,213.89,3.212,0.015,0.001
ENSSSCG00000000905,ENSSSCG00000000905,281.25,211.44,2.224,0.392,0.0047
ENSSSCG00000038804,HBQ1,134.63,209.56,2.799,1,0.0302
ENSSSCG00000017177,ENSSSCG00000017177,264.88,205.22,2.028,1,0.0435
ENSSSCG00000006542,KCNN3,131.75,199.78,2.681,1,0.0151
ENSSSCG00000033041,ENSSSCG00000033041,129.75,173,2.608,0.241,0.0035
ENSSSCG00000040770,CA1,93.38,172.33,3.586,1,0.0365
ENSSSCG00000007281,MAP1LC3A,128.88,163.78,2.666,1,0.0435
ENSSSCG00000007520,GNAS,114.5,162.22,2.722,1,0.0168
ENSSSCG00000012960,CST6,115.25,161.44,2.993,1,0.0146
ENSSSCG00000033566,ENSSSCG00000033566,98.5,161,3.539,1,0.0122
ENSSSCG00000015083,ENSSSCG00000015083,122.5,153.56,2.753,0.437,0.005
ENSSSCG00000011978,CPOX,172.63,150.44,2.163,1,0.0152
ENSSSCG00000029160,ENSSSCG00000029160,129.75,150.44,2.277,1,0.0163
ENSSSCG00000006325,MGST3,192.25,146.56,2.04,1,0.0192
ENSSSCG00000016570,TSPAN33,84.13,135.78,3.175,0.028,0.0013
ENSSSCG00000002009,PCK2,136,131.33,2.748,1,0.0087
ENSSSCG00000048264,ENSSSCG00000048264,86.13,127.56,2.901,1,0.0296
ENSSSCG00000013043,MACROD1,81.13,126.67,2.972,0.723,0.007
ENSSSCG00000023719,IFT20,128.63,120.89,2.203,1,0.0262
ENSSSCG00000012276,SYN1,102.38,118.44,4.214,1,0.0456
ENSSSCG00000010957,AGTPBP1,115.63,118.33,2.862,1,0.0233
ENSSSCG00000000359,BLOC1S1,118.75,113.22,2.347,1,0.009
ENSSSCG00000008094,CHCHD5,138.63,113.22,2.247,0.154,0.0029
ENSSSCG00000013573,TRAPPC5,141.88,111.22,2.031,1,0.0377
ENSSSCG00000003603,COL16A1,95.5,109.67,2.554,1,0.0252
ENSSSCG00000035567,ENSSSCG00000035567,82.25,109.22,3.078,0.037,0.0016
ENSSSCG00000006136,RMDN1,114.63,107.67,2.263,1,0.0292
ENSSSCG00000012280,UXT,103.38,101.44,2.563,0.094,0.002
ENSSSCG00000016567,STRIP2,98.75,99.44,2.273,1,0.0444
ENSSSCG00000013730,KLF1,53.38,96,3.829,0.081,0.0019
ENSSSCG00000035170,VSIG4,53.25,93.22,3.847,1,0.0158
ENSSSCG00000017971,ENSSSCG00000017971,90.88,90.22,2.391,1,0.0174
ENSSSCG00000039854,ENSSSCG00000039854,64.88,90,2.393,1,0.0126
ENSSSCG00000005047,CDKN3,65,85.44,3.094,0.569,0.006
ENSSSCG00000032113,ENSSSCG00000032113,59.75,83.44,3.491,0.192,0.0031
ENSSSCG00000038901,CLDN15,73.5,81.89,2.329,1,0.0246
ENSSSCG00000023498,HSPB6,54,79.22,2.846,0.05,0.0018
ENSSSCG00000026318,NETO2,27.38,78.89,5.706,1,0.0141
ENSSSCG00000024043,ADAMTS2,25.5,77.89,6.625,0.205,0.0033
ENSSSCG00000014910,ENSSSCG00000014910,71.88,70.22,2.498,0.056,0.0018
ENSSSCG00000046793,ENSSSCG00000046793,28.38,66.89,4.927,0.081,0.0019
ENSSSCG00000048933,ENSSSCG00000048933,54.63,65.56,2.422,1,0.0155
ENSSSCG00000033606,ENSSSCG00000033606,45.63,63.89,3.299,0.503,0.0055
ENSSSCG00000044013,ENSSSCG00000044013,63,63.11,2.4,0.413,0.0048
ENSSSCG00000041356,ENSSSCG00000041356,41.38,61.22,2.78,0.303,0.004
ENSSSCG00000039465,ENSSSCG00000039465,15.5,54.56,7.835,0,0
ENSSSCG00000029945,GCAT,19.88,53.67,6.301,0.966,0.0086
ENSSSCG00000038543,CENPA,54.63,53.33,2.691,0.008,0.0007
ENSSSCG00000003247,ENSSSCG00000003247,11.63,51.22,11.71,0.05,0.0018
ENSSSCG00000034914,ENSSSCG00000034914,377.38,47.33,-3.445,1,0.0396
ENSSSCG00000045769,ENSSSCG00000045769,48.25,47,2.667,1,0.0294
ENSSSCG00000028807,SNORA16A,13.13,46.78,6.811,0.161,0.0029
ENSSSCG00000012558,PIH1D3,14,43.78,5.136,0.579,0.006
ENSSSCG00000015322,TFPI2,12.5,43.44,6.302,1,0.0451
ENSSSCG00000041512,ENSSSCG00000041512,32.75,43.44,3.327,1,0.0112
ENSSSCG00000015785,CENPU,41.75,42.56,2.742,0.083,0.0019
ENSSSCG00000028284,KCND1,16.38,41.56,5.628,0.554,0.006
ENSSSCG00000003403,CENPS,26.63,40.56,3.483,0.157,0.0029
ENSSSCG00000032188,METTL26,44.88,39.11,2.235,1,0.0296
ENSSSCG00000049532,ENSSSCG00000049532,15.13,33.67,4.249,1,0.0255
ENSSSCG00000044205,ENSSSCG00000044205,18.63,33.33,3.164,1,0.0485
ENSSSCG00000007147,HSPA12B,18.25,32.78,3.75,0.005,0.0005
ENSSSCG00000049831,ENSSSCG00000049831,17.88,32.44,3.664,1,0.0325
ENSSSCG00000033142,ENDOU,9.25,32.11,7.475,0.102,0.0021
ENSSSCG00000032047,ENSSSCG00000032047,31.75,31.22,2.58,1,0.0275
ENSSSCG00000033451,ENSSSCG00000033451,26,28.44,2.619,1,0.0135
ENSSSCG00000016295,NGEF,0.63,27.67,56.645,0.564,0.006
ENSSSCG00000035738,ENSSSCG00000035738,21.25,26.56,3.029,1,0.0126
ENSSSCG00000036305,SMIM1,16.13,26.44,3.57,0.277,0.0038
ENSSSCG00000035436,HAMP,14.88,26.33,3.967,1,0.0365
ENSSSCG00000039862,TRIB3,19,26,3.614,0.546,0.0059
ENSSSCG00000000046,CYP2D25,22,23.22,3.005,1,0.0247
ENSSSCG00000004744,TYRO3,12,22.89,4.39,0.739,0.007
ENSSSCG00000030538,CDCP2,20.13,22.78,2.89,0.253,0.0036
ENSSSCG00000039053,VGF,4.13,21.89,13.272,0.005,0.0005
ENSSSCG00000003109,TMEM160,17,21.22,3.492,0.154,0.0029
ENSSSCG00000031616,FOSB,22.25,20.11,2.011,1,0.0365
ENSSSCG00000039861,HDHD3,16.38,19.44,2.596,1,0.0246
ENSSSCG00000035473,ENSSSCG00000035473,6,18.67,5.383,0.084,0.0019
ENSSSCG00000001550,ARMC12,7.88,18.22,5.002,1,0.0386
ENSSSCG00000008983,CCDC158,11.5,18.22,2.86,1,0.0438
ENSSSCG00000049262,ENSSSCG00000049262,15.75,18.22,2.433,1,0.0189
ENSSSCG00000016571,ENSSSCG00000016571,9.88,17.33,4.77,0.023,0.0013
ENSSSCG00000024024,CX3CR1,135.25,17.11,-3.168,1,0.0113
ENSSSCG00000008349,CNRIP1,12.88,16.56,2.804,1,0.0121
ENSSSCG00000002051,ABHD4,10.5,15.22,3.34,1,0.0213
ENSSSCG00000031244,GAP43,9.75,15.22,3.097,1,0.0258
ENSSSCG00000038650,TLCD1,9,14.33,3.64,1,0.0414
ENSSSCG00000036975,PSRC1,8.25,13.67,3.964,1,0.0252
ENSSSCG00000017671,RNFT1,54.75,12.67,-2.051,1,0.0267
ENSSSCG00000004419,SLC16A10,9.63,12,3.481,1,0.045
ENSSSCG00000039663,TWSG1,57.5,11.67,-2.034,1,0.0289
ENSSSCG00000000371,PMEL,3.25,11.44,6.609,1,0.0126
ENSSSCG00000002937,ENSSSCG00000002937,47.88,11.11,-2.063,1,0.0249
ENSSSCG00000011171,CTSV,5.5,10.56,4.107,1,0.0265
ENSSSCG00000015862,LIMS2,5,9.89,3.533,1,0.0325
ENSSSCG00000028135,PRTFDC1,5.88,9.56,3.882,0.383,0.0046
ENSSSCG00000038057,TAC4,4.13,9.33,4.783,1,0.0157
ENSSSCG00000039983,GJA4,2.5,9.33,6.89,1,0.0404
ENSSSCG00000003905,RAD54L,58.75,8.44,-2.779,1,0.0471
ENSSSCG00000013311,KIAA1549L,3.13,8.22,4.914,1,0.0267
ENSSSCG00000040057,EOMES,54,7.78,-3.09,0.024,0.0013
ENSSSCG00000031751,ENSSSCG00000031751,4.5,6.67,4.713,1,0.0252
ENSSSCG00000022347,WNT11,0.88,6.33,11.934,1,0.0095
ENSSSCG00000028066,SPRYD4,34.13,5.89,-2.429,0.673,0.0067
ENSSSCG00000046736,ENSSSCG00000046736,0.63,5.56,15.496,0.044,0.0018
ENSSSCG00000042772,ENSSSCG00000042772,2.38,5.33,5.991,1,0.0225
ENSSSCG00000009100,TNIP3,57.25,5.11,-3.694,0.297,0.004
ENSSSCG00000047720,ENSSSCG00000047720,2,4.33,5.497,1,0.0362
ENSSSCG00000040359,GOLGA7B,1.38,4,5.987,1,0.0415
ENSSSCG00000038667,ENSSSCG00000038667,29,3.89,-3,1,0.0291
ENSSSCG00000045184,ENSSSCG00000045184,1,3.89,7.959,1,0.0088
ENSSSCG00000025022,ENSSSCG00000025022,0.25,3,18.215,1,0.0487
ENSSSCG00000026387,ENSSSCG00000026387,1,2.67,5.925,1,0.0463
ENSSSCG00000043726,ENSSSCG00000043726,1.13,2.67,5.357,1,0.0486
ENSSSCG00000003508,KIF17,0.13,2.22,21.83,1,0.0168
ENSSSCG00000031374,ENSSSCG00000031374,14.5,1.78,-3.454,1,0.0456
ENSSSCG00000034802,ENSSSCG00000034802,9.13,0.89,-5.982,1,0.0388
ENSSSCG00000004284,ENSSSCG00000004284,7.75,0.22,-14.416,0.949,0.0086
ENSSSCG00000005498,PAPPA,5.25,0.11,-13.025,1,0.0192
ENSSSCG00000041036,ENSSSCG00000041036,4.25,0.11,-11.603,1,0.0252
