Species,Protocol,RunID,Elapsed,A,Ci,Tleaf,CO2_r,PAR,VPDleaf
Tobacco,DAT,DAT_1,359.5,22.60302298,985.7182096,24.99991111,1222.783333,1000.017667,1.495208365
Tobacco,DAT,DAT_1,364.5,22.7801791,999.8614517,25.0117,1238.611,999.9603,1.497138005
Tobacco,DAT,DAT_1,369.5,22.62878506,1017.858272,25.00768889,1255.758889,999.9707778,1.496142546
Tobacco,DAT,DAT_1,374.5,22.57863211,1033.388318,25.01283,1270.752,999.943,1.497410997
Tobacco,DAT,DAT_1,379.5,22.76813506,1049.36449,25.01392222,1288.302222,999.9652222,1.499150928
Tobacco,DAT,DAT_1,384.5,22.49745357,1065.538368,25.01396,1304.134,999.9817,1.500752095
Tobacco,DAT,DAT_1,414.5,22.83544612,1160.364273,25.02294,1404.669,1000.027,1.506404486
Tobacco,DAT,DAT_1,419.5,22.34349786,1180.52224,25.01882222,1422.444444,1000.016667,1.507443524
Tobacco,DAT,DAT_1,424.5,22.22954644,1195.852297,25.0197,1438.335,999.9551,1.508326223
Tobacco,DAT,DAT_1,429.5,22.77265655,1209.606564,25.02127778,1455.926667,999.9747778,1.509241667
Tobacco,Monotonic,Monotonic_2,0,18.75597556,288.670022,24.99181,399.9762,1000.0032,1.487290483
Tobacco,Monotonic,Monotonic_2,120.5,-0.275123265,49.71275981,24.9992,50.01019,1000.0756,1.489615904
Tobacco,Monotonic,Monotonic_2,241,2.982807323,81.82593133,24.99382,100.00096,999.9478,1.488550601
Tobacco,Monotonic,Monotonic_2,361.5,6.30776657,114.2941639,25.00759,150.0209,1000.044,1.490586294
Tobacco,Monotonic,Monotonic_2,482,9.338398801,148.610458,24.99547,200.0308,1000.012,1.489981518
Tobacco,Monotonic,Monotonic_2,602.5,12.19766921,184.0733319,24.99053,249.9806,1000.009,1.489381432
Tobacco,Monotonic,Monotonic_2,723,14.78979403,220.7823746,24.99279,299.997,1000.0012,1.492662053
Tobacco,Monotonic,Monotonic_2,843.5,17.12100505,258.9762806,24.99655,350.0207,999.9795,1.492338278
Tobacco,Monotonic,Monotonic_2,964.4000001,19.78192944,314.6857536,25.00049,419.962,999.9758,1.493494396
Tobacco,Monotonic,Monotonic_2,1084.9,21.67920575,383.3873757,25.00966,499.9965,999.9776,1.494857043
