IDO1,CCR7,FOXP3,CD4,PDCD1,CCL22,EPCAM,CCL19,CD8A,CXCL10,CD3E,TCF7,AF_R3,AF_R2,AF_R1,nucleus_perim,slide,x,y,type,comp
0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21.4443,MSa29_05,16835,4075,Other,MSa29_05_1
0,3,1,21,3,0,0,6,0,0,3,1,0,0,0,44.883415,MSa29_05,16893,4088.5,CCL19+ cells,MSa29_05_1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16847,4087,Other,MSa29_05_1
0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,16.457253,MSa29_05,16864.5,4087.5,CCL19+ cells,MSa29_05_1
0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,11.968911,MSa29_05,16903.5,4095,TCF7- CD4 T cells,MSa29_05_1
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9.974092,MSa29_05,16846,4100,Other,MSa29_05_1
0,0,4,6,0,0,0,1,0,0,0,0,0,0,0,21.943005,MSa29_05,16862.5,4104,CCL19+ cells,MSa29_05_1
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,22.441708,MSa29_05,16834,4108,CCL19+ cells,MSa29_05_1
0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,14.961139,MSa29_05,16905,4107,CCL19+ cells,MSa29_05_1
0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,16.457253,MSa29_05,16875.5,4109.5,CCL19+ cells,MSa29_05_1
0,0,18,6,0,0,0,1,0,0,0,0,0,0,0,13.465025,MSa29_05,16851,4111,CCL19+ cells,MSa29_05_1
0,0,4,15,4,0,0,3,0,0,0,0,0,0,0,12.467616,MSa29_05,16891,4114.5,CCL19+ cells,MSa29_05_1
0,0,1,8,1,0,0,2,0,0,0,0,0,0,0,20.44689,MSa29_05,16861.5,4125.5,CCL19+ cells,MSa29_05_1
0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,15.958549,MSa29_05,16907.5,4123,Other,MSa29_05_1
0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,24.436527,MSa29_05,16846,4129.5,CCL19+ cells,MSa29_05_1
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18.950775,MSa29_05,16875,4130,Other,MSa29_05_1
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16890.5,4133,Other,MSa29_05_1
0,0,1,35,0,0,0,2,0,0,0,0,0,0,0,26.93005,MSa29_05,16824.5,4139,CCL19+ cells,MSa29_05_1
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18.452072,MSa29_05,16904,4138,Other,MSa29_05_1
1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,28.92487,MSa29_05,16862,4154.5,Other,MSa29_05_1
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17.454662,MSa29_05,16902,4152.5,Other,MSa29_05_1
0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16882.5,4156,Other,MSa29_05_1
0,0,2,19,1,0,0,0,0,0,1,0,0,0,0,22.441708,MSa29_05,16833,4159.5,Other,MSa29_05_1
0,0,7,21,0,2,0,0,0,0,0,0,0,0,0,28.426165,MSa29_05,16859.5,3461.5,Other,MSa29_05_1
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16799,3459.5,Other,MSa29_05_1
0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,28.92487,MSa29_05,16761,3472.5,Other,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35.408028,MSa29_05,16878.5,3474.5,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,17.454662,MSa29_05,16786.5,3480.5,TCF7- CD4 T cells,MSa29_05_1
6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,20.945595,MSa29_05,16850.5,3479,Other,MSa29_05_1
