CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2018,3,COTA,8,PHAF,8,5.444961343,0.28001914,3.00E-04,0.0114
Nov_2018,3,COTA,8,REAR,8,5.570121832,0.284623769,2.00E-04,0.0096
Nov_2018,3,COTA,8,SYCA,8,5.346225838,0.276344641,2.00E-04,0.0096
Nov_2018,3,COTA,8,TRAN,8,15.53416959,0.52597279,4.00E-04,0.0128
Nov_2018,3,COTA,8,TRST,8,10.12771695,0.419754466,4.00E-04,0.0128
Nov_2018,3,HINI,8,KOEL,8,3.054843134,0.179118806,0.0037,0.0315
Nov_2018,3,HINI,8,LOAF,8,3.372996694,0.194151691,1.00E-04,0.0055
Nov_2018,3,HINI,8,OUOU,8,4.248575559,0.232816833,5.00E-04,0.0128
Nov_2018,3,HINI,8,PHAF,8,4.218693338,0.231558502,7.00E-04,0.0147
Nov_2018,3,HINI,8,REAR,8,3.59759597,0.204436787,7.00E-04,0.0147
Nov_2018,3,HINI,8,SYCA,8,4.680386201,0.250550826,0.0025,0.03
Nov_2018,3,HINI,8,TRAN,8,9.583225889,0.406357719,4.00E-04,0.0128
Nov_2018,3,HINI,8,TRST,8,6.602810844,0.320481069,2.00E-04,0.0096
Nov_2018,3,KOEL,8,LOAF,8,1.77257734,0.112383493,0.0313,0.2191
Nov_2018,3,KOEL,8,OUOU,8,1.509407255,0.097322047,0.1211,0.492
Nov_2018,3,KOEL,8,PHAF,8,1.100949146,0.072905957,0.3518,0.7036
Nov_2018,3,KOEL,8,REAR,8,0.49073047,0.03386513,0.9055,0.9055
Nov_2018,3,KOEL,8,SYCA,8,4.318734043,0.235755049,0.0029,0.03
Nov_2018,3,KOEL,8,TRAN,8,5.759769206,0.2914897,5.00E-04,0.0128
Nov_2018,3,KOEL,8,TRST,8,4.106423221,0.226793728,3.00E-04,0.0114
Nov_2018,3,LOAF,8,OUOU,8,2.388227389,0.145728231,0.0019,0.0288
Nov_2018,3,LOAF,8,PHAF,8,3.197259485,0.185916802,0.0016,0.0272
Nov_2018,3,LOAF,8,REAR,8,2.353340493,0.143905797,0.0035,0.0315
Nov_2018,3,LOAF,8,SYCA,8,3.619206573,0.205412574,0.0018,0.0288
Nov_2018,3,LOAF,8,TRAN,8,3.714341649,0.209679915,0.002,0.0288
Nov_2018,3,LOAF,8,TRST,8,3.305616285,0.191014075,4.00E-04,0.0128
Nov_2018,3,OUOU,8,PHAF,8,2.823571609,0.167834255,0.0013,0.0234
Nov_2018,3,OUOU,8,REAR,8,1.610900365,0.10319074,0.0984,0.492
Nov_2018,3,OUOU,8,SYCA,8,6.632675213,0.321464626,1.00E-04,0.0055
Nov_2018,3,OUOU,8,TRAN,8,5.216095282,0.271444079,2.00E-04,0.0096
Nov_2018,3,OUOU,8,TRST,8,3.423555971,0.196490084,6.00E-04,0.0132
Nov_2018,3,PHAF,8,REAR,8,1.426393149,0.092464462,0.1603,0.492
Nov_2018,3,PHAF,8,SYCA,8,7.975762646,0.36293451,2.00E-04,0.0096
Nov_2018,3,PHAF,8,TRAN,8,7.730579602,0.35574659,3.00E-04,0.0114
Nov_2018,3,PHAF,8,TRST,8,5.365027378,0.27704724,3.00E-04,0.0114
Nov_2018,3,REAR,8,SYCA,8,5.698819185,0.289297502,4.00E-04,0.0128
Nov_2018,3,REAR,8,TRAN,8,6.350021225,0.31204003,4.00E-04,0.0128
Nov_2018,3,REAR,8,TRST,8,4.478168324,0.242349147,1.00E-04,0.0055
Nov_2018,3,SYCA,8,TRAN,8,14.20961667,0.503715341,1.00E-04,0.0055
