CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,4,HINI,8,REAR,8,9.698487345,0.409244995,2.00E-04,0.0102
Apr_2019,4,HINI,8,SYCA,8,6.966526225,0.332268977,7.00E-04,0.0126
Apr_2019,4,HINI,8,TRST,8,21.93550521,0.610413158,2.00E-04,0.0102
Apr_2019,4,COTA,8,KOEL,8,1.988500033,0.124370643,0.0707,0.1294
Apr_2019,4,COTA,8,LOAF,8,8.246648586,0.370691727,3.00E-04,0.0126
Apr_2019,4,COTA,8,OUOU,8,4.803328106,0.255450954,6.00E-04,0.0126
Apr_2019,4,COTA,8,PHAF,8,1.994361232,0.124691521,0.0647,0.1294
Apr_2019,4,COTA,8,REAR,8,8.896981863,0.388565703,7.00E-04,0.0126
Apr_2019,4,COTA,8,SYCA,8,5.975754295,0.29915037,0.0013,0.0126
Apr_2019,4,COTA,8,TRST,8,20.98119333,0.599784951,3.00E-04,0.0126
Apr_2019,4,KOEL,8,LOAF,8,7.298505175,0.342676874,5.00E-04,0.0126
Apr_2019,4,KOEL,8,OUOU,8,3.638629665,0.206287548,5.00E-04,0.0126
Apr_2019,4,KOEL,8,PHAF,8,2.595824933,0.156414336,0.0129,0.0387
Apr_2019,4,KOEL,8,REAR,8,7.488176292,0.348478912,3.00E-04,0.0126
Apr_2019,4,KOEL,8,SYCA,8,3.747417902,0.211152852,5.00E-04,0.0126
Apr_2019,4,KOEL,8,TRST,8,19.49893513,0.582076268,4.00E-04,0.0126
Apr_2019,4,LOAF,8,OUOU,8,2.819623703,0.167638929,9.00E-04,0.0126
Apr_2019,4,LOAF,8,PHAF,8,9.422674436,0.40228858,3.00E-04,0.0126
Apr_2019,4,LOAF,8,REAR,8,2.805858629,0.166957172,9.00E-04,0.0126
Apr_2019,4,LOAF,8,SYCA,8,5.533772189,0.283292553,2.00E-04,0.0102
Apr_2019,4,LOAF,8,TRST,8,6.056228394,0.301962476,3.00E-04,0.0126
Apr_2019,4,OUOU,8,PHAF,8,4.86829574,0.258014598,3.00E-04,0.0126
Apr_2019,4,OUOU,8,REAR,8,2.523521627,0.15272299,0.0076,0.0304
Apr_2019,4,OUOU,8,SYCA,8,3.410684456,0.195896058,0.0021,0.0147
Apr_2019,4,OUOU,8,TRST,8,7.343497597,0.344062521,3.00E-04,0.0126
Apr_2019,4,PHAF,8,REAR,8,8.292379632,0.371982703,2.00E-04,0.0102
Apr_2019,4,PHAF,8,SYCA,8,6.954668869,0.331891137,3.00E-04,0.0126
Apr_2019,4,PHAF,8,TRST,8,20.15401773,0.590092149,5.00E-04,0.0126
Apr_2019,4,REAR,8,SYCA,8,6.331037346,0.311397655,4.00E-04,0.0126
Apr_2019,4,REAR,8,TRST,8,7.921351365,0.361353241,3.00E-04,0.0126
