CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Jul_2016,3,COTA,8,TRAN,8,10.39896105,0.426205076,4.00E-04,0.0156
Jul_2016,3,COTA,8,TRST,8,11.17972632,0.443997134,4.00E-04,0.0156
Jul_2016,3,HINI,8,KOEL,8,3.386083448,0.194758265,0.0048,0.0912
Jul_2016,3,HINI,8,LOAF,8,4.500648074,0.243269752,1.00E-04,0.0055
Jul_2016,3,HINI,8,OUOU,8,4.044219365,0.224128253,4.00E-04,0.0156
Jul_2016,3,HINI,8,PHAF,8,1.899565627,0.1194728,0.0944,0.3776
Jul_2016,3,HINI,8,REAR,8,4.052778199,0.224496094,0.0017,0.0391
Jul_2016,3,HINI,8,SYCA,8,4.0148251,0.222862286,0.0024,0.0504
Jul_2016,3,HINI,8,TRAN,8,7.415727605,0.346274838,4.00E-04,0.0156
Jul_2016,3,HINI,8,TRST,8,7.931364738,0.361644833,2.00E-04,0.0098
Jul_2016,3,KOEL,8,LOAF,8,2.596770658,0.156462405,0.0136,0.1815
Jul_2016,3,KOEL,8,OUOU,8,1.001436475,0.066756039,0.3509,0.7833
Jul_2016,3,KOEL,8,PHAF,8,2.409724315,0.146847337,0.0263,0.1917
Jul_2016,3,KOEL,8,REAR,8,0.497483129,0.034315138,0.8555,0.8555
Jul_2016,3,KOEL,8,SYCA,8,2.807117532,0.167019569,0.0163,0.1815
Jul_2016,3,KOEL,8,TRAN,8,4.666542871,0.249995026,5.00E-04,0.0156
Jul_2016,3,KOEL,8,TRST,8,5.208195611,0.271144449,3.00E-04,0.0135
Jul_2016,3,LOAF,8,OUOU,8,2.958154325,0.17443846,0.0059,0.1062
Jul_2016,3,LOAF,8,PHAF,8,3.725080683,0.210158743,4.00E-04,0.0156
Jul_2016,3,LOAF,8,REAR,8,3.896178644,0.217710089,5.00E-04,0.0156
Jul_2016,3,LOAF,8,SYCA,8,3.586045931,0.203914282,7.00E-04,0.0189
Jul_2016,3,LOAF,8,TRAN,8,3.024461859,0.177653889,0.0025,0.0504
Jul_2016,3,LOAF,8,TRST,8,4.278112092,0.234056563,0.001,0.026
Jul_2016,3,OUOU,8,PHAF,8,2.818377217,0.167577239,0.0142,0.1815
Jul_2016,3,OUOU,8,REAR,8,1.245196139,0.081677935,0.2611,0.7833
Jul_2016,3,OUOU,8,SYCA,8,2.671881021,0.160262721,0.0326,0.1917
Jul_2016,3,OUOU,8,TRAN,8,4.893528146,0.259005523,2.00E-04,0.0098
Jul_2016,3,OUOU,8,TRST,8,5.632007546,0.28687884,3.00E-04,0.0135
Jul_2016,3,PHAF,8,REAR,8,2.519099534,0.152496177,0.0222,0.1917
Jul_2016,3,PHAF,8,SYCA,8,4.103531141,0.226670206,6.00E-04,0.0168
Jul_2016,3,PHAF,8,TRAN,8,5.609710363,0.286067987,3.00E-04,0.0135
Jul_2016,3,PHAF,8,TRST,8,6.055912969,0.301951498,3.00E-04,0.0135
Jul_2016,3,REAR,8,SYCA,8,3.319509874,0.191663038,0.0082,0.1394
Jul_2016,3,REAR,8,TRAN,8,5.809182972,0.293257071,4.00E-04,0.0156
Jul_2016,3,REAR,8,TRST,8,6.355728266,0.31223291,1.00E-04,0.0055
Jul_2016,3,SYCA,8,TRAN,8,6.546102585,0.318605563,1.00E-04,0.0055
Jul_2016,3,SYCA,8,TRST,8,7.03350867,0.334395406,2.00E-04,0.0098
Jul_2016,3,TRAN,8,TRST,8,2.489445118,0.150972037,0.0213,0.1917
Jul_2016,4,AEME,8,COTA,8,5.63902549,0.287133671,3.00E-04,0.0138
Jul_2016,4,AEME,8,HINI,8,5.926630033,0.297422596,3.00E-04,0.0138
Jul_2016,4,AEME,8,KOEL,8,1.387584208,0.090175572,0.1541,0.6164
Jul_2016,4,AEME,8,LOAF,8,2.541098872,0.153623341,0.0012,0.0252
Jul_2016,4,AEME,8,OUOU,8,1.933956235,0.121373261,0.0777,0.3885
Jul_2016,4,AEME,8,PHAF,8,2.692505455,0.161300259,0.0077,0.1001
Jul_2016,4,AEME,8,REAR,8,2.278040783,0.139945637,0.0275,0.265
Jul_2016,4,AEME,8,SYCA,8,5.79665099,0.292809677,0.0011,0.0242
Jul_2016,4,AEME,8,TRAN,8,2.804295095,0.166879663,0.0028,0.0448
Jul_2016,4,AEME,8,TRST,8,5.796896215,0.292818437,1.00E-04,0.0055
Jul_2016,4,COTA,8,HINI,8,7.470298175,0.347936396,4.00E-04,0.014
Jul_2016,4,COTA,8,KOEL,8,6.340950476,0.311733244,0.0041,0.0574
Jul_2016,4,COTA,8,LOAF,8,7.248636573,0.341134197,2.00E-04,0.0106
Jul_2016,4,COTA,8,OUOU,8,7.333295393,0.343748833,0.0014,0.0252
Jul_2016,4,COTA,8,PHAF,8,2.878403079,0.170537643,0.0325,0.265
Jul_2016,4,COTA,8,REAR,8,3.991863325,0.221870479,0.0195,0.2316
Jul_2016,4,COTA,8,SYCA,8,12.32501531,0.468186444,4.00E-04,0.014
Jul_2016,4,COTA,8,TRAN,8,10.67197205,0.43255448,2.00E-04,0.0106
Jul_2016,4,COTA,8,TRST,8,18.9558415,0.575189121,3.00E-04,0.0138
Jul_2016,4,HINI,8,KOEL,8,6.618255359,0.320990076,4.00E-04,0.014
Jul_2016,4,HINI,8,LOAF,8,6.14204884,0.304936647,6.00E-04,0.0162
Jul_2016,4,HINI,8,OUOU,8,7.723030311,0.355522696,2.00E-04,0.0106
Jul_2016,4,HINI,8,PHAF,8,2.443514639,0.148600509,0.0366,0.265
Jul_2016,4,HINI,8,REAR,8,4.90248723,0.259356728,0.0013,0.0252
Jul_2016,4,HINI,8,SYCA,8,8.898731415,0.388612419,3.00E-04,0.0138
Jul_2016,4,HINI,8,TRAN,8,9.786139907,0.411421943,2.00E-04,0.0106
Jul_2016,4,HINI,8,TRST,8,17.23744126,0.551819886,2.00E-04,0.0106
Jul_2016,4,KOEL,8,LOAF,8,3.560232206,0.202744028,7.00E-04,0.0175
Jul_2016,4,KOEL,8,OUOU,8,1.530789846,0.098564842,0.1631,0.6164
Jul_2016,4,KOEL,8,PHAF,8,2.786252431,0.165984185,0.0193,0.2316
Jul_2016,4,KOEL,8,REAR,8,2.262765921,0.139137828,0.0444,0.2664
Jul_2016,4,KOEL,8,SYCA,8,6.290897479,0.310035447,0.0031,0.0465
Jul_2016,4,KOEL,8,TRAN,8,5.267477636,0.273386986,4.00E-04,0.014
Jul_2016,4,KOEL,8,TRST,8,8.997153133,0.391228996,3.00E-04,0.0138
Jul_2016,4,LOAF,8,OUOU,8,4.082134873,0.225755139,8.00E-04,0.0184
Jul_2016,4,LOAF,8,PHAF,8,3.758409282,0.2116411,1.00E-04,0.0055
Jul_2016,4,LOAF,8,REAR,8,3.619292758,0.205416461,3.00E-04,0.0138
Jul_2016,4,LOAF,8,SYCA,8,6.468502231,0.316022255,3.00E-04,0.0138
Jul_2016,4,LOAF,8,TRAN,8,3.028089105,0.177829062,0.0012,0.0252
Jul_2016,4,LOAF,8,TRST,8,6.535928358,0.318267976,4.00E-04,0.014
Jul_2016,4,OUOU,8,PHAF,8,2.561082221,0.154644617,0.0265,0.265
Jul_2016,4,OUOU,8,REAR,8,1.112866148,0.073637002,0.3082,0.6164
Jul_2016,4,OUOU,8,SYCA,8,8.00340456,0.363734827,7.00E-04,0.0175
Jul_2016,4,OUOU,8,TRAN,8,6.088424413,0.303081232,2.00E-04,0.0106
Jul_2016,4,OUOU,8,TRST,8,10.16128975,0.420560734,3.00E-04,0.0138
Jul_2016,4,PHAF,8,REAR,8,1.366132165,0.088905402,0.2123,0.6164
Jul_2016,4,PHAF,8,SYCA,8,6.242555298,0.308387711,4.00E-04,0.014
Jul_2016,4,PHAF,8,TRAN,8,5.360387404,0.276873974,5.00E-04,0.0145
Jul_2016,4,PHAF,8,TRST,8,8.955991703,0.390137434,3.00E-04,0.0138
Jul_2016,4,REAR,8,SYCA,8,6.528457526,0.318019876,6.00E-04,0.0162
Jul_2016,4,REAR,8,TRAN,8,5.503051856,0.282163627,3.00E-04,0.0138
Jul_2016,4,REAR,8,TRST,8,9.222245349,0.397129787,5.00E-04,0.0145
Jul_2016,4,SYCA,8,TRAN,8,9.684908509,0.408906309,2.00E-04,0.0106
Jul_2016,4,SYCA,8,TRST,8,17.23300789,0.551756269,3.00E-04,0.0138
Jul_2016,4,TRAN,8,TRST,8,4.167764438,0.229404364,0.0014,0.0252
Jul_2016,5,AEME,8,COTA,8,3.709212429,0.20945101,0.0013,0.0276
Jul_2016,5,AEME,8,HINI,8,5.557469468,0.284160969,1.00E-04,0.0055
Jul_2016,5,AEME,8,KOEL,8,1.645419857,0.105169428,0.0619,0.5571
Jul_2016,5,AEME,8,LOAF,8,3.020538359,0.177464325,3.00E-04,0.0114
Jul_2016,5,AEME,8,OUOU,8,1.788663864,0.113287855,0.0919,0.7352
Jul_2016,5,AEME,8,PHAF,8,3.120317349,0.182258149,0.0012,0.0276
Jul_2016,5,AEME,8,REAR,8,1.644472048,0.105115215,0.1177,0.8239
Jul_2016,5,AEME,8,SYCA,8,5.761090463,0.291537072,1.00E-04,0.0055
Jul_2016,5,AEME,8,TRAN,8,2.06786287,0.128695576,0.0194,0.291
Jul_2016,5,AEME,8,TRST,8,5.421429267,0.279146771,6.00E-04,0.0162
Jul_2016,5,COTA,8,HINI,8,4.566233328,0.245942903,0.0063,0.1071
Jul_2016,5,COTA,8,KOEL,8,1.456732777,0.094245841,0.1655,0.948
Jul_2016,5,COTA,8,LOAF,8,5.398148913,0.278281651,1.00E-04,0.0055
Jul_2016,5,COTA,8,OUOU,8,3.535242909,0.201607866,0.0129,0.2064
Jul_2016,5,COTA,8,PHAF,8,2.681474068,0.160745631,0.0557,0.557
Jul_2016,5,COTA,8,REAR,8,1.256472029,0.082356657,0.2852,0.948
Jul_2016,5,COTA,8,SYCA,8,7.948413672,0.36214069,1.00E-04,0.0055
Jul_2016,5,COTA,8,TRAN,8,6.395225002,0.313564817,4.00E-04,0.0116
Jul_2016,5,COTA,8,TRST,8,10.64444883,0.43192075,3.00E-04,0.0114
Jul_2016,5,HINI,8,KOEL,8,2.383946639,0.145505029,0.024,0.336
Jul_2016,5,HINI,8,LOAF,8,6.353088661,0.312143713,3.00E-04,0.0114
Jul_2016,5,HINI,8,OUOU,8,6.434280229,0.314876774,2.00E-04,0.009
Jul_2016,5,HINI,8,PHAF,8,3.171869905,0.184713134,0.0317,0.4121
Jul_2016,5,HINI,8,REAR,8,3.142193261,0.183301705,0.0037,0.0666
Jul_2016,5,HINI,8,SYCA,8,8.031478012,0.364545584,9.00E-04,0.0216
Jul_2016,5,HINI,8,TRAN,8,8.590545474,0.380271715,1.00E-04,0.0055
Jul_2016,5,HINI,8,TRST,8,15.05265819,0.518116383,1.00E-04,0.0055
Jul_2016,5,KOEL,8,LOAF,8,2.504158588,0.151728946,0.002,0.04
Jul_2016,5,KOEL,8,OUOU,8,1.448038561,0.093736079,0.1592,0.948
Jul_2016,5,KOEL,8,PHAF,8,2.051184226,0.127790211,0.0404,0.4444
Jul_2016,5,KOEL,8,REAR,8,0.595314845,0.040788078,0.7926,0.9632
Jul_2016,5,KOEL,8,SYCA,8,3.540411143,0.20184311,0.0028,0.0532
Jul_2016,5,KOEL,8,TRAN,8,3.376818405,0.194328923,3.00E-04,0.0114
Jul_2016,5,KOEL,8,TRST,8,6.444972403,0.315235075,2.00E-04,0.009
Jul_2016,5,LOAF,8,OUOU,8,4.287005083,0.234429042,1.00E-04,0.0055
Jul_2016,5,LOAF,8,PHAF,8,4.581985293,0.246582118,2.00E-04,0.009
Jul_2016,5,LOAF,8,REAR,8,3.146960293,0.183528756,5.00E-04,0.014
