REFrank,InstCode,Institution,GPA,pct_foreign_PGs,cite_impact,h_index,graduate_salary,entry_tariff,pct_disab_stud,pct_ADHD_stud,pct_employed_grad,pct_deprived_stud,num_FTEs_submit,pct_phd_faculty,stud_satisfact,expend_per_stud,stud_staff_ratio,career_prospect,univ_income,pctStateSchools,websci_docs
84,0071,Nottingham Trent University,2.59,.387065649,1.09,39,1.983983159,316,.06,.03,.917,.323000014,246,.222580645,79,4.922947416,19.4719377,56.03896104,202690,.9310000000000001,2543
85,0067,Middlesex University,2.58,.434988171,.92,26,2.120967865,284,.05,.03,.872,.505999982,272,.388888889,79,7.534528964,21.93511711,48.02158273,180515,.986,1998
85,0079,Teesside University,2.58,.200501248,1.09,25,2.125,316,.06,.025,.867,.469000012,87,.28,82,5.415912409,19.49387164,52.81690141,125164,.988,1036
89,0026,University of Bedfordshire,2.52,.5657894610000001,1.46,24,2.151098728,225,.05,.023,.872,.456999987,153,.295774648,79,5.85941605,19.38053027,53.39412361,133493,.983,1029
87,0062,University of Lincoln,2.54,.316628695,.88,21,1.952290058,336,.1,.045,.917,.375,177,.298136646,82,4.057781527,18.80319005,65.75,103037,.974,1163
89,0048,Bath Spa University,2.52,.097989947,.92,7,1.640909195,330,.11,.068,.9379999999999999,.384000003,74,.261261261,84,3.777830865,21.614108,51.01604278,52526,.944,286
93,0053,University of Central Lancashire,2.51,.215686277,.97,48,2.041497946,332,.05,.025,.922,.430000007,247,.316872428,82,5.766598625,18.5,51.69491525,193773,.978,2957
89,0076,London South Bank University,2.52,.188388631,.83,24,2.474489927,230,.07,.04,.855,.474999994,102,.152941176,77,4.45561287,22.43055114,56.08465608,137854,.978,1172
95,0082,University of Chichester,2.5,.041420117,.77,17,1.93589747,303,.11,.071,.9360000000000001,.340000004,52,.206896552,87,3.235444688,18.42907595,50.0777605,45493,.964,340
98,0012,Canterbury Christ Church University,2.38,.047413792,.77,19,2.143548489,271,.08,.047,.9290000000000001,.361999989,137,.333333333,82,3.252271716,17.59505013,59.17159763,121910,.97,698
100,0047,Anglia Ruskin University,2.37,.341642231,1.58,24,2.157303333,248,.06,.032,.9260000000000001,.395999998,168,.239316239,76,8.009163803,19.13744112,50.14306152,179463,.963,1076
98,0054,University of Gloucestershire,2.38,.126984134,.76,21,1.857142806,288,.07,.04,.943,.342000008,56,.277777778,83,4.606793119,21.35146315,50.09363296,69335,.958,685
103,0059,University of Greenwich,2.33,.43610549,1.04,32,2.130000114,304,.06,.031,.859,.54400003,202,.321705426,84,4.492274121,22.12075338,51.00950119,187627,.979,2271
104,0021,University of Winchester,2.32,.051587302,1.02,11,1.9375,318,.1,.055,.899,.316000015,73,.273684211,81,2.657621666,18.53782943,46.51474531,52631,.97,547
