Test;Test301;;;;;;;;;;;;;;;;;;;;;
Mud;MA;;;;;;;;;;;;;;;Column 1 was misplaced in the outer left position. The backlight quality at this location influenced the processing of these images in a negative way;;;;;;
Duration;;;;;;;;;;;;;;;;;;;;;;
Column;Col1;;;;;;;;;;;;;;;;;;;;;
ClimateDataFile;C:\_data\18_005 slibkolom\Proefbeelden kolommen\Run 3\Test301_MA\Test301_ClimatedataHal3.csv;;;;;;;;;;;;;;;;;;;;;
Time Stamp;C:\_projects\18_005_MudConsolidationColumns\Processing\Branch\10SmallColumns\Source\TFS\TFS_Tubes_v1\TFS_Tubes_col1_Test301.ini;;;;;;;;;;;;;;;;;;;;;
Timestamp;Timestamp [s];ImageNr;Image1;Image2;Image3;Temperature [°C];Relative Humidity [%];Column1 [px];Column1 Valid;Column2 [px];Column2 Valid;Column3 [px];Column3 Valid;;;;;? Z1;;? Z2;;? Z3
27/05/2020 2:11;50400;57;Image20200527-011149_57_65.000.bmp;Image20200527-011149_57_80.000.bmp;Image20200527-011149_57_120.000.bmp;;;18.298.929;TRUE;18.420.477;TRUE;18.908.954;TRUE;;;900;;35.471;;25.331;;24.637
27/05/2020 2:26;51299;58;Image20200527-012648_58_65.000.bmp;Image20200527-012648_58_80.000.bmp;Image20200527-012648_58_120.000.bmp;;;18.322.590;TRUE;18.446.479;TRUE;18.933.331;TRUE;;;899;;23.661;;26.002;;24.377
27/05/2020 2:41;52200;59;Image20200527-014149_59_65.000.bmp;Image20200527-014149_59_80.000.bmp;Image20200527-014149_59_120.000.bmp;;;18.341.313;TRUE;18.470.906;TRUE;18.956.747;TRUE;;;901;;18.723;;24.427;;23.416
27/05/2020 2:56;53100;60;Image20200527-015649_60_65.000.bmp;Image20200527-015649_60_80.000.bmp;Image20200527-015649_60_120.000.bmp;;;18.369.638;TRUE;18.493.608;TRUE;18.979.670;TRUE;;;900;;28.325;;22.702;;22.923
27/05/2020 3:11;53999;61;Image20200527-021148_61_65.000.bmp;Image20200527-021148_61_80.000.bmp;Image20200527-021148_61_120.000.bmp;;;18.384.626;TRUE;18.517.797;TRUE;19.002.269;TRUE;;;899;;14.988;;24.189;;22.599
27/05/2020 3:26;54900;62;Image20200527-022649_62_65.000.bmp;Image20200527-022649_62_80.000.bmp;Image20200527-022649_62_120.000.bmp;;;18.408.781;TRUE;18.541.506;TRUE;19.025.703;TRUE;;;901;;24.155;;23.709;;23.434
27/05/2020 3:41;55800;63;Image20200527-024149_63_65.000.bmp;Image20200527-024149_63_80.000.bmp;Image20200527-024149_63_120.000.bmp;;;18.432.556;TRUE;18.566.098;TRUE;19.048.624;TRUE;;;900;;23.775;;24.592;;22.921
27/05/2020 3:56;56700;64;Image20200527-025649_64_65.000.bmp;Image20200527-025649_64_80.000.bmp;Image20200527-025649_64_120.000.bmp;;;18.453.636;TRUE;18.588.065;TRUE;19.070.580;TRUE;;;900;;21.080;;21.967;;21.956
27/05/2020 4:11;57600;65;Image20200527-031149_65_65.000.bmp;Image20200527-031149_65_80.000.bmp;Image20200527-031149_65_120.000.bmp;;;18.475.915;TRUE;18.609.926;TRUE;19.091.519;TRUE;;;900;;22.279;;21.861;;20.939
27/05/2020 4:26;58500;66;Image20200527-032649_66_65.000.bmp;Image20200527-032649_66_80.000.bmp;Image20200527-032649_66_120.000.bmp;;;18.497.030;TRUE;18.631.511;TRUE;19.112.777;TRUE;;;900;;21.115;;21.585;;21.258
