,source,target,type,weight,bottleneck_flux,norm_bottleneck_flux
16989,1530,1530,Undirected,8,0.0,0.0
16990,1697,449,Undirected,2,0.0,0.0
16991,940,1924,Undirected,1,0.0,0.0
16992,989,989,Undirected,127,0.0,0.0
16993,1730,1302,Undirected,2,0.0,0.0
16994,1285,1886,Undirected,11,0.0,0.0
16995,371,1796,Undirected,2,0.0,0.0
16996,62,975,Undirected,46,0.0,0.0
16997,1305,1159,Undirected,1,0.0,0.0
16998,1860,1884,Undirected,2,0.0,0.0
16999,1769,1847,Undirected,1,0.0,0.0
17000,1416,1757,Undirected,5,0.0,0.0
17001,980,1375,Undirected,51,0.0,0.0
17002,56,985,Undirected,3,0.0,0.0
17003,1046,1046,Undirected,13,0.0,0.0
17004,713,37,Undirected,18,0.0,0.0
17005,1429,1429,Undirected,50,0.0,0.0
17006,1375,911,Undirected,2,0.0,0.0
17007,1410,1519,Undirected,13,0.0,0.0
17008,1248,814,Undirected,27,0.0,0.0
17009,191,191,Undirected,133,0.0,0.0
17010,1274,1717,Undirected,11,0.0,0.0
17011,1155,1987,Undirected,3,0.0,0.0
17012,1584,854,Undirected,1,0.0,0.0
17013,793,1028,Undirected,3,0.0,0.0
17014,408,20,Undirected,5,0.0,0.0
17015,450,1819,Undirected,2,0.0,0.0
17016,1851,965,Undirected,2,0.0,0.0
17017,672,672,Undirected,31,0.0,0.0
17018,1468,1831,Undirected,2,0.0,0.0
17019,980,1325,Undirected,2,0.0,0.0
17020,1571,1516,Undirected,5,0.0,0.0
17021,728,1404,Undirected,4,0.0,0.0
17022,1250,1855,Undirected,2,0.0,0.0
17023,917,1359,Undirected,1,0.0,0.0
17024,1418,1812,Undirected,2,0.0,0.0
17025,496,1484,Undirected,6,0.0,0.0
17026,1018,1484,Undirected,112,0.0,0.0
17027,1913,1630,Undirected,27,0.0,0.0
17028,1618,1375,Undirected,1,0.0,0.0
17029,1334,1334,Undirected,11,0.0,0.0
17030,957,957,Undirected,26,0.0,0.0
17031,1194,1375,Undirected,3,0.0,0.0
17032,480,1199,Undirected,1,0.0,0.0
17033,1827,686,Undirected,7,0.0,0.0
17034,660,660,Undirected,26,0.0,0.0
17035,1240,1925,Undirected,13,0.0,0.0
17036,229,381,Undirected,1,0.0,0.0
17037,1680,1247,Undirected,14,7.015392770550623e-07,0.6035991811810262
17038,874,1780,Undirected,3,0.0,0.0
17039,931,197,Undirected,6,0.0,0.0
17040,1152,1796,Undirected,6,0.0,0.0
17041,1421,1421,Undirected,12,0.0,0.0
17042,1760,1162,Undirected,1,0.0,0.0
17043,1235,1582,Undirected,16,0.0,0.0
17044,1079,975,Undirected,2,0.0,0.0
17045,1977,1156,Undirected,8,0.0,0.0
17046,1940,1302,Undirected,1,0.0,0.0
17047,986,778,Undirected,2,0.0,0.0
17048,1565,94,Undirected,4,0.0,0.0
17049,1355,877,Undirected,2,0.0,0.0
17050,1355,183,Undirected,1,0.0,0.0
17051,265,1801,Undirected,3,0.0,0.0
17052,1944,1639,Undirected,4,0.0,0.0
17053,1476,1686,Undirected,1,0.0,0.0
17054,801,1142,Undirected,1,0.0,0.0
17055,1026,173,Undirected,1,0.0,0.0
17056,1681,1681,Undirected,245,0.0,0.0
17057,1321,43,Undirected,4,0.0,0.0
17058,689,818,Undirected,6,4.089050134419836e-07,0.3518188351912132
17059,1499,887,Undirected,1,0.0,0.0
17060,1338,499,Undirected,4,0.0,0.0
17061,1737,1964,Undirected,1,0.0,0.0
17062,687,895,Undirected,2,0.0,0.0
17063,311,1119,Undirected,2,0.0,0.0
17064,1633,509,Undirected,2,0.0,0.0
17065,1681,1754,Undirected,7,0.0,0.0
17066,1434,1989,Undirected,1,0.0,0.0
17067,1086,567,Undirected,1,0.0,0.0
17068,1716,1207,Undirected,41,0.0,0.0
17069,1296,1463,Undirected,12,0.0,0.0
17070,1945,1995,Undirected,2,0.0,0.0
17071,580,1983,Undirected,16,0.0,0.0
17072,1883,1078,Undirected,1,0.0,0.0
17073,1246,1327,Undirected,2,0.0,0.0
17074,843,1461,Undirected,7,0.0,0.0
17075,1848,1032,Undirected,1,0.0,0.0
17076,42,1799,Undirected,20,0.0,0.0
17077,626,1644,Undirected,1,0.0,0.0
17078,1453,1086,Undirected,3,0.0,0.0
17079,1001,1443,Undirected,6,0.0,0.0
17080,200,200,Undirected,37,0.0,0.0
17081,1484,1343,Undirected,3,0.0,0.0
17082,854,854,Undirected,5,0.0,0.0
17083,1257,1605,Undirected,5,0.0,0.0
17084,970,11,Undirected,5,0.0,0.0
17085,1681,887,Undirected,4,0.0,0.0
17086,969,830,Undirected,4,0.0,0.0
17087,269,1845,Undirected,16,0.0,0.0
17088,1313,658,Undirected,2,0.0,0.0
17089,539,1988,Undirected,1,0.0,0.0
17090,347,710,Undirected,2,0.0,0.0
17091,1541,614,Undirected,3,0.0,0.0
17092,1827,1251,Undirected,2,0.0,0.0
17093,1258,819,Undirected,2,0.0,0.0
17094,464,866,Undirected,4,0.0,0.0
17095,1884,740,Undirected,4,0.0,0.0
17096,1507,1926,Undirected,1,0.0,0.0
17097,1602,1404,Undirected,32,0.0,0.0
17098,1432,1359,Undirected,2,0.0,0.0
17099,1680,1716,Undirected,1,0.0,0.0
17100,1307,269,Undirected,5,0.0,0.0
17101,32,147,Undirected,1,0.0,0.0
17102,1379,1429,Undirected,1,0.0,0.0
17103,1929,515,Undirected,1,0.0,0.0
17104,953,1252,Undirected,1,0.0,0.0
17105,1774,1959,Undirected,1,0.0,0.0
17106,250,941,Undirected,1,0.0,0.0
17107,1568,663,Undirected,15,0.0,0.0
17108,1324,509,Undirected,3,0.0,0.0
17109,51,1285,Undirected,7,0.0,0.0
17110,604,1911,Undirected,1,0.0,0.0
17111,1105,1286,Undirected,1,0.0,0.0
17112,1552,214,Undirected,1,0.0,0.0
17113,1162,603,Undirected,1,0.0,0.0
17114,1739,1380,Undirected,1,0.0,0.0
17115,1204,396,Undirected,4,0.0,0.0
17116,1948,351,Undirected,2,0.0,0.0
17117,1974,1455,Undirected,6,0.0,0.0
17118,969,1926,Undirected,2,0.0,0.0
17119,74,1237,Undirected,1,0.0,0.0
17120,1067,1292,Undirected,1,0.0,0.0
17121,4,4,Undirected,290,0.0,0.0
17122,81,754,Undirected,9,0.0,0.0
17123,687,1119,Undirected,13,0.0,0.0
17124,584,1344,Undirected,1,0.0,0.0
17125,128,887,Undirected,2,0.0,0.0
17126,875,660,Undirected,3,0.0,0.0
17127,1028,693,Undirected,1,0.0,0.0
17128,1570,1570,Undirected,38,0.0,0.0
17129,1603,195,Undirected,3,0.0,0.0
17130,1944,1257,Undirected,3,0.0,0.0
17131,1705,1907,Undirected,1,0.0,0.0
17132,1451,860,Undirected,8,0.0,0.0
17133,1204,1204,Undirected,135,0.0,0.0
17134,1785,586,Undirected,2,0.0,0.0
17135,1682,1418,Undirected,3,0.0,0.0
17136,1041,1041,Undirected,3,0.0,0.0
17137,1928,758,Undirected,15,0.0,0.0
17138,778,1518,Undirected,20,0.0,0.0
17139,958,1615,Undirected,2,0.0,0.0
17140,1441,127,Undirected,89,0.0,0.0
17141,896,967,Undirected,2,0.0,0.0
17142,808,632,Undirected,3,2.893990128783136e-07,0.24899676029719578
17143,1385,438,Undirected,7,0.0,0.0
17144,243,692,Undirected,2,0.0,0.0
17145,942,1447,Undirected,1,0.0,0.0
17146,359,47,Undirected,1,0.0,0.0
17147,70,903,Undirected,1,0.0,0.0
17148,813,1318,Undirected,1,0.0,0.0
17149,1654,1654,Undirected,17,0.0,0.0
17150,1153,850,Undirected,1,0.0,0.0
17151,1384,850,Undirected,7,0.0,0.0
17152,720,393,Undirected,3,0.0,0.0
17153,1400,1641,Undirected,5,0.0,0.0
17154,1619,804,Undirected,3,0.0,0.0
17155,910,1239,Undirected,4,0.0,0.0
17156,193,761,Undirected,6,0.0,0.0
17157,434,303,Undirected,2,0.0,0.0
17158,356,638,Undirected,2,0.0,0.0
17159,1681,853,Undirected,17,0.0,0.0
17160,1803,580,Undirected,8,0.0,0.0
17161,408,1652,Undirected,2,0.0,0.0
17162,1200,1200,Undirected,20,0.0,0.0
17163,1837,1375,Undirected,44,0.0,0.0
17164,1129,1861,Undirected,52,0.0,0.0
17165,794,794,Undirected,26,0.0,0.0
17166,1490,1685,Undirected,1,0.0,0.0
17167,1208,1360,Undirected,8,0.0,0.0
17168,1171,662,Undirected,3,0.0,0.0
17169,208,542,Undirected,13,0.0,0.0
17170,577,1683,Undirected,2,0.0,0.0
17171,410,195,Undirected,1,0.0,0.0
17172,457,1383,Undirected,7,0.0,0.0
17173,1224,395,Undirected,2,0.0,0.0
17174,449,1979,Undirected,2,0.0,0.0
17175,301,301,Undirected,11,0.0,0.0
17176,880,1087,Undirected,1,0.0,0.0
17177,1640,799,Undirected,1,0.0,0.0
17178,230,1271,Undirected,1,0.0,0.0
17179,939,693,Undirected,1,0.0,0.0
17180,38,382,Undirected,3,0.0,0.0
17181,1320,1767,Undirected,4,0.0,0.0
17182,1665,943,Undirected,6,0.0,0.0
17183,1434,1380,Undirected,3,0.0,0.0
17184,1644,1869,Undirected,4,0.0,0.0
17185,1018,1996,Undirected,21,0.0,0.0
17186,1392,814,Undirected,2,0.0,0.0
17187,1642,982,Undirected,3,0.0,0.0
17188,1834,1739,Undirected,3,0.0,0.0
17189,228,1638,Undirected,1,0.0,0.0
17190,1533,1957,Undirected,8,0.0,0.0
17191,128,1959,Undirected,15,0.0,0.0
17192,601,1530,Undirected,1,0.0,0.0
17193,1545,1545,Undirected,4,0.0,0.0
17194,116,718,Undirected,4,0.0,0.0
17195,731,1815,Undirected,2,0.0,0.0
17196,1827,1155,Undirected,35,0.0,0.0
17197,1553,1460,Undirected,8,0.0,0.0
17198,588,510,Undirected,2,0.0,0.0
17199,1248,1529,Undirected,26,0.0,0.0
17200,1105,131,Undirected,11,0.0,0.0
17201,1091,671,Undirected,2,0.0,0.0
17202,1076,349,Undirected,9,0.0,0.0
17203,1504,1162,Undirected,3,0.0,0.0
17204,744,283,Undirected,2,0.0,0.0
17205,442,165,Undirected,7,0.0,0.0
