,ID,label,weight,committor_prob,p_bound,p_unbound,bound,unbound,predicted_transition_state,b_t_u,path_0,path_1,path_2,path_3,path_4,bneck_ens_0,bneck_ens_1,bneck_ens_2,bneck_ens_3,bneck_ens_4,bottleneck_ensemble,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,full_run_0,full_run_1,full_run_2,full_run_3,full_run_4,full_run_5,bneck_ens_TS_0,num_frames,free_energy,SASA_reps,TS_seeds,scan_seeds,committor_prob_0.4,unbound_0.4,predicted_transition_state_0.4,committor_prob_0.5,unbound_0.5,predicted_transition_state_0.5,committor_prob_0.7,unbound_0.7,predicted_transition_state_0.7,committor_prob_0.6,unbound_0.6,predicted_transition_state_0.6,path+ensemble_0,trim_committor_prob,inxclass_3181,inxclass_1310,inxclass_149,inxclass_1138,inxclass_148,inxclass_1073,inxclass_3403,inxclass_3016,inxclass_344,inxclass_1072,inxclass_1311,inxclass_3010,inxclass_387,modularity_class_2.0,bottleneck,lip_distance,BS_SASA,TPPU_SASA,TPPU_R2_SASA,TPPU_R2_hydrophobes_SASA,TPPU_not_R2_SASA,TPPU_R1_SASA,TPPU_scaffold_SASA,community_name
1796,1796,1796,4.2852924472506296e-10,0.2786907845443927,0.7213092154556073,0.2786907845443927,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,109,18.392108206438536,276.14181518554693,0,0,0.2786907845443927,False,False,0.2573407572923871,False,False,0.2209040052178944,False,False,0.2373875704795941,False,False,0,0.2786907845443927,0,0,0,0,0,0,0,0,0,0,1,1,1,5,False,13.547693252563475,421.3804931640625,276.14181518554693,101.11161041259766,91.82683563232422,175.0301971435547,124.62286376953124,50.40734481811523,P2
1797,1797,1797,3.757339938839675e-13,0.3670251858945391,0.6329748141054611,0.3670251858945391,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22,25.431341040251056,242.2012481689453,0,0,0.3670251858945391,False,False,0.33840779386610703,False,False,0.2907348951309545,False,False,0.3125801539587755,False,False,0,0.3670251858945391,0,0,0,0,0,0,0,0,0,0,0,0,0,5,False,14.41005802154541,300.844970703125,242.2012481689453,69.78544616699219,54.53507995605469,172.41580200195312,85.48371887207031,86.93207550048828,P2
1798,1798,1798,1.9207631250374164e-12,0.6553637219670617,0.3446362780329383,0.6553637219670617,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,122,23.79974462318417,316.7550354003906,0,0,0.6553637219670617,False,False,0.6063494349368082,False,False,0.5181464722679775,False,True,0.5561873733879934,False,True,0,0.6553637219670617,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,13.234892845153807,471.128662109375,316.7550354003906,99.74696350097656,91.17057800292969,217.008056640625,112.57379150390624,104.43424987792969,U
1799,1799,1799,1.5728870966155868e-13,0.5174642284532168,0.4825357715467832,0.5174642284532168,False,False,True,T,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,173,26.30213943854051,174.94630432128906,0,0,0.5174642284532168,False,True,0.4774776752364946,False,True,0.41065096121309785,False,True,0.4414801671361827,False,True,0,0.5174642284532168,0,0,0,0,0,0,0,0,0,0,0,0,0,4,False,15.131423950195312,396.1934509277344,174.94630432128906,37.1048583984375,19.026437759399414,137.84146118164062,83.01675415039062,54.82471084594727,U
1800,1800,1800,0.0006039698891258433,0.07405416524494329,0.9259458347550568,0.07405416524494329,False,False,False,N,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,366,4.233432288998408,119.28518676757812,0,0,0.07405416524494329,False,False,0.06865792552777814,False,False,0.058765038362756185,False,False,0.0630597090039061,False,False,1,0.07405416524494329,0,0,0,0,0,1,0,0,1,0,0,1,0,2,False,10.804308891296387,242.59860229492188,119.28518676757812,47.080101013183594,32.29425811767578,72.20507049560547,38.38253402709961,33.82254409790039,B*
1801,1801,1801,6.994117360359787e-13,0.617204750728799,0.38279524927120095,0.617204750728799,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,70,24.809982865559142,383.0934448242188,0,0,0.617204750728799,False,False,0.5665189287879846,False,True,0.4874560209459213,False,True,0.5247989255519027,False,True,0,0.617204750728799,0,0,0,0,0,0,0,0,0,0,0,0,0,5,False,16.729206085205078,589.8003540039062,383.0934448242188,36.15411376953125,20.66370964050293,346.9393310546875,196.5435485839844,150.395751953125,P2
1802,1802,1802,4.731218613185748e-15,0.4132789370706779,0.586721062929322,0.4132789370706779,False,False,True,T,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,72,29.806039665951648,188.11302185058602,0,0,0.4132789370706779,False,True,0.3807559816758966,False,False,0.3272938626950059,False,False,0.3519811763263568,False,False,0,0.4132789370706779,0,0,0,0,0,0,0,0,0,0,0,0,0,5,False,13.379228591918945,402.6256408691406,188.11302185058602,36.34489822387695,23.44682884216309,151.7681121826172,90.8598175048828,60.9083251953125,P2
1803,1803,1803,2.9516694007564728e-05,0.07337848905697075,0.9266215109430292,0.07337848905697075,False,False,False,N,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,422,7.25200063140281,197.626953125,0,0,0.07337848905697075,False,False,0.06797163789980705,False,False,0.05821668212944332,False,False,0.062491192988950624,False,False,0,0.07337848905697075,0,0,0,0,0,0,0,1,0,0,0,1,0,2,False,12.830501556396484,307.59417724609375,197.626953125,78.53790283203125,59.04177474975586,119.0890655517578,85.66960144042969,33.419464111328125,B*
1804,1804,1804,0.0038611023409877905,0.009206237816757378,0.9907937621832428,0.009206237816757378,False,False,False,N,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,781,2.3782486309945985,137.79208374023438,0,0,0.009206237816757378,False,False,0.008531719008427653,False,False,0.007304792101609694,False,False,0.007839865655002897,False,False,0,0.009206237816757378,0,0,1,0,0,1,1,0,0,1,0,0,0,7,False,11.521719932556152,225.48199462890625,137.79208374023438,72.97366333007812,50.72232055664063,64.81842041015625,34.384700775146484,30.4337158203125,B
1805,1805,1805,2.98906406081712e-05,0.049105635725370564,0.9508943642746296,0.049105635725370564,False,False,False,N,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,159,7.239411224993306,138.197998046875,0,0,0.049105635725370564,False,False,0.04552454845250432,False,False,0.0389665104692697,False,False,0.041815149574462696,False,False,1,0.049105635725370564,0,0,1,0,0,1,1,0,0,0,0,1,0,2,False,12.7699613571167,260.22900390625,138.197998046875,59.15202331542969,39.80569839477539,79.04598999023438,58.33452224731445,20.711462020874023,B*
