,node_id,traj_idx,frame_idx
284,284,25,3195
285,285,72,4063
286,286,72,4951
287,287,32,4057
288,288,30,5593
289,289,24,3104
290,290,0,5606
291,291,2,6639
292,292,3,3050
293,293,33,7844
294,294,16,7314
295,295,40,10002
296,296,1,3930
297,297,82,3227
298,298,40,1502
299,299,24,2000
300,300,24,6294
301,301,33,2831
302,302,40,1526
303,303,43,3838
304,304,24,9272
305,305,0,2290
306,306,40,10190
307,307,27,2046
308,308,0,2286
309,309,32,2920
310,310,25,5406
311,311,40,3461
312,312,73,2272
313,313,1,1963
314,314,24,5013
315,315,82,6681
316,316,80,8587
317,317,0,4014
318,318,0,5438
319,319,40,902
320,320,0,7858
321,321,33,6887
322,322,25,8877
323,323,48,696
324,324,72,4243
325,325,24,3993
326,326,51,1072
327,327,40,8769
328,328,16,8900
329,329,33,4184
330,330,0,5256
331,331,8,2702
332,332,84,10323
333,333,32,10523
334,334,9,8710
335,335,82,7211
336,336,8,6960
337,337,10,8444
338,338,1,3014
339,339,24,7439
340,340,32,4130
341,341,16,7135
342,342,72,1773
343,343,48,470
344,344,25,2622
345,345,24,8832
346,346,48,821
347,347,14,585
348,348,40,6031
349,349,22,8381
350,350,25,4558
351,351,25,6751
352,352,73,4269
353,353,32,6847
354,354,40,1539
355,355,25,3014
356,356,24,5704
357,357,80,8057
358,358,1,3699
359,359,24,9465
360,360,37,6445
361,361,82,2555
362,362,24,1293
363,363,24,1541
364,364,0,5503
365,365,0,7528
366,366,33,2260
367,367,80,7886
368,368,40,8526
369,369,0,455
370,370,81,6394
371,371,41,1635
372,372,80,3041
373,373,0,3840
374,374,16,8758
375,375,76,6164
376,376,0,4246
377,377,16,7388
378,378,0,37
379,379,0,7256
380,380,82,8772
381,381,25,5889
382,382,16,6197
383,383,40,4552
384,384,0,4341
385,385,32,2799
386,386,33,4895
387,387,83,3610
388,388,8,5928
389,389,24,9567
390,390,4,7761
391,391,80,7433
392,392,4,6747
393,393,0,3099
394,394,11,8301
395,395,1,3384
396,396,8,2709
397,397,16,7932
398,398,40,1334
399,399,0,1916
400,400,22,8574
401,401,81,7689
402,402,0,8286
403,403,32,5947
404,404,41,6439
405,405,12,8678
406,406,25,6121
407,407,35,8255
408,408,24,5327
409,409,24,5053
410,410,0,2892
411,411,3,6818
412,412,25,5639
413,413,32,10402
414,414,16,6903
415,415,17,8109
416,416,2,3702
417,417,19,8223
418,418,22,8841
419,419,0,2312
420,420,0,3902
421,421,8,8156
422,422,25,5539
423,423,24,6293
424,424,0,708
425,425,48,663
426,426,0,7085
427,427,35,6704
428,428,32,2324
429,429,104,1115
430,430,24,6841
431,431,81,3276
432,432,16,7611
433,433,0,288
434,434,41,4916
435,435,0,5727
436,436,72,5458
437,437,17,7588
438,438,16,8726
439,439,80,553
440,440,27,6865
441,441,27,7699
442,442,32,3692
443,443,24,397
444,444,40,7094
445,445,0,5455
446,446,33,10042
447,447,0,7308
448,448,32,6642
449,449,17,8299
450,450,24,3539
451,451,0,6752
452,452,0,4615
453,453,72,4236
454,454,32,3140
455,455,0,1660
456,456,25,9418
457,457,33,4492
458,458,32,9429
459,459,8,6422
460,460,16,7370
461,461,0,7692
462,462,24,3068
463,463,48,149
464,464,41,2517
465,465,80,5030
466,466,0,2517
467,467,40,7629
468,468,24,4567
469,469,24,1929
470,470,72,1803
471,471,40,7251
472,472,16,1775
473,473,82,5255
474,474,0,3671
475,475,0,4605
476,476,0,4005
477,477,24,9152
478,478,32,3823
479,479,32,7720
480,480,33,5494
481,481,9,7413
482,482,24,9769
483,483,24,8614
484,484,24,6644
485,485,17,8744
486,486,36,5039
487,487,24,2564
488,488,81,10650
489,489,16,3948
490,490,15,8649
491,491,0,3859
492,492,2,5906
493,493,35,10533
494,494,31,3383
495,495,16,7423
496,496,0,306
497,497,80,3249
498,498,73,6212
499,499,0,5522
500,500,4,5298
501,501,8,8866
502,502,16,2524
503,503,1,7546
504,504,33,10150
505,505,24,7589
506,506,8,8369
507,507,25,7043
508,508,24,4299
509,509,24,5650
510,510,0,4731
511,511,0,2785
512,512,25,5633
513,513,24,2215
514,514,80,1437
515,515,24,4726
516,516,24,3971
517,517,2,2552
518,518,24,4244
519,519,32,10583
520,520,72,5275
