"","metrics","plot","treatment","number","values","refvalues"
"591","H","AUS","0600kHz","030",9.519750118255,9.52599978447
"601","CA","AUS","0600kHz","030",14.830441545,15.07412773
"611","D","AUS","1200kHz","021",0.226843325376286,0.230504476629759
"621","H","AUS","1200kHz","021",18.956000089645,18.954999923706
"631","CA","AUS","1200kHz","021",9.19812106999985,9.201698895
"641","D","AUS","1200kHz","022",0.239397369333859,0.2414185180845
"651","H","AUS","1200kHz","022",10.388500213623,10.374500274659
"661","CA","AUS","1200kHz","022",24.1697835350001,24.1519918549999
"671","D","AUS","1200kHz","023",0.0662900312260365,0.0691973321007482
"681","H","AUS","1200kHz","023",4.879000067711,4.87399995327
"691","CA","AUS","1200kHz","023",1.85710525999997,1.82696063000001
"701","D","AUS","1200kHz","024",0.078800457456163,0.0778951648543126
"711","H","AUS","1200kHz","024",7.764250278473,7.750750064849
"721","CA","AUS","1200kHz","024",2.87017399999997,2.79257398500003
"731","D","AUS","1200kHz","025",0.177222690525194,0.147562214717441
"741","H","AUS","1200kHz","025",8.671250104904,8.661499977112
"751","CA","AUS","1200kHz","025",16.248197355,15.37216341
"761","D","AUS","1200kHz","026",0.189450156119615,0.192025843563999
"771","H","AUS","1200kHz","026",15.251750469208,15.295999526978
"781","CA","AUS","1200kHz","026",26.679030855,26.8948615749999
"791","D","AUS","1200kHz","027",0.184750499306523,0.183097587103092
"801","H","AUS","1200kHz","027",18.260750293732,18.253500461579
"811","CA","AUS","1200kHz","027",19.7957474800001,19.896371385
"82","D","AUS","1200kHz","028",0.185154104119363,0.183717471640767
"83","H","AUS","1200kHz","028",17.329250335693,17.314000368118
"84","CA","AUS","1200kHz","028",21.7770681950002,22.1105389599999
"85","D","AUS","1200kHz","029",0.0982419201207549,0.102863273682051
"86","H","AUS","1200kHz","029",6.77924990654,6.764250040054
"87","CA","AUS","1200kHz","029",4.37632212999999,4.24242102000001
"88","D","AUS","1200kHz","030",0.171480810533119,0.178074599212743
"89","H","AUS","1200kHz","030",9.512249946594,9.52599978447
"90","CA","AUS","1200kHz","030",15.14791811,15.07412773
"344","D","AUS","0600kHz","031",0.288281027501893,0.292909204809106
"354","H","AUS","0600kHz","031",13.009999990464,12.998250484466
"364","CA","AUS","0600kHz","031",41.8674458950003,51.9338866100003
"373","D","AUS","0600kHz","032",0.0864074498144924,0.0879637257398478
"383","H","AUS","0600kHz","032",7.424499988556,7.420000076294
"393","CA","AUS","0600kHz","032",2.321138715,2.25575789999998
"403","D","AUS","0600kHz","033",0.161056834168571,0.172276999617114
"413","H","AUS","0600kHz","033",11.447249650956,11.511749744415
"423","CA","AUS","0600kHz","033",8.540689065,8.21523641
"433","D","AUS","0600kHz","034",0.352105380509505,0.352488119115147
"443","H","AUS","0600kHz","034",20.180000782013,20.176499605179
"453","CA","AUS","0600kHz","034",57.6986647849996,57.7868444749999
"462","D","AUS","0600kHz","035",0.054831698405355,0.0412759012012125
"472","H","AUS","0600kHz","035",3.644750073553,3.663999930024
"482","CA","AUS","0600kHz","035",0.952861500000034,0.981197605000035
"492","D","AUS","0600kHz","036",0.0607910994491307,0.0616802272768173
"502","H","AUS","0600kHz","036",5.684750080108,5.679500102996
"512","CA","AUS","0600kHz","036",1.97889032499999,2.08350676000001
"522","D","AUS","0600kHz","037",0.175188924543417,0.176142301021299
"532","H","AUS","0600kHz","037",9.444249868393,9.441999673844
"542","CA","AUS","0600kHz","037",11.69828743,12.48817508
"552","D","AUS","0600kHz","038",0.251987738269795,0.25425917051071
"562","H","AUS","0600kHz","038",9.288749933243,9.292500019074
"572","CA","AUS","0600kHz","038",24.4012056000001,24.7996192049999
"582","D","AUS","0600kHz","039",0.357936802922512,0.360466608309434
"592","H","AUS","0600kHz","039",23.503249645233,23.518250226975
"602","CA","AUS","0600kHz","039",65.6357902950003,65.6105498099995
"612","D","AUS","0600kHz","040",0.556662998611831,0.552761804681663
"622","H","AUS","0600kHz","040",10.205000162124,10.197499990463
"632","CA","AUS","0600kHz","040",20.1357164650001,20.20416075
"642","D","AUS","0600kHz","041",0.166239358159057,0.166534255545934
"652","H","AUS","0600kHz","041",8.571250200271,8.559250116348
"662","CA","AUS","0600kHz","041",21.9790410799999,22.035929
"672","D","AUS","1200kHz","031",0.288720497469765,0.292909204809106
"682","H","AUS","1200kHz","031",12.993750333786,12.998250484466
"692","CA","AUS","1200kHz","031",42.1624456350002,51.9338866100003
"702","D","AUS","1200kHz","032",0.0846964898813835,0.0879637257398478
"712","H","AUS","1200kHz","032",7.424000024796,7.420000076294
"722","CA","AUS","1200kHz","032",2.29745067999999,2.25575789999998
"732","D","AUS","1200kHz","033",0.169401595143673,0.172276999617114
"742","H","AUS","1200kHz","033",11.517999887467,11.511749744415
"752","CA","AUS","1200kHz","033",8.18557772,8.21523641
"762","D","AUS","1200kHz","034",0.350181448520939,0.352488119115147
"772","H","AUS","1200kHz","034",20.17999958992,20.176499605179
"782","CA","AUS","1200kHz","034",57.8632270100002,57.7868444749999
"792","D","AUS","1200kHz","035",0.0535302611039018,0.0412759012012125
"802","H","AUS","1200kHz","035",3.659000054001,3.663999930024
"812","CA","AUS","1200kHz","035",1.04775081000001,0.981197605000035
"821","D","AUS","1200kHz","036",0.05832638701951,0.0616802272768173
"831","H","AUS","1200kHz","036",5.703500032425,5.679500102996
"841","CA","AUS","1200kHz","036",1.98825827000002,2.08350676000001
"851","D","AUS","1200kHz","037",0.174299504330038,0.176142301021299
"861","H","AUS","1200kHz","037",9.448500156402,9.441999673844
"871","CA","AUS","1200kHz","037",11.77349373,12.48817508
"881","D","AUS","1200kHz","038",0.25344328128807,0.25425917051071
"891","H","AUS","1200kHz","038",9.291250228882,9.292500019074
"901","CA","AUS","1200kHz","038",24.6881823899998,24.7996192049999
"91","D","AUS","1200kHz","039",0.358478826463949,0.360466608309434
"92","H","AUS","1200kHz","039",23.558500051498,23.518250226975
"93","CA","AUS","1200kHz","039",64.5301669900001,65.6105498099995
"94","D","AUS","1200kHz","040",0.542837428280799,0.552761804681663
"95","H","AUS","1200kHz","040",10.203000307083,10.197499990463
"96","CA","AUS","1200kHz","040",20.2572731,20.20416075
"97","D","AUS","1200kHz","041",0.164317998389711,0.166534255545934
"98","H","AUS","1200kHz","041",8.549999952316,8.559250116348
"99","CA","AUS","1200kHz","041",22.02481594,22.035929
"283","D","BEoff","0600kHz","003",0.597023657337424,0.598551806157346
"293","H","BEoff","0600kHz","003",34.094000697136,34.091751098633
"303","CA","BEoff","0600kHz","003",50.705625205,51.1089587049997
"314","D","BEoff","0600kHz","004",0.459279670335671,0.460061397340142
"324","H","BEoff","0600kHz","004",28.677500069141,28.686500310898
"334","CA","BEoff","0600kHz","004",59.7796050250005,60.1400666050004
"345","D","BEoff","0600kHz","005",0.425378131324707,0.426509472279618
"355","H","BEoff","0600kHz","005",29.913499295711,29.896750092506
"365","CA","BEoff","0600kHz","005",53.5844251950003,53.6952681450001
"374","D","BEoff","0600kHz","006",0.487382028990145,0.487575720333464
"384","H","BEoff","0600kHz","006",31.648250699043,31.665000230074
"394","CA","BEoff","0600kHz","006",70.2377213500002,69.762415415
"404","D","BEoff","0600kHz","007",0.532795889785526,0.533362902116778
"414","H","BEoff","0600kHz","007",31.644999325275,31.646750018001
"424","CA","BEoff","0600kHz","007",50.803897975,50.9869580849998
"434","D","BEoff","0600kHz","008",0.581112120871891,0.581322305474649
"444","H","BEoff","0600kHz","008",31.293750911951,31.30850020051
"454","CA","BEoff","0600kHz","008",119.21258249,120.409578835
"463","D","BEoff","0600kHz","009",0.570707011022507,0.570700978133579
"473","H","BEoff","0600kHz","009",31.179000258446,31.181250095367
"483","CA","BEoff","0600kHz","009",110.807569235,111.707120434999
"493","D","BEoff","0600kHz","010",0.562561055440199,0.564037277749481
"503","H","BEoff","0600kHz","010",33.968998730182,33.833501815796
"513","CA","BEoff","0600kHz","010",54.0370324000001,54.3450702299999
"523","D","BEoff","0600kHz","011",0.404455838590562,0.405443514268003
"533","H","BEoff","0600kHz","011",31.297750502825,31.333500366658
"543","CA","BEoff","0600kHz","011",53.5464601649999,53.8475887349999
"553","D","BEoff","1200kHz","003",0.598207897179799,0.598551806157346
"563","H","BEoff","1200kHz","003",34.093750298023,34.091751098633
"573","CA","BEoff","1200kHz","003",50.7689624499999,51.1089587049997
"583","D","BEoff","1200kHz","004",0.44997095708983,0.460061397340142
"593","H","BEoff","1200kHz","004",28.665249466896,28.686500310898
"603","CA","BEoff","1200kHz","004",59.5518527450003,60.1400666050004
"613","D","BEoff","1200kHz","005",0.426749000511057,0.426509472279618
"623","H","BEoff","1200kHz","005",29.894499123096,29.896750092506
"633","CA","BEoff","1200kHz","005",53.4052102549999,53.6952681450001
"643","D","BEoff","1200kHz","006",0.489286021722371,0.487575720333464
"653","H","BEoff","1200kHz","006",31.671750470995,31.665000230074
"663","CA","BEoff","1200kHz","006",69.3974538749998,69.762415415
"673","D","BEoff","1200kHz","007",0.533491707719314,0.533362902116778
"683","H","BEoff","1200kHz","007",31.655750088394,31.646750018001
"693","CA","BEoff","1200kHz","007",50.7298183050003,50.9869580849998
"703","D","BEoff","1200kHz","008",0.581800226995298,0.581322305474649
"713","H","BEoff","1200kHz","008",31.308250851929,31.30850020051
"723","CA","BEoff","1200kHz","008",118.88902204,120.409578835
"733","D","BEoff","1200kHz","009",0.570904887231217,0.570700978133579
"743","H","BEoff","1200kHz","009",31.135249495506,31.181250095367
"753","CA","BEoff","1200kHz","009",110.49209944,111.707120434999
"763","D","BEoff","1200kHz","010",0.563753101375663,0.564037277749481
"773","H","BEoff","1200kHz","010",33.797998428345,33.833501815796
"783","CA","BEoff","1200kHz","010",53.5300321999996,54.3450702299999
"793","D","BEoff","1200kHz","011",0.406528421000571,0.405443514268003
"803","H","BEoff","1200kHz","011",31.321749098599,31.333500366658
"813","CA","BEoff","1200kHz","011",54.3771311050003,53.8475887349999
"435","D","BEon","0600kHz","001",0.576220269826042,0.575800461172259
"445","H","BEon","0600kHz","001",31.19600045681,31.174000680446
"455","CA","BEon","0600kHz","001",120.946011165,116.860667975
"464","D","BEon","0600kHz","002",0.599737095856084,0.599911553734806
"474","H","BEon","0600kHz","002",33.769251585007,33.822251349687
"484","CA","BEon","0600kHz","002",60.0618327750001,59.62198558
"494","D","BEon","0600kHz","003",0.564152394888046,0.5640525858692
"504","H","BEon","0600kHz","003",32.797000169754,32.701750397682
"514","CA","BEon","0600kHz","003",52.9991230149999,52.9280985849998
"524","D","BEon","0600kHz","004",0.789809780258967,0.791202765534831
"534","H","BEon","0600kHz","004",33.6912517,33.78075182
"544","CA","BEon","0600kHz","004",192.930930795001,193.580928699999
"554","D","BEon","0600kHz","005",0.542829123564889,0.54219682394124
"564","H","BEon","0600kHz","005",31.584000073373,31.574250124395
"574","CA","BEon","0600kHz","005",59.6684735449998,60.9355008499998
"584","D","BEon","0600kHz","006",0.452559256327507,0.45436121154586
"594","H","BEon","0600kHz","006",28.532249987126,28.557500720024
"604","CA","BEon","0600kHz","006",61.5028327900002,61.4498576499997
"614","D","BEon","0600kHz","007",0.0672324898647329,0.0686722021483448
"624","H","BEon","0600kHz","007",10.707999825478,10.703000247479
"634","CA","BEon","0600kHz","007",3.72295976499993,3.69176771500002
"644","D","BEon","0600kHz","008",0.147117219487725,0.151644675251973
"654","H","BEon","0600kHz","008",15.024750262498,14.968249559403
"664","CA","BEon","0600kHz","008",16.642976415,16.867464085
"674","D","BEon","0600kHz","009",0.431528112151058,0.43155671760664
"684","H","BEon","0600kHz","009",29.77025014,29.91274923
"694","CA","BEon","0600kHz","009",62.869747755,63.2537862500001
"704","D","BEon","0600kHz","010",0.587696495635241,0.588371547805796
"714","H","BEon","0600kHz","010",31.092249311506,31.088750272989
"724","CA","BEon","0600kHz","010",125.25480055,125.073542635
"734","D","BEon","0600kHz","011",0.0966859760138147,0.0964946009121473
"744","H","BEon","0600kHz","011",12.632750242949,12.624749600887
"754","CA","BEon","0600kHz","011",11.858952515,12.1625449300001
"764","D","BEon","0600kHz","012",0.461103294871106,0.463760130673257
"774","H","BEon","0600kHz","012",31.723749604076,31.620000289753
"784","CA","BEon","0600kHz","012",30.4563485600001,31.16453294
"794","D","BEon","0600kHz","013",0.312780436650654,0.311785835313833
"804","H","BEon","0600kHz","013",23.484249949456,23.467999339103
