rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
141,NA,272132667,band number,X029J2,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.28477,-106.61479,34.28477,-106.61479,NA,6/28/2018,28,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1837,1837,12.05417,17.09167,45.33599,789.31921,31.8,-5.9,37.7,21.15,7.3,21.9,2.5,310,63,10,68.71404,163,36,136,44,-0.586520276,-0.959963052,-0.285887559,-0.704934851
142,NA,272132669,band number,X027J1,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.28168,-106.61863,34.28168,-106.61863,NA,6/29/2018,29,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1822,1822,12.21667,17.45,45.56136,797.80762,32.2,-6.1,38.3,21.4,7.48333,22.15,2.53333,302,62,10,68.74798,159,35,132,43,-0.868505995,-0.584610744,-0.569240114,-0.590926465
143,NA,272132670,band number,X027J2,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.28168,-106.61863,34.28168,-106.61863,NA,6/29/2018,29,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1822,1822,12.21667,17.45,45.56136,797.80762,32.2,-6.1,38.3,21.4,7.48333,22.15,2.53333,302,62,10,68.74798,159,35,132,43,-0.868505995,-0.584610744,-0.569240114,-0.590926465
144,NA,272132671,band number,X027J3,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.28168,-106.61863,34.28168,-106.61863,NA,6/29/2018,29,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1822,1822,12.21667,17.45,45.56136,797.80762,32.2,-6.1,38.3,21.4,7.48333,22.15,2.53333,302,62,10,68.74798,159,35,132,43,-0.868505995,-0.584610744,-0.569240114,-0.590926465
145,NA,272132677,band number,X054JA,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.26735,-106.63364,34.26735,-106.63364,NA,7/6/2018,6,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1773,1773,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
146,NA,272132678,band number,X054JB,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.26735,-106.63364,34.26735,-106.63364,NA,7/6/2018,6,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1773,1773,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
147,NA,272132680,band number,X045J1,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27491,-106.62832,34.27491,-106.62832,NA,7/11/2018,11,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1797,1797,12.35417,17.70833,45.75797,804.3446,32.5,-6.2,38.7,21.6,7.61667,22.35,2.56667,296,61,10,69.14566,156,34,130,41,-1.096640758,-0.326108263,-0.816347088,-0.559300624
148,NA,272132681,band number,X045J2,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.27491,-106.62832,34.27491,-106.62832,NA,7/11/2018,11,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1797,1797,12.35417,17.70833,45.75797,804.3446,32.5,-6.2,38.7,21.6,7.61667,22.35,2.56667,296,61,10,69.14566,156,34,130,41,-1.096640758,-0.326108263,-0.816347088,-0.559300624
149,NA,272132682,band number,X016J1,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Cottonwood,Sepultura Flats,34.2674,-106.64567,34.2674,-106.64567,NA,7/16/2018,16,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1773,1773,12.4125,17.975,46.08974,807.13617,32.7,-6.3,39,21.7,7.66667,22.43333,2.58333,293,61,9,70.21016,156,33,130,41,-1.265827945,-0.192859751,-0.991899486,-0.699754953
150,NA,272132683,band number,X016J2,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Cottonwood,Sepultura Flats,34.2674,-106.64567,34.2674,-106.64567,NA,7/16/2018,16,7,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1773,1773,12.4125,17.975,46.08974,807.13617,32.7,-6.3,39,21.7,7.66667,22.43333,2.58333,293,61,9,70.21016,156,33,130,41,-1.265827945,-0.192859751,-0.991899486,-0.699754953
