ID_pair;KDE;Factor;Level;Difference
H11_2019;KDE99;VRM;Rugged;-2,123825537
H7_2020;KDE99;VRM;Rugged;0,732292499
H10_2020;KDE99;VRM;Rugged;0,003070404
A4_2020;KDE99;VRM;Rugged;0,236304228
A6_2020_1;KDE99;VRM;Rugged;-0,231843188
A6_2020_2;KDE99;VRM;Rugged;-0,082820929
H6_2021;KDE99;VRM;Rugged;0,989673657
HA17_2020;KDE99;VRM;Rugged;3,650039883
HA1_2020;KDE99;VRM;Rugged;3,73523595
HA9_2020;KDE99;VRM;Rugged;-0,298526539
G2_2022;KDE99;VRM;Rugged;-1,729045744
A6_2021;KDE99;VRM;Rugged;-0,095043118
A2_2021;KDE99;VRM;Rugged;0,154973303
H10_2022;KDE99;VRM;Rugged;0,003070404
HA15_2022;KDE99;VRM;Rugged;3,559239639
H4_2016;KDE99;VRM;Rugged;0,614164466
G2_2016;KDE99;VRM;Rugged;-0,226937331
H1_2016;KDE99;VRM;Rugged;-0,187853384
H6_2016;KDE99;VRM;Rugged;0,247202932
A6_2016;KDE99;VRM;Rugged;0,183485184
H10_2017;KDE99;VRM;Rugged;0,003070404
A2_2017;KDE99;VRM;Rugged;0,270671958
G2_2018;KDE99;VRM;Rugged;2,919687172
H4_2019;KDE99;VRM;Rugged;0,449352939
H11_2018;KDE50;OSO;Crop;0,079973408
H4_2018;KDE50;OSO;Crop;-0,027723996
G3_2018;KDE50;OSO;Crop;0
G4_2019;KDE50;OSO;Crop;-0,022389131
H10_2019;KDE50;OSO;Crop;0,041800897
G2_2019;KDE50;OSO;Crop;0,003209037
D15_2020;KDE50;OSO;Crop;0,077249227
HA17_2018;KDE50;OSO;Crop;0
HA12_2019;KDE50;OSO;Crop;0
HA13_2020;KDE50;OSO;Crop;0
HA11_2019;KDE50;OSO;Crop;0
H11_2019;KDE50;OSO;Crop;0,187584253
H7_2020;KDE50;OSO;Crop;0,223920933
H10_2020;KDE50;OSO;Crop;1,549453282
A4_2020;KDE50;OSO;Crop;0,50142593
A6_2020_1;KDE50;OSO;Crop;-0,008432699
A6_2020_2;KDE50;OSO;Crop;0,242729067
H6_2021;KDE50;OSO;Crop;0,33422012
HA17_2020;KDE50;OSO;Crop;0
HA1_2020;KDE50;OSO;Crop;0,006229495
HA9_2020;KDE50;OSO;Crop;0,004094313
G2_2022;KDE50;OSO;Crop;-0,02626775
A6_2021;KDE50;OSO;Crop;-0,37291385
A2_2021;KDE50;OSO;Crop;0,405686197
H10_2022;KDE50;OSO;Crop;0,117793977
HA15_2022;KDE50;OSO;Crop;0
H4_2016;KDE50;OSO;Crop;0,020866869
G2_2016;KDE50;OSO;Crop;0,003209037
H1_2016;KDE50;OSO;Crop;0,042727217
H6_2016;KDE50;OSO;Crop;0,286197348
A6_2016;KDE50;OSO;Crop;0,372395916
H10_2017;KDE50;OSO;Crop;1,798395278
A2_2017;KDE50;OSO;Crop;0,542869234
G2_2018;KDE50;OSO;Crop;0,003209037
H4_2019;KDE50;OSO;Crop;-0,007910109
H11_2018;KDE50;OSO;Forest;-12,68442267
H4_2018;KDE50;OSO;Forest;-0,791718515
G3_2018;KDE50;OSO;Forest;-10,40070128
G4_2019;KDE50;OSO;Forest;6,70920426
H10_2019;KDE50;OSO;Forest;-6,989671531
G2_2019;KDE50;OSO;Forest;-15,71116495
D15_2020;KDE50;OSO;Forest;-8,982818272
HA17_2018;KDE50;OSO;Forest;-0,874240715
HA12_2019;KDE50;OSO;Forest;1,244586277
HA13_2020;KDE50;OSO;Forest;13,18543764
HA11_2019;KDE50;OSO;Forest;1,067952096
H11_2019;KDE50;OSO;Forest;-7,596918386
H7_2020;KDE50;OSO;Forest;14,82344405
H10_2020;KDE50;OSO;Forest;0,548154527
A4_2020;KDE50;OSO;Forest;16,6647368
A6_2020_1;KDE50;OSO;Forest;-5,856832319
A6_2020_2;KDE50;OSO;Forest;0,358037645
H6_2021;KDE50;OSO;Forest;31,49674884
HA17_2020;KDE50;OSO;Forest;10,31656319
HA1_2020;KDE50;OSO;Forest;36,37999645
HA9_2020;KDE50;OSO;Forest;4,653386577
G2_2022;KDE50;OSO;Forest;0,078117222
A6_2021;KDE50;OSO;Forest;-3,528861699
A2_2021;KDE50;OSO;Forest;-3,293464164
H10_2022;KDE50;OSO;Forest;-4,382530548
HA15_2022;KDE50;OSO;Forest;-0,026898734
H4_2016;KDE50;OSO;Forest;-2,745952613
G2_2016;KDE50;OSO;Forest;-3,915987421
H1_2016;KDE50;OSO;Forest;-12,08448705
H6_2016;KDE50;OSO;Forest;-3,952438397
A6_2016;KDE50;OSO;Forest;-17,65325091
H10_2017;KDE50;OSO;Forest;-7,915302169
A2_2017;KDE50;OSO;Forest;-5,291170718
G2_2018;KDE50;OSO;Forest;-19,86350302
H4_2019;KDE50;OSO;Forest;-12,88227697
H11_2018;KDE50;OSO;Open;9,888628177
H4_2018;KDE50;OSO;Open;2,354051125
G3_2018;KDE50;OSO;Open;10,10034547
G4_2019;KDE50;OSO;Open;-5,946103948
H10_2019;KDE50;OSO;Open;-1,051278256
G2_2019;KDE50;OSO;Open;13,004516
D15_2020;KDE50;OSO;Open;8,882526508
HA17_2018;KDE50;OSO;Open;-7,843028366
HA12_2019;KDE50;OSO;Open;-2,515070097
HA13_2020;KDE50;OSO;Open;-6,258823116
HA11_2019;KDE50;OSO;Open;-13,51453919
H11_2019;KDE50;OSO;Open;5,71223382
H7_2020;KDE50;OSO;Open;7,63577645
H10_2020;KDE50;OSO;Open;5,270260252
A4_2020;KDE50;OSO;Open;-17,35419745
A6_2020_1;KDE50;OSO;Open;5,836159533
A6_2020_2;KDE50;OSO;Open;-0,653770088
H6_2021;KDE50;OSO;Open;-14,28051122
HA17_2020;KDE50;OSO;Open;-0,639959886
HA1_2020;KDE50;OSO;Open;6,760490344
HA9_2020;KDE50;OSO;Open;2,731534422
G2_2022;KDE50;OSO;Open;4,129830812
A6_2021;KDE50;OSO;Open;3,878831227
A2_2021;KDE50;OSO;Open;2,004414405
H10_2022;KDE50;OSO;Open;8,331199828
HA15_2022;KDE50;OSO;Open;-8,437517581
H4_2016;KDE50;OSO;Open;1,508303894
G2_2016;KDE50;OSO;Open;1,200329461
H1_2016;KDE50;OSO;Open;11,80671394
H6_2016;KDE50;OSO;Open;9,538209274
A6_2016;KDE50;OSO;Open;17,21809647
H10_2017;KDE50;OSO;Open;7,051028507
A2_2017;KDE50;OSO;Open;4,074776649
G2_2018;KDE50;OSO;Open;17,04043845
H4_2019;KDE50;OSO;Open;13,18940383
H11_2018;KDE50;OSO;Urban;1,648668335
H4_2018;KDE50;OSO;Urban;0,195748211
G3_2018;KDE50;OSO;Urban;0,248160342
G4_2019;KDE50;OSO;Urban;-0,740711181
H10_2019;KDE50;OSO;Urban;3,59397609
G2_2019;KDE50;OSO;Urban;2,589519113
D15_2020;KDE50;OSO;Urban;0,018434029
HA17_2018;KDE50;OSO;Urban;0,15987471
HA12_2019;KDE50;OSO;Urban;-0,243507648
HA13_2020;KDE50;OSO;Urban;-0,012049772
HA11_2019;KDE50;OSO;Urban;0,736547025
H11_2019;KDE50;OSO;Urban;0,618686148
H7_2020;KDE50;OSO;Urban;-3,372101053
H10_2020;KDE50;OSO;Urban;-9,366582093
A4_2020;KDE50;OSO;Urban;0,188034724
A6_2020_1;KDE50;OSO;Urban;0,029105485
A6_2020_2;KDE50;OSO;Urban;0,053003376
H6_2021;KDE50;OSO;Urban;-17,5623652
HA17_2020;KDE50;OSO;Urban;0,14953024
HA1_2020;KDE50;OSO;Urban;0
HA9_2020;KDE50;OSO;Urban;1,023338724
G2_2022;KDE50;OSO;Urban;-4,207170724
A6_2021;KDE50;OSO;Urban;0,022944322
A2_2021;KDE50;OSO;Urban;0,920816883
H10_2022;KDE50;OSO;Urban;-7,021765451
HA15_2022;KDE50;OSO;Urban;0,227180028
H4_2016;KDE50;OSO;Urban;-0,035441272
G2_2016;KDE50;OSO;Urban;2,598528122
H1_2016;KDE50;OSO;Urban;0,235045897
H6_2016;KDE50;OSO;Urban;-5,757023005
A6_2016;KDE50;OSO;Urban;0,062758522
H10_2017;KDE50;OSO;Urban;-1,736438502
A2_2017;KDE50;OSO;Urban;0,633591728
G2_2018;KDE50;OSO;Urban;2,705934733
H4_2019;KDE50;OSO;Urban;0,18505589
H11_2018;KDE50;OSO;Wetland;0,296529734
H4_2018;KDE50;OSO;Wetland;0,056638645
G3_2018;KDE50;OSO;Wetland;0,019573302
G4_2019;KDE50;OSO;Wetland;NA
H10_2019;KDE50;OSO;Wetland;-0,074214349
G2_2019;KDE50;OSO;Wetland;0,104293691
D15_2020;KDE50;OSO;Wetland;0,004608507
HA17_2018;KDE50;OSO;Wetland;0
HA12_2019;KDE50;OSO;Wetland;0,667373495
HA13_2020;KDE50;OSO;Wetland;0
HA11_2019;KDE50;OSO;Wetland;0
H11_2019;KDE50;OSO;Wetland;0,275674676
H7_2020;KDE50;OSO;Wetland;0,810748205
H10_2020;KDE50;OSO;Wetland;0,02305635
A4_2020;KDE50;OSO;Wetland;0
A6_2020_1;KDE50;OSO;Wetland;0
A6_2020_2;KDE50;OSO;Wetland;0
H6_2021;KDE50;OSO;Wetland;0,003572237
HA17_2020;KDE50;OSO;Wetland;0
HA1_2020;KDE50;OSO;Wetland;0
HA9_2020;KDE50;OSO;Wetland;-10,13569459
G2_2022;KDE50;OSO;Wetland;0,06007851
A6_2021;KDE50;OSO;Wetland;0
A2_2021;KDE50;OSO;Wetland;-0,037453321
H10_2022;KDE50;OSO;Wetland;0,02305635
HA15_2022;KDE50;OSO;Wetland;0
H4_2016;KDE50;OSO;Wetland;0,056638645
G2_2016;KDE50;OSO;Wetland;0,104293691
H1_2016;KDE50;OSO;Wetland;0
H6_2016;KDE50;OSO;Wetland;-0,104179211
A6_2016;KDE50;OSO;Wetland;0
H10_2017;KDE50;OSO;Wetland;0,02305635
A2_2017;KDE50;OSO;Wetland;0,039933107
G2_2018;KDE50;OSO;Wetland;0,104293691
H4_2019;KDE50;OSO;Wetland;0,056638645
H11_2018;KDE50;OSO;Rocky;0,770623012
H4_2018;KDE50;OSO;Rocky;-1,78699547
G3_2018;KDE50;OSO;Rocky;0,03262217
G4_2019;KDE50;OSO;Rocky;0
H10_2019;KDE50;OSO;Rocky;4,479387148
G2_2019;KDE50;OSO;Rocky;0,00962711
D15_2020;KDE50;OSO;Rocky;NA
HA17_2018;KDE50;OSO;Rocky;8,55739437
HA12_2019;KDE50;OSO;Rocky;0,846617972
HA13_2020;KDE50;OSO;Rocky;-6,91456475
HA11_2019;KDE50;OSO;Rocky;11,71004007
H11_2019;KDE50;OSO;Rocky;0,802739488
H7_2020;KDE50;OSO;Rocky;-20,12178858
H10_2020;KDE50;OSO;Rocky;1,975657683
A4_2020;KDE50;OSO;Rocky;0
A6_2020_1;KDE50;OSO;Rocky;NA
A6_2020_2;KDE50;OSO;Rocky;NA
H6_2021;KDE50;OSO;Rocky;0,008335219
HA17_2020;KDE50;OSO;Rocky;-9,82613354
HA1_2020;KDE50;OSO;Rocky;-43,14671628
HA9_2020;KDE50;OSO;Rocky;1,723340557
G2_2022;KDE50;OSO;Rocky;-0,034588071
A6_2021;KDE50;OSO;Rocky;NA
A2_2021;KDE50;OSO;Rocky;0
H10_2022;KDE50;OSO;Rocky;2,932245845
HA15_2022;KDE50;OSO;Rocky;8,237236287
H4_2016;KDE50;OSO;Rocky;1,195584477
G2_2016;KDE50;OSO;Rocky;0,00962711
H1_2016;KDE50;OSO;Rocky;NA
