ID_pair;Percentage;KDE;Indice
H6_2016;0.983203609546263;KDE99;TI
A6_2016;0.95897263134588;KDE99;TI
H10_2017;0.978760763466761;KDE99;TI
A2_2017;0.964567953708549;KDE99;TI
G2_2018;0.973834887128631;KDE99;TI
H4_2019;0.98000370835655;KDE99;TI
H11_2018;0.874108006841409;KDE99;LCI
H4_2018;0.978677393517259;KDE99;LCI
G3_2018;0.883816282579074;KDE99;LCI
G4_2019;0.943528807575099;KDE99;LCI
H10_2019;0.937485617718733;KDE99;LCI
G2_2019;0.870479416930013;KDE99;LCI
D15_2020;0.970456093112037;KDE99;LCI
HA17_2018;0.95683221725444;KDE99;LCI
HA12_2019;0.945961310045764;KDE99;LCI
HA13_2020;0.900547041004317;KDE99;LCI
HA11_2019;0.909584969248247;KDE99;LCI
H11_2019;0.875864322791766;KDE99;LCI
H7_2020;0.835350298918369;KDE99;LCI
H10_2020;0.88487826433038;KDE99;LCI
A4_2020;0.887231918225592;KDE99;LCI
A6_2020_1;0.951107482599334;KDE99;LCI
A6_2020_2;0.865332209714449;KDE99;LCI
H6_2021;0.779251454946759;KDE99;LCI
HA17_2020;0.914291095624251;KDE99;LCI
HA1_2020;0.721224836326399;KDE99;LCI
HA9_2020;0.906207659764112;KDE99;LCI
G2_2022;0.930154484391643;KDE99;LCI
A6_2021;0.938410426248092;KDE99;LCI
A2_2021;0.994240006540527;KDE99;LCI
H10_2022;0.916474282888899;KDE99;LCI
HA15_2022;0.926007795638084;KDE99;LCI
H4_2016;0.976805497177279;KDE99;LCI
G2_2016;0.933739735581239;KDE99;LCI
H1_2016;0.943149538823458;KDE99;LCI
H6_2016;0.927573812563352;KDE99;LCI
A6_2016;0.812996917240534;KDE99;LCI
H10_2017;0.858359950968177;KDE99;LCI
A2_2017;0.935657171361007;KDE99;LCI
G2_2018;0.846956771851401;KDE99;LCI
H4_2019;0.921527528647013;KDE99;LCI
H11_2018;0.960310120575657;KDE50;TI
H4_2018;0.973731928606445;KDE50;TI
G3_2018;0.72465899160445;KDE50;TI
G4_2019;0.838000256941858;KDE50;TI
H10_2019;0.932039713371157;KDE50;TI
G2_2019;0.974644031612481;KDE50;TI
D15_2020;0.962589568661734;KDE50;TI
HA17_2018;0.814994208512246;KDE50;TI
HA12_2019;0.887743495692286;KDE50;TI
HA13_2020;0.889823208443372;KDE50;TI
HA11_2019;0.924349371213767;KDE50;TI
H11_2019;0.955427034640938;KDE50;TI
H7_2020;0.948447488533162;KDE50;TI
H10_2020;0.917534846297079;KDE50;TI
A4_2020;0.842503243575616;KDE50;TI
A6_2020_1;0.90754236836258;KDE50;TI
A6_2020_2;0.892644871867805;KDE50;TI
H6_2021;0.901547802369019;KDE50;TI
HA17_2020;0.912413175397042;KDE50;TI
HA1_2020;0.92478575177519;KDE50;TI
HA9_2020;0.892123063547458;KDE50;TI
G2_2022;0.877565447194321;KDE50;TI
A6_2021;0.877448649949879;KDE50;TI
A2_2021;0.930699844303536;KDE50;TI
H10_2022;0.931897351757918;KDE50;TI
HA15_2022;0.938803270912887;KDE50;TI
H4_2016;0.948080500803616;KDE50;TI
