ID_pair;KDE;Indice;Percentage;SizeKDE_adult;Sex_Juvenile;Region;Type_indep
H1_2016;KDE99;SI;0,7842109;197247894,2;Male;Massif_Central;Early
H6_2016;KDE99;SI;0,935297658;267530621,8;Male;Massif_Central;Early
A6_2016;KDE99;SI;0,793625381;193941772,9;Female;Massif_Central;Late
H10_2017;KDE99;SI;0,861777034;136957966,1;Female;Massif_Central;Early
A2_2017;KDE99;SI;0,863308745;255957076,3;Male;Massif_Central;Early
G2_2018;KDE99;SI;0,82091794;123843538,7;Female;Massif_Central;Late
H4_2019;KDE99;SI;0,763184924;325379428,8;Female;Massif_Central;Early
H11_2018;KDE99;TI;0,916863966;197986830,2;Female;Massif_Central;Early
H4_2018;KDE99;TI;0,988998524;325379428,8;Male;Massif_Central;Early
G3_2018;KDE99;TI;0,727129151;254386461,5;Female;Massif_Central;Late
G4_2019;KDE99;TI;0,855535265;252129894,7;Male;Massif_Central;Late
H10_2019;KDE99;TI;0,964377487;136957966,1;Male;Massif_Central;Late
G2_2019;KDE99;TI;0,93948051;123843538,7;Male;Massif_Central;Late
D15_2020;KDE99;TI;0,99140651;165660212,1;Female;Alps;Early
HA17_2018;KDE99;TI;0,889588829;56488124,3;Male;Alps;Early
HA12_2019;KDE99;TI;0,895535567;60458934,72;Female;Alps;Late
HA13_2020;KDE99;TI;0,93171756;56058914,33;Male;Alps;Late
HA11_2019;KDE99;TI;0,9657726;50407650,84;Female;Alps;Early
H11_2019;KDE99;TI;0,934822626;197986830,2;Male;Massif_Central;Early
H7_2020;KDE99;TI;0,954526867;157590217,4;Female;Massif_Central;Early
H10_2020;KDE99;TI;0,960007571;136957966,1;Female;Massif_Central;Early
A4_2020;KDE99;TI;0,88392184;228156098,4;Male;Massif_Central;Early
A6_2020_1;KDE99;TI;0,944503708;193941772,9;Female;Massif_Central;Early
A6_2020_2;KDE99;TI;0,950596266;193941772,9;Female;Massif_Central;Early
H6_2021;KDE99;TI;0,934250637;175153796,7;Female;Massif_Central;Early
HA17_2020;KDE99;TI;0,937764763;56488124,3;Male;Alps;Early
HA1_2020;KDE99;TI;0,900514465;58118923,95;Female;Alps;Early
HA9_2020;KDE99;TI;0,922427114;66485020,17;Male;Alps;Early
G2_2022;KDE99;TI;0,979968581;123843538,7;Male;Massif_Central;Early
A6_2021;KDE99;TI;0,941843705;193941772,9;Male;Massif_Central;Late
A2_2021;KDE99;TI;0,956201165;255957076,3;Female;Massif_Central;Early
H10_2022;KDE99;TI;0,964841;136957966,1;Male;Massif_Central;Late
HA15_2022;KDE99;TI;0,947463285;65218105,88;Male;Alps;Early
H4_2016;KDE99;TI;0,991850146;325379428,8;Female;Massif_Central;Late
G2_2016;KDE99;TI;0,972566735;123843538,7;Female;Massif_Central;Early
H1_2016;KDE99;TI;0,951966682;197247894,2;Male;Massif_Central;Early
H6_2016;KDE99;TI;0,991865353;267530621,8;Male;Massif_Central;Early
A6_2016;KDE99;TI;0,95620489;193941772,9;Female;Massif_Central;Late
H10_2017;KDE99;TI;0,946111808;136957966,1;Female;Massif_Central;Early
A2_2017;KDE99;TI;0,951784345;255957076,3;Male;Massif_Central;Early
G2_2018;KDE99;TI;0,970803128;123843538,7;Female;Massif_Central;Late
H4_2019;KDE99;TI;0,995506471;325379428,8;Female;Massif_Central;Early
H11_2018;KDE99;LCI;0,880323125;197986830,2;Female;Massif_Central;Early
H4_2018;KDE99;LCI;0,96786849;325379428,8;Male;Massif_Central;Early
G3_2018;KDE99;LCI;0,879448694;254386461,5;Female;Massif_Central;Late
G4_2019;KDE99;LCI;0,946058905;252129894,7;Male;Massif_Central;Late
H10_2019;KDE99;LCI;0,952373034;136957966,1;Male;Massif_Central;Late
G2_2019;KDE99;LCI;0,875837538;123843538,7;Male;Massif_Central;Late
D15_2020;KDE99;LCI;0,97189463;165660212,1;Female;Alps;Early
HA17_2018;KDE99;LCI;0,965647169;56488124,3;Male;Alps;Early
HA12_2019;KDE99;LCI;0,951196708;60458934,72;Female;Alps;Late
HA13_2020;KDE99;LCI;0,892472066;56058914,33;Male;Alps;Late
HA11_2019;KDE99;LCI;0,910800111;50407650,84;Female;Alps;Early
H11_2019;KDE99;LCI;0,889007009;197986830,2;Male;Massif_Central;Early
H7_2020;KDE99;LCI;0,821133615;157590217,4;Female;Massif_Central;Early
H10_2020;KDE99;LCI;0,932745614;136957966,1;Female;Massif_Central;Early
A4_2020;KDE99;LCI;0,89054561;228156098,4;Male;Massif_Central;Early
A6_2020_1;KDE99;LCI;0,950818019;193941772,9;Female;Massif_Central;Early
A6_2020_2;KDE99;LCI;0,880662069;193941772,9;Female;Massif_Central;Early
H6_2021;KDE99;LCI;0,759782426;175153796,7;Female;Massif_Central;Early
HA17_2020;KDE99;LCI;0,91912933;56488124,3;Male;Alps;Early
HA1_2020;KDE99;LCI;0,72607085;58118923,95;Female;Alps;Early
HA9_2020;KDE99;LCI;0,938376657;66485020,17;Male;Alps;Early
G2_2022;KDE99;LCI;0,9412802;123843538,7;Male;Massif_Central;Early
A6_2021;KDE99;LCI;0,939741547;193941772,9;Male;Massif_Central;Late
A2_2021;KDE99;LCI;0,993265009;255957076,3;Female;Massif_Central;Early
H10_2022;KDE99;LCI;0,913729359;136957966,1;Male;Massif_Central;Late
HA15_2022;KDE99;LCI;0,933196984;65218105,88;Male;Alps;Early
H4_2016;KDE99;LCI;0,964495218;325379428,8;Female;Massif_Central;Late
G2_2016;KDE99;LCI;0,933871734;123843538,7;Female;Massif_Central;Early
H1_2016;KDE99;LCI;0,910149589;197247894,2;Male;Massif_Central;Early
H6_2016;KDE99;LCI;0,9474481;267530621,8;Male;Massif_Central;Early
A6_2016;KDE99;LCI;0,822451237;193941772,9;Female;Massif_Central;Late
H10_2017;KDE99;LCI;0,882598597;136957966,1;Female;Massif_Central;Early
A2_2017;KDE99;LCI;0,926881055;255957076,3;Male;Massif_Central;Early
G2_2018;KDE99;LCI;0,856119524;123843538,7;Female;Massif_Central;Late
H4_2019;KDE99;LCI;0,914296519;325379428,8;Female;Massif_Central;Early
H11_2018;KDE50;SI;0,732238782;5321632,328;Female;Massif_Central;Early
H4_2018;KDE50;SI;0,626331186;29231951,47;Male;Massif_Central;Early
G3_2018;KDE50;SI;0,553171861;13795497,85;Female;Massif_Central;Late
G4_2019;KDE50;SI;0,465103606;19719570,8;Male;Massif_Central;Late
H10_2019;KDE50;SI;0,492080849;9019360,66;Male;Massif_Central;Late
G2_2019;KDE50;SI;0,676951517;11066541,04;Male;Massif_Central;Late
D15_2020;KDE50;SI;0,647986891;11152347,28;Female;Alps;Early
HA17_2018;KDE50;SI;0,669112932;4376308,995;Male;Alps;Early
HA12_2019;KDE50;SI;0,67758489;6475393,912;Female;Alps;Late
HA13_2020;KDE50;SI;0,684332127;3563904,618;Male;Alps;Late
HA11_2019;KDE50;SI;0,420356643;6895303,449;Female;Alps;Early
H11_2019;KDE50;SI;0,82621322;5321632,328;Male;Massif_Central;Early
H7_2020;KDE50;SI;0,505433233;13164468,54;Female;Massif_Central;Early
H10_2020;KDE50;SI;0,714596901;9019360,66;Female;Massif_Central;Early
A6_2020_1;KDE50;SI;0,329817278;21324574,62;Male;Massif_Central;Early
A6_2020_2;KDE50;SI;0,702097278;6455357,583;Female;Massif_Central;Early
A6_2020;KDE50;SI;0,255911863;6455357,583;Female;Massif_Central;Early
H6_2021;KDE50;SI;0,628963565;10511331,96;Female;Massif_Central;Early
HA17_2020;KDE50;SI;0,746459179;4376308,995;Male;Alps;Early
HA1_2020;KDE50;SI;0,221567076;6347489,62;Female;Alps;Early
HA9_2020;KDE50;SI;0,724726892;8817231,651;Male;Alps;Early
G2_2022;KDE50;SI;0,648705214;11066541,04;Male;Massif_Central;Early
A6_2021;KDE50;SI;0,614024303;6455357,583;Male;Massif_Central;Late
A2_2021;KDE50;SI;0,851197922;6719333,305;Female;Massif_Central;Early
H10_2022;KDE50;SI;0,668439143;9019360,66;Male;Massif_Central;Late
HA15_2022;KDE50;SI;0,849942169;3903316,983;Male;Alps;Early
H4_2016;KDE50;SI;0,776946921;29231951,47;Female;Massif_Central;Late
G2_2016;KDE50;SI;0,709173442;11066541,04;Female;Massif_Central;Early
H1_2016;KDE50;SI;0,462548042;12179931,54;Male;Massif_Central;Early
H6_2016;KDE50;SI;0,656950477;17310861,02;Male;Massif_Central;Early
A6_2016;KDE50;SI;0,557190715;6455357,583;Female;Massif_Central;Late
H10_2017;KDE50;SI;0,572892276;9019360,66;Female;Massif_Central;Early
A2_2017;KDE50;SI;0,782589117;6719333,305;Male;Massif_Central;Early
