ID_pair;KDE;Period_num;Factor;Level;Difference
A2_2017;KDE50;1;OSO;Urban;1,089530999
A2_2021;KDE50;1;OSO;Urban;1,16693038
HA9_2020;KDE50;1;OSO;Urban;14,68224141
D15_2020;KDE50;1;OSO;Urban;0,024390244
H11_2018;KDE50;1;OSO;Wetland;0,432578095
H11_2019;KDE50;1;OSO;Wetland;0,432578095
H10_2019;KDE50;1;OSO;Wetland;0,020062193
H10_2020;KDE50;1;OSO;Wetland;0,020062193
H10_2022;KDE50;1;OSO;Wetland;0,020062193
G2_2016;KDE50;1;OSO;Wetland;0
G2_2018;KDE50;1;OSO;Wetland;0
G2_2019;KDE50;1;OSO;Wetland;0
G2_2022;KDE50;1;OSO;Wetland;0
HA17_2018;KDE50;1;OSO;Wetland;0
HA17_2020;KDE50;1;OSO;Wetland;0
HA13_2020;KDE50;1;OSO;Wetland;0
HA12_2019;KDE50;1;OSO;Wetland;0,080303225
H1_2016;KDE50;1;OSO;Wetland;NA
H6_2021;KDE50;1;OSO;Wetland;0
HA11_2019;KDE50;1;OSO;Wetland;0
A6_2016;KDE50;1;OSO;Wetland;0
A6_2020_1;KDE50;1;OSO;Wetland;0
A6_2020_2;KDE50;1;OSO;Wetland;0
A6_2021;KDE50;1;OSO;Wetland;0
G3_2018;KDE50;1;OSO;Wetland;0,006187736
HA1_2020;KDE50;1;OSO;Wetland;0
HA15_2022;KDE50;1;OSO;Wetland;0
A4_2020;KDE50;1;OSO;Wetland;0
H4_2016;KDE50;1;OSO;Wetland;0,023614145
H4_2018;KDE50;1;OSO;Wetland;0,023614145
H4_2019;KDE50;1;OSO;Wetland;0,023614145
A2_2017;KDE50;1;OSO;Wetland;-0,049709507
A2_2021;KDE50;1;OSO;Wetland;0,027689873
HA9_2020;KDE50;1;OSO;Wetland;-28,93257324
D15_2020;KDE50;1;OSO;Wetland;0,004878049
H11_2018;KDE50;1;OSO;Rocky;0,510403283
H11_2019;KDE50;1;OSO;Rocky;0,546041201
H10_2019;KDE50;1;OSO;Rocky;5,627738272
H10_2020;KDE50;1;OSO;Rocky;-23,87634196
H10_2022;KDE50;1;OSO;Rocky;-7,011508997
G2_2016;KDE50;1;OSO;Rocky;0
G2_2018;KDE50;1;OSO;Rocky;0
G2_2019;KDE50;1;OSO;Rocky;0
G2_2022;KDE50;1;OSO;Rocky;0
HA17_2018;KDE50;1;OSO;Rocky;11,08018775
HA17_2020;KDE50;1;OSO;Rocky;17,5974694
HA13_2020;KDE50;1;OSO;Rocky;-3,951742024
HA12_2019;KDE50;1;OSO;Rocky;-23,88424093
H1_2016;KDE50;1;OSO;Rocky;NA
H6_2021;KDE50;1;OSO;Rocky;0,011175682
HA11_2019;KDE50;1;OSO;Rocky;16,57837457
A6_2016;KDE50;1;OSO;Rocky;NA
A6_2020_1;KDE50;1;OSO;Rocky;NA
A6_2020_2;KDE50;1;OSO;Rocky;NA
A6_2021;KDE50;1;OSO;Rocky;NA
G3_2018;KDE50;1;OSO;Rocky;0,049501887
HA1_2020;KDE50;1;OSO;Rocky;-46,47437053
HA15_2022;KDE50;1;OSO;Rocky;12,17863959
A4_2020;KDE50;1;OSO;Rocky;0
H4_2016;KDE50;1;OSO;Rocky;-10,03348148
H4_2018;KDE50;1;OSO;Rocky;-22,4500739
H4_2019;KDE50;1;OSO;Rocky;2,054430604
A2_2017;KDE50;1;OSO;Rocky;NA
A2_2021;KDE50;1;OSO;Rocky;NA
HA9_2020;KDE50;1;OSO;Rocky;3,149610507
D15_2020;KDE50;1;OSO;Rocky;NA
G4_2019;KDE99;1;OSO;Crop;0,062359092
H11_2018;KDE99;1;OSO;Crop;1,244179073
H11_2019;KDE99;1;OSO;Crop;1,287162095
H10_2017;KDE99;1;OSO;Crop;3,061053056
H10_2019;KDE99;1;OSO;Crop;1,084768471
H10_2020;KDE99;1;OSO;Crop;1,687007254
H10_2022;KDE99;1;OSO;Crop;1,676970011
G2_2016;KDE99;1;OSO;Crop;0,059283412
G2_2018;KDE99;1;OSO;Crop;0,059283412
G2_2019;KDE99;1;OSO;Crop;0,059283412
G2_2022;KDE99;1;OSO;Crop;-0,120249802
HA17_2018;KDE99;1;OSO;Crop;0,049652433
HA17_2020;KDE99;1;OSO;Crop;0,049652433
HA13_2020;KDE99;1;OSO;Crop;0,060766371
HA12_2019;KDE99;1;OSO;Crop;0,005751975
H1_2016;KDE99;1;OSO;Crop;0,433477826
H6_2016;KDE99;1;OSO;Crop;0,615752229
H6_2021;KDE99;1;OSO;Crop;0,644093732
HA11_2019;KDE99;1;OSO;Crop;0,095922239
A6_2016;KDE99;1;OSO;Crop;1,647455721
A6_2020_1;KDE99;1;OSO;Crop;1,180711264
A6_2020_2;KDE99;1;OSO;Crop;1,647455721
A6_2021;KDE99;1;OSO;Crop;1,621595881
G3_2018;KDE99;1;OSO;Crop;0,118686075
HA1_2020;KDE99;1;OSO;Crop;0,003800692
HA15_2022;KDE99;1;OSO;Crop;0,647396736
A4_2020;KDE99;1;OSO;Crop;1,199185435
