site,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,Big_Lagoon,Davis_Lake,Eel_River_Estuary_Preserve,HBNWR_SCU_North,HBNWR_SCU_South,Lake_Earl,Martin_Slough_,Ocean_Ranch,Salt_River,Stone_Lagoon,Ten_Mile_River,Tillas_Slough
99,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
100,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
100,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
101,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
102,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
102,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
104,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
105,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
105,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
106,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
106,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
107,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
107,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
108,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
108,2,1,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
109,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
109,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
110,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
110,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
112,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
113,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
114,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
116,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
116,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
117,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
118,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
118,2,1,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
120,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
120,2,1,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
121,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
121,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
122,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
122,2,1,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
123,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
123,2,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
124,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
124,2,1,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
125,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
125,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
126,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
126,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
127,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
127,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
128,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
128,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
131,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
132,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
133,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
133,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
135,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
135,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
136,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
136,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
137,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
138,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
138,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
139,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
139,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
140,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
140,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
141,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
141,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
142,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
142,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
143,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
143,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
144,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
144,2,0,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
145,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
145,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
146,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
146,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
147,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
147,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
148,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
148,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
150,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
150,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
151,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
151,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
152,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
152,2,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
153,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
