ID,Generation,Replicate,Soilline,Pollinationline,Herbivoreline,Treatment,Nb_silliques,Nb_seeds,Nb_seeds_per_sillique,Relativeseedset,Visits,Timetofirstflower,Height,NbFlowers,Flowerdiameter,PetalArea,PetalLength,PetalWidth,logNectar,Style,Stamen,Herkogamy,LNBenzaldehyde,LN_1_Butene_4_isothiocyanate,LN_Methyl_benzoate,LN_Phenylethyl_Alcohol,LN_2_Amino_benzaldehyde,LN_p_Anisaldehyde,LN_Methyl_anthranilate,LN_Z_3_Hexen_1_ol_acetate,LN_Phenylacetaldehyde,LN_Benzyl_nitrile,LN_Methyl_salicylate,LN_Indole,LN_E.E_a_Farnesene,LN_Totalvolatiles
42,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,15.4,1,NA,NA,NA,NA,2.312212328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,7,A,T,B,NH,TNHB,2,2,1,0.148260212,1,27,21.4,3,13.92666667,0.217972222,0.899,0.413083333,1.96779057,0.711666667,0.572,0.145666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,7,A,T,B,NH,TNHB,5,95,19,7.042360061,3,26,21.3,7,14.81,0.245708333,1.018375,0.437958333,2.170286795,0.817,0.6545,0.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,34.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,13.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,7,A,T,B,NH,TNHB,NA,0,NA,0,0,31,8.2,0,14.37,0.3365,1.007916667,0.553611111,2.013293467,0.769,0.694,0.093666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,7,A,T,B,NH,TNHB,NA,0,NA,0,0,33,7.6,0,14.88666667,0.355666667,1.043666667,0.581666667,2.234224442,0.653,0.722,0.087666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,A,T,B,H,THB,NA,0,NA,0,1,25,12.1,3,14.06333333,0.24925,0.8295,0.466,2.29599603,0.663666667,0.562333333,0.101333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,A,T,B,H,THB,6,44,7.333333333,4.244094488,3,25,22.1,11,14.17333333,0.327333333,1.084583333,0.5365,1.882032905,0.899,0.750333333,0.148666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,A,T,B,H,THB,1,2,2,0.192913386,3,21,25,6,14.50333333,0.2925,0.97375,0.47675,2.136214512,0.664666667,0.655333333,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,A,T,B,H,THB,NA,0,NA,0,1,23,23.1,3,15.19333333,0.29725,1.033416667,0.497166667,2.095283626,0.845666667,0.759,0.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,A,T,B,H,THB,4,28,7,2.700787402,1,25,22.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,A,T,B,H,THB,NA,0,NA,0,0,26,18.6,7,14.68,0.293333333,1.128083333,0.437083333,2.440348346,1.063,0.687333333,0.375666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,A,T,B,H,THB,NA,0,NA,0,0,21,26.1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,A,T,B,H,THB,NA,0,NA,0,3,23,13.8,4,13.28,0.2165,0.877361111,0.420861111,2.228998125,0.811,0.584666667,0.226333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,A,T,B,H,THB,3,31,10.33333333,2.99015748,1,NA,17.4,7,13.04333333,0.203583333,0.935416667,0.40825,1.747635307,0.940666667,0.684,0.256666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,A,T,B,H,THB,1,9,9,0.868110236,1,22,18.2,3,12.97,0.332291667,1.081,0.5475,2.09488602,1.0375,0.6505,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,A,T,B,H,THB,NA,0,NA,0,0,21,23.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,A,T,B,H,THB,4,53,13.25,5.112204724,1,20,24.8,7,NA,NA,NA,NA,1.874169488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7,A,T,B,H,THB,NA,0,NA,0,1,21,20.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7,A,T,B,H,THB,NA,0,NA,0,0,24,21.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7,A,T,B,H,THB,NA,0,NA,0,0,28,11.3,1,13.16,0.214166667,0.924777778,0.377805556,2.144099426,0.641333333,0.657,0.092333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,7,A,T,B,H,THB,NA,0,NA,0,0,28,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,7,A,T,B,H,THB,NA,0,NA,0,0,32,7.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,7,A,T,B,H,THB,6,31,5.166666667,2.99015748,1,25,25.3,12,13.335,0.263875,1.022375,0.44725,0.127713791,0.998,0.7465,0.2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,A,T,B,H,THB,NA,0,NA,0,0,23,12.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,7,A,T,B,H,THB,NA,0,NA,0,0,25,16.2,4,13.62666667,0.238583333,0.922027778,0.451444444,1.826702236,0.707333333,0.608333333,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,7,A,T,B,H,THB,NA,0,NA,0,0,28,14.7,1,12.92,0.216277778,0.898222222,0.405388889,1.878118993,0.744666667,0.717666667,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,7,A,T,B,H,THB,NA,0,NA,0,0,27,11.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,7,A,T,B,H,THB,NA,0,NA,0,0,NA,23.2,7,12.79333333,0.257333333,0.953833333,0.471666667,2.128920024,0.780666667,0.648,0.132666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,7,A,T,B,H,THB,7,27,3.857142857,2.604330709,1,24,26.1,6,11.92666667,0.18125,0.879111111,0.372388889,1.751160622,0.787,0.596333333,0.190666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,7,A,T,B,H,THB,NA,0,NA,0,0,33,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,7,A,T,B,H,THB,1,13,13,1.253937008,1,26,18.4,2,14.03666667,0.265083333,1.004166667,0.455083333,1.674565447,0.821333333,0.657,0.212333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,7,A,T,B,H,THB,NA,0,NA,0,0,23,12.2,3,11.66333333,0.183166667,0.804333333,0.381,1.977280554,0.716,0.567333333,0.148666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,7,A,T,B,H,THB,NA,0,NA,0,1,23,22,3,14.48,0.2625,0.972111111,0.455694444,2.253419472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7,A,T,B,H,THB,NA,0,NA,0,0,22,19.9,3,14.52,0.292916667,1.062111111,0.494527778,0.089170154,0.702666667,0.764333333,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,7,A,T,B,H,THB,9,106,11.77777778,10.22440945,1,23,21.9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,7,A,T,B,H,THB,3,19,6.333333333,1.832677165,3,22,16,6,13.645,0.25275,0.919125,0.4585,1.849687093,0.6575,0.624,0.0835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,7,A,T,B,H,THB,2,9,4.5,0.868110236,2,22,21.3,10,15.06,0.3155,1.053833333,0.531833333,2.255622934,0.997333333,0.696333333,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,7,A,T,B,H,THB,NA,0,NA,0,0,23,23.4,11,NA,NA,NA,NA,1.918152855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,7,A,T,B,H,THB,NA,0,NA,0,0,23,18.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,7,A,T,B,H,THB,NA,0,NA,0,2,28,16,1,14.23333333,0.28825,1.012666667,0.504638889,1.940286558,0.851333333,0.738666667,0.112666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,7,A,T,B,H,THB,NA,0,NA,0,0,22,25.6,9,15.325,0.285375,1.06175,0.469875,2.419758111,0.955,0.7675,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,7,A,T,B,H,THB,NA,0,NA,0,0,22,13.4,2,14.12,0.263375,0.971875,0.459,1.973088363,0.877,0.7205,0.1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,7,A,T,B,H,THB,NA,0,NA,0,2,29,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,7,A,T,B,H,THB,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,7,A,T,B,H,THB,NA,0,NA,0,0,28,13.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,7,A,T,B,H,THB,NA,0,NA,0,0,32,10.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,7,A,T,B,H,THB,5,64,12.8,6.173228346,1,22,26.6,3,15.47,0.319666667,1.165805556,0.481972222,2.164903362,0.730666667,0.777,0.109666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,7,A,T,B,H,THB,7,31,4.428571429,2.99015748,2,18,18,11,12.78,0.272875,1.013875,0.459625,1.977280554,0.849666667,0.772666667,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,7,A,T,B,H,THB,7,41,5.857142857,3.954724409,2,25,24.9,6,12.24333333,0.17925,0.83125,0.3725,1.526243523,0.580666667,0.697333333,0.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,7,A,T,B,H,THB,NA,0,NA,0,0,NA,3.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,A,L,B,NH,LNHB,5,35,7,2.709320695,2,24,25.6,6,13.15,0.23075,0.915833333,0.442083333,1.875489985,0.472,0.604666667,0.132666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,A,L,B,NH,LNHB,5,13,2.6,1.006319115,1,20,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,A,L,B,NH,LNHB,NA,0,NA,0,0,25,15.8,0,NA,NA,NA,NA,1.91455259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,A,L,B,NH,LNHB,NA,0,NA,0,0,NA,13.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,A,L,B,NH,LNHB,NA,0,NA,0,0,37,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,A,L,B,NH,LNHB,1,9,9,0.696682464,1,33,16.2,4,12.47,0.195,0.876083333,0.38375,1.653102517,0.641,0.605666667,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,A,L,B,NH,LNHB,NA,0,NA,0,0,26,22.6,6,10.32666667,0.157916667,0.739,0.362833333,0.974652064,0.621666667,0.443,0.178666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,A,L,B,NH,LNHB,NA,0,NA,0,0,21,21.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,A,L,B,NH,LNHB,5,34,6.8,2.631911532,1,29,21.7,8,14.15,0.243305556,0.990416667,0.418833333,1.766679718,0.697,0.676666667,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,A,L,B,NH,LNHB,NA,0,NA,0,0,24,14.3,0,11.26,0.192666667,0.773,0.407333333,1.791372711,0.69,0.628666667,0.097333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,A,L,B,NH,LNHB,NA,0,NA,0,0,36,6.9,0,11.02,0.124805556,0.681638889,0.311777778,1.400702768,0.513,0.552333333,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,A,L,B,NH,LNHB,NA,0,NA,0,1,20,18.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7,A,L,B,NH,LNHB,NA,0,NA,0,1,19,24.6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7,A,L,B,NH,LNHB,5,36,7.2,2.786729858,1,26,21.4,7,13.485,0.249875,0.98,0.45825,1.907261266,0.834,0.5765,0.2575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7,A,L,B,NH,LNHB,2,6,3,0.464454976,1,24,26.6,7,14.34333333,0.26275,1.025666667,0.448916667,2.162867245,0.681333333,0.616333333,0.094333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,7,A,L,B,NH,LNHB,NA,0,NA,0,0,29,12.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,7,A,L,B,NH,LNHB,NA,0,NA,0,0,20,31.1,8,NA,NA,NA,NA,1.47633692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,7,A,L,B,NH,LNHB,10,79,7.9,6.115323855,3,22,17.2,10,15.13,0.296583333,1.037416667,0.501083333,1.950389822,0.877333333,0.698,0.179333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,A,L,B,NH,LNHB,NA,0,NA,0,2,24,23.6,4,11.60666667,0.205277778,0.880527778,0.422388889,2.029314391,0.792666667,0.707,0.085666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,7,A,L,B,NH,LNHB,5,55,11,4.257503949,1,32,11.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
