invasive growth;non_inv;non_inv;inv;inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;inv;inv;inv;inv;inv;non_inv;inv;inv
saple code;10_14;1_13;1_14;14_12;15_13;16_14;24_14;26_10;35_11;37_10;37_12;38_12;44_14;46_12;50_12;51_10;5_13;55_14;80_11;9_13
hsa-miR-484 z prekursora hsa-mir-484;1174,94829845324;1320,41052556337;922,307161399141;1209,2137955831;1444,75539258017;893,313497462839;736,976867869277;1509,61275382947;2075,32706446981;1606,36669013757;989,672048870826;1008,86903070456;1021,5966828867;698,275305428495;740,575155087876;2175,6929503205;1608,61063343372;728,780757776328;1184,82669330543;1529,81813697574
hsa-miR-425-5p z prekursora hsa-mir-425;984,416141947307;1405,94806873399;579,902449031372;1312,48516011271;923,661578654411;1016,01642250152;1430,23476900055;1132,48127393111;1256,15598892079;1178,61418864951;1269,38924392557;623,267646372768;1352,65652588059;875,786303016356;1716,10728006366;986,475524067433;1326,93492607276;1016,84164017608;1721,018851766;899,36132720287
hsa-miR-3909 z prekursora hsa-mir-3909;29,4031105719028;22,8903284541095;18,9415372799192;8,44947527969558;21,7414646456239;29,7383274593216;14,9893600244599;17,9327648943026;15,4560580292268;18,358476458715;17,5607207657688;24,2516593919365;24,1545808192962;15,2012180254799;35,7042454241433;12,1039941603366;28,2072993266965;26,5493900829263;18,5855167577322;44,0641856292863
hsa-miR-23b-3p z prekursora hsa-mir-23b;5787,70828497335;4126,28289238553;8883,58098428209;4067,01410129347;4096,16207299247;7010,48745584529;5308,73167532954;5393,95831335901;11112,905723014;4101,28364087694;5971,89939755894;6887,47126730997;4417,4465745407;4497,59908805488;4586,26791222383;5803,8651998814;5051,49029491473;10703,3866119318;3836,05065879592;5013,1485035165
hsa-miR-338-5p z prekursora hsa-mir-338;217,583018232081;143,365741370475;147,16117425168;130,497451541965;126,240762458462;169,379169442223;107,423746841962;120,638600198036;139,104522263041;119,330096981648;111,636010582387;160,060951986781;122,193761791734;160,348332075223;138,209982287006;146,760929194081;98,1296187844229;147,349114960241;128,240065628352;196,594058961431
hsa-miR-338-3p z prekursora hsa-mir-338;1733,60739931939;1801,10742309967;683,352383406315;1110,63658398665;1303,08520359901;1762,83633295822;1410,2489556346;1503,09174841336;657,585014334375;917,923822935752;931,9725377833;468,057026264375;1227,62104869835;2255,6646102325;1474,2398110614;1092,38547297038;1252,64246164893;992,947189101445;1025,92052502682;1465,41663490216
hsa-miR-744-3p z prekursora hsa-mir-744;151,720050551019;80,7185266539651;56,8246118397575;124,864468022168;63,8217187984445;92,9645975793575;153,640940250714;130,420108322201;49,1783664566306;128,509335211005;81,5319178410693;109,132467263714;109,406042534459;60,3145102301298;111,719735681997;78,6759620421879;79,4571812019619;116,817316364876;127,310789790465;122,023898665716
hsa-miR-30c-1-3p z prekursora hsa-mir-30c-1;23,5224884575223;8,43327890414561;10,1992893045719;18,7766117326568;8,76671961517094;12,412519287369;12,4911333537166;7,60783965212837;14,0509618447516;18,358476458715;7,52602318532947;16,9761615743556;7,10428847626359;13,2397705383212;12,6692483763089;18,1559912405049;8,74028993221581;11,9472255373169;20,4440684335054;12,4283600492859
hsa-miR-200b-5p z prekursora hsa-mir-200b;365,774695514471;232,517546928586;173,387918177722;254,4230889775;208,297258056462;352,205234779096;0;167,915889464833;276,803948341606;266,197908651368;186,896242435682;185,525194348314;115,08947331547;232,431527228305;196,949224758984;376,736818240477;171,627511396238;305,317985953653;271,34854466289;221,450779060003
hsa-miR-21-3p z prekursora hsa-mir-21;30,5792349947789;8,43327890414561;11,6563306337964;20,6542729059225;9,81872596899146;22,8855824360866;19,9858133659465;15,7590964222659;16,8611542137019;23,8660193963296;18,8150579633237;23,0390764223397;36,9423000765707;12,7494086665315;16,1244979334841;16,6429919704628;16,686008052412;14,6021645456095;13,0098617304125;19,2074655307146
