"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
