"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
