AL627309.1
RCC2
ARHGEF10L
IGSF21
ALDH4A1
IFFO2
AL137127.1
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
CAPZB
MICOS10
NBL1
TMCO4
OTUD3
PLA2G2A
PLA2G5
Z98257.1
UBXN10
LINC01141
CAMK2N1
MUL1
CDA
PINK1
PINK1-AS
DDOST
KIF17
HP1BP3
EIF4G3
ECE1
NBPF3
ALPL
RAP1GAP
USP48
LDLRAD2
HSPG2
LINC00339
CDC42
CDC42-AS1
CDC42-IT1
WNT4
AL445253.1
ZBTB40
C1QA
C1QC
C1QB
EPHB2
KDM1A
AL031428.1
LUZP1
LINC01355
AL109936.6
HNRNPR
ZNF436
ZNF436-AS1
TCEA3
ASAP3
ID3
AL450043.1
MDS2
ELOA-AS1
ELOA
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
SRSF10
IL22RA1
IFNLR1
AL138902.1
GRHL3
STPG1
NIPAL3
RCAN3AS
RCAN3
NCMAP-DT
NCMAP
SRRM1
CLIC4
RUNX3
SYF2
AL031432.4
RSRP1
RHD
TMEM50A
RHCE
MACO1
LDLRAP1
AL606491.1
MAN1C1
AL031280.1
SELENON
AL020996.1
MTFR1L
AUNIP
PAQR7
STMN1
PAFAH2
PDIK1L
ZNF593
CNKSR1
CEP85
SH3BGRL3
UBXN11
DHDDS
AL513365.2
HMGN2
ARID1A
PIGV
ZDHHC18
GPN2
GPATCH3
NUDC
NR0B2
KDF1
TRNP1
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
FCN3
WASF2
FO393419.2
AHDC1
FGR
IFI6
FAM76A
STX12
AL020997.2
PPP1R8
THEMIS2
RPA2
SMPDL3B
AL512288.1
XKR8
EYA3
PTAFR
DNAJC8
ATP5IF1
AL353622.1
SESN2
MED18
PHACTR4
RCC1
SNHG3
TRNAU1AP
SNHG12
TAF12
LINC01715
AL360012.1
GMEB1
YTHDF2
OPRD1
EPB41
AL357500.1
SRSF4
MECR
PTPRU
MATN1-AS1
LAPTM5
SDC3
PUM1
NKAIN1
SNRNP40
ZCCHC17
AL451070.1
FABP3
SERINC2
LINC01226
TINAGL1
HCRTR1
PEF1
COL16A1
SPOCD1
AL136115.2
PTP4A2
KHDRBS1
AL445248.1
TMEM39B
KPNA6
TXLNA
CCDC28B
IQCC
DCDC2B
TMEM234
EIF3I
LCK
HDAC1
MARCKSL1
TSSK3
FAM229A
BSDC1
ZBTB8B
ZBTB8A
ZBTB8OS
RBBP4
SYNC
KIAA1522
YARS
S100PBP
FNDC5
AL031602.2
RNF19B
AL020995.1
AK2
AZIN2
TRIM62
ZNF362
A3GALT2
AL513327.1
PHC2
AL513327.2
ZSCAN20
CSMD2
SMIM12
GJB3
GJA4
DLGAP3
TMEM35B
ZMYM6
ZMYM1
SFPQ
ZMYM4
ZMYM4-AS1
KIAA0319L
NCDN
TFAP2E
PSMB2
C1orf216
CLSPN
AGO4
AGO1
AL139286.3
AGO3
AL138787.2
ADPRHL2
COL8A2
TRAPPC3
MAP7D1
THRAP3
SH3D21
EVA1B
STK40
LSM10
OSCP1
MRPS15
CSF3R
LINC01137
ZC3H12A
MEAF6
SNIP1
DNALI1
GNL2
C1orf109
CDCA8
MANEAL
YRDC
C1orf122
MTF1
AL929472.2
INPP5B
SF3A3
FHL3
UTP11
MIR3659HG
RRAGC
AL139260.1
MYCBP
GJA9
RHBDL2
AKIRIN1
NDUFS5
MACF1
AL356055.1
AL442071.2
AL442071.1
BMP8A
PABPC4
PABPC4-AS1
HEYL
PPIE
BMP8B
LINC02811
TRIT1
MFSD2A
CAP1
PPT1
RLF
AL050341.2
ZMPSTE24
SMAP2
AL031985.4
ZFP69B
ZFP69
AL603839.3
EXO5
ZNF684
RIMS3
AL031289.1
NFYC-AS1
NFYC
KCNQ4
CITED4
CTPS1
SLFNL1-AS1
SLFNL1
SCMH1
AC093151.8
HIVEP3
FOXJ3
RIMKLA
ZMYND12
PPCS
CCDC30
PPIH
AC098484.4
YBX1
P3H1
C1orf50
TMEM269
SVBP
ERMAP
AL512353.1
ZNF691
SLC2A1
SLC2A1-AS1
EBNA1BP2
CFAP57
TIE1
ELOVL1
MED8
SZT2
HYI
PTPRF
KDM4A
KDM4A-AS1
ST3GAL3
AL451062.1
AL357079.1
IPO13
DPH2
ATP6V0B
B4GALT2
CCDC24
AL139220.2
DMAP1
ERI3
RNF220
TMEM53
ARMH1
KIF2C
AL592166.1
BEST4
PLK3
TCTEX1D4
BTBD19
PTCH2
EIF2B3
HECTD3
UROD
ZSWIM5
MUTYH
TOE1
TESK2
MMACHC
PRDX1
AKR1A1
NASP
CCDC17
GPBP1L1
TMEM69
IPP
MAST2
PIK3R3
TSPAN1
POMGNT1
LURAP1
RAD54L
LRRC41
UQCRH
NSUN4
FAAH
MKNK1-AS1
MKNK1
MOB3C
ATPAF1
EFCAB14-AS1
EFCAB14
CYP4A11
CYP4X1
CYP4Z1
CYP4A22-AS1
CYP4A22
LINC00853
TAL1
STIL
CMPK1
LINC01389
TRABD2B
LINC02794
SLC5A9
SPATA6
AGBL4
ELAVL4
FAF1
AL049637.1
LINC01562
RNF11
AL162430.2
TTC39A
EPS15
AC104170.2
AC104170.1
OSBPL9
NRDC
AL050343.2
RAB3B
TXNDC12
KTI12
AL445685.1
BTF3L4
ZFYVE9
CC2D1B
ORC1
PRPF38A
TUT4
GPX7
SHISAL2A
COA7
ZYG11B
ZYG11A
ECHDC2
SCP2
PODN
SLC1A7
CPT2
AL606760.2
CZIB
MAGOH
LRP8
GLIS1
NDC1
YIPF1
DIO1
HSPB11
LRRC42
TMEM59
TCEANC2
CYB5RL
MRPL37
SSBP3
ACOT11
FAM151A
MROH7
TTC4
TTC22
LEXM
DHCR24
AC096536.3
AC096536.2
DHCR24-DT
PCSK9
USP24
MIR4422HG
AL603840.1
AC119674.1
LINC01767
PLPP3
PRKAA2
FYB2
C8A
C8B
AL161740.1
DAB1
OMA1
TACSTD2
MYSM1
AL136985.3
JUN
LINC01135
AL136985.1
LINC02777
LINC01358
AC093425.1
FGGY
AL035416.1
HOOK1
CYP2J2
AC099792.1
NFIA
NFIA-AS2
NFIA-AS1
TM2D1
PATJ
L1TD1
KANK4
USP1
DOCK7
ANGPTL3
AC103923.1
ATG4C
LINC01739
LINC00466
ALG6
ITGB3BP
BX004807.1
EFCAB7
DLEU2L
PGM1
ROR1
ROR1-AS1
CACHD1
RAVER2
JAK1
LINC01359
AK4
DNAJC6
AL139294.1
LEPROT
LEPR
PDE4B
SGIP1
AL139147.1
TCTEX1D1
WDR78
MIER1
SLC35D1
C1orf141
IL23R
IL12RB2
SERBP1
LINC01702
GADD45A
GNG12
GNG12-AS1
DIRAS3
WLS
AL033530.1
LRRC7
LRRC40
SRSF11
ANKRD13C
HHLA3
CTH
AL354872.2
PTGER3
ZRANB2-AS1
ZRANB2
ZRANB2-AS2
NEGR1
AL513166.1
AL583808.1
LRRIQ3
FPGT
TNNI3K
AC093158.1
AC135803.1
CRYZ
TYW3
SLC44A5
ACADM
RABGGTB
MSH4
ST6GALNAC3
ST6GALNAC5
PIGK
AK5
AC118549.1
USP33
MIGA1
NEXN-AS1
NEXN
FUBP1
DNAJB4
GIPC2
AC103591.3
AC096531.2
PTGFR
IFI44L
IFI44
ADGRL4
ADGRL2
AL138799.4
AC117944.1
AL157944.1
LINC01362
AC116099.1
LINC01712
LINC01725
AL035706.1
TTLL7
AL359504.2
PRKACB
SAMD13
RPF1
GNG5
SPATA1
CTBS
AL359762.1
SSX2IP
LPAR3
MCOLN2
WDR63
MCOLN3
SYDE2
C1orf52
BCL10
AL078459.1
DDAH1
AC092807.3
CCN1
ZNHIT6
COL24A1
LINC02795
ODF2L
CLCA4-AS1
SH3GLB1
SELENOF
HS2ST1
AL121989.1
LINC01140
LMO4
PKN2-AS1
PKN2
GTF2B
KYAT3
RBMXL1
GBP3
GBP1
GBP2
AC104459.1
GBP7
GBP4
GBP5
AL596214.1
LRRC8B
LRRC8C-DT
LRRC8C
LRRC8D
ZNF326
AC098656.1
LINC02609
LINC02788
ZNF644
HFM1
CDC7
TGFBR3
BRDT
BTBD8
GLMN
RPAP2
GFI1
EVI5
DIPK1A
MTF2
TMED5
CCDC18
CCDC18-AS1
DR1
FNBP1L
BCAR3
AL109613.1
DNTTIP2
GCLM
ABCA4
ARHGAP29
ARHGAP29-AS1
ABCD3
F3
SLC44A3
CNN3
AC105942.1
ALG14
TLCD4
AC092802.3
AC092802.1
RWDD3
AC092802.2
LINC02607
PTBP2
DPYD
DPYD-AS1
DPYD-IT1
SNX7
LINC01708
PALMD
FRRS1
AGL
SLC35A3
MFSD14A
AC093019.2
SASS6
TRMT13
LRRC39
DBT
AL445928.2
RTCA-AS1
RTCA
CDC14A
AL589990.1
GPR88
VCAM1
EXTL2
AC104506.1
SLC30A7
DPH5
AC093157.1
AL109741.1
S1PR1
COL11A1
AC095032.1
RNPC3
AMY2B
AL591888.1
LINC01676
AL355306.2
PRMT6
VAV3
SLC25A24
FAM102B
PRPF38B
STXBP3
AKNAD1
GPSM2
CLCC1
WDR47
TAF13
AL356488.3
TMEM167B
AL356488.2
KIAA1324
SARS
CELSR2
PSRC1
SORT1
PSMA5
SYPL2
ATXN7L2
CYB561D1
GNAI3
AMPD2
GSTM4
GSTM2
GSTM1
AC000032.1
GSTM3
CSF1
AHCYL1
STRIP1
AL160006.1
KCNC4
RBM15-AS1
RBM15
LAMTOR5-AS1
SLC16A4
AL355488.1
LAMTOR5
AL365361.1
CD53
AL360270.2
AL360270.1
LRIF1
DRAM2
CEPT1
AL355816.2
DENND2D
CHI3L2
OVGP1
AL390195.2
AL390195.1
WDR77
ATP5PB
C1orf162
TMIGD3
RAP1A
INKA2
INKA2-AS1
DDX20
KCND3
LINC01750
AL445426.1
CTTNBP2NL
WNT2B
ST7L
CAPZA1
MOV10
AL603832.1
RHOC
LINC01356
LINC01357
SLC16A1
SLC16A1-AS1
AL390242.1
LRIG2-DT
LRIG2
MAGI3
PHTF1
RSBN1
AL137856.1
PTPN22
AP4B1-AS1
BCL2L15
AP4B1
HIPK1-AS1
HIPK1
OLFML3
TRIM33
BCAS2
DENND2C
NRAS
CSDE1
SIKE1
SYCP1
TSPAN2
NGF-AS1
NGF
VANGL1
SLC22A15
MAB21L3
ATP1A1
ATP1A1-AS1
LINC01762
AL390066.1
CD58
CD2
PTGFRN
CD101
AL445231.1
TTF2
TRIM45
VTCN1
MAN1A2
TENT5C
GDAP2
WDR3
SPAG17
TBX15
WARS2
WARS2-IT1
WARS2-AS1
AL359915.1
LINC01780
HAO2
HSD3B2
ZNF697
PHGDH
HMGCS2
NOTCH2
SEC22B
NBPF26
AC253572.2
LINC00623
SRGAP2C
SRGAP2-AS1
LINC02798
AL592494.1
AL592494.2
LINC01691
AC239800.2
LINC02591
LINC02802
NBPF15
FP700111.1
SRGAP2B
AC245014.3
NBPF20
GPR89A
PDZK1
CD160
RNF115
POLR3C
NUDT17
PIAS3
ANKRD35
ITGA10
PEX11B
RBM8A
LIX1L-AS1
LIX1L
POLR3GL
TXNIP
HJV
AC239799.2
LINC01719
NBPF10
NOTCH2NLA
AC245407.2
NBPF12
PRKAB2
AC242426.2
FMO5
CHD1L
LINC00624
BCL9
ACP6
GPR89B
NBPF11
LINC02805
AC239809.3
LINC01138
NBPF14
NOTCH2NLB
PDE4DIP
AC239802.2
NBPF9
AC245297.3
NOTCH2NLC
NBPF19
AC242842.1
HIST2H2BF
HIST2H2BE
HIST2H2AC
BOLA1
SF3B4
MTMR11
OTUD7B
AC244033.2
VPS45
PLEKHO1
ANP32E
APH1A
C1orf54
CIART
MRPS21
PRPF3
RPRD2
TARS2
ECM1
FALEC
AL356356.1
ADAMTSL4
ADAMTSL4-AS1
MCL1
ENSA
GOLPH3L
HORMAD1
CTSS
CTSK
ARNT
SETDB1
CERS2
ANXA9
MINDY1
PRUNE1
BNIPL
C1orf56
CDC42SE1
MLLT11
GABPB2
SEMA6C
SCNM1
LYSMD1
VPS72
PIP5K1A
PSMD4
ZNF687
PI4KB
RFX5
SELENBP1
PSMB4
POGZ
CGN
TUFT1
AL365436.2
SNX27
AL391335.1
AL589765.7
MRPL9
TDRKH
TDRKH-AS1
LINGO4
RORC
C2CD4D-AS1
THEM4
AL450992.2
S100A10
AL450992.1
S100A11
FLG-AS1
FLG
S100A9
S100A12
S100A8
S100A6
S100A4
BX470102.2
S100A16
S100A14
S100A13
AL162258.2
CHTOP
SNAPIN
ILF2
NPR1
INTS3
SLC27A3
GATAD2B
AL358472.5
DENND4B
CRTC2
SLC39A1
AL358472.4
CREB3L4
JTB
RAB13
NUP210L
TPM3
C1orf189
C1orf43
UBAP2L
HAX1
ATP8B2
IL6R-AS1
IL6R
SHE
TDRD10
UBE2Q1
ADAR
AL606500.1
KCNN3
PMVK
PBXIP1
PYGO2
AL451085.2
SHC1
CKS1B
FLAD1
ZBTB7B
DCST2
DCST1
ADAM15
EFNA4
EFNA1
SLC50A1
DPM3
KRTCAP2
TRIM46
AC234582.1
THBS3
MTX1
GBA
FAM189B
SCAMP3
CLK2
HCN3
PKLR
FDPS
RUSC1-AS1
RUSC1
ASH1L
ASH1L-IT1
ASH1L-AS1
MSTO1
AL353807.5
YY1AP1
DAP3
AL162734.1
GON4L
SYT11
RIT1
KHDC4
ARHGEF2
AL355388.1
AL355388.3
SSR2
UBQLN4
LAMTOR2
MEX3A
LMNA
SEMA4A
SLC25A44
PMF1
BGLAP
PAQR6
SMG5
TMEM79
GLMP
CCT3
TSACC
RHBG
C1orf61
MEF2D
NAXE
GPATCH4
NES
ISG20L2
RRNAD1
MRPL24
HDGF
PRCC
SH2D2A
NTRK1
PEAR1
ARHGEF11
ETV3
FCRL3
CD5L
KIRREL1
CD1D
MNDA
PYHIN1
IFI16
AIM2
AL513323.1
LINC02819
APCS
CRP
DUSP23
FCRL6
CFAP45
TAGLN2
IGSF9
LINC01133
KCNJ10
PIGM
IGSF8
AL121987.2
PEA15
DCAF8
AL139011.1
PEX19
COPA
NCSTN
SLAMF6
CD84
SLAMF1
AL121985.1
CD48
SLAMF7
LY9
CD244
F11R
TSTD1
USF1
ARHGAP30
KLHDC9
PFDN2
NIT1
DEDD
UFC1
USP21
PPOX
B4GALT3
ADAMTS4
NDUFS2
FCER1G
APOA2
TOMM40L
NR1I3
PCP4L1
MPZ
SDHC
AL592295.4
AL592295.5
AL592295.3
FCGR2A
HSPA6
FCGR3A
FCGR3B
FCGR2B
DUSP12
ATF6
NOS1AP
AL450163.1
C1orf226
SH2D1B
UHMK1
UAP1
AL596325.2
DDR2
HSD17B7
RGS5
AL499616.1
AL592435.1
NUF2
PBX1
LMX1A
AL356441.1
MGST3
ALDH9A1
TMCO1
TMCO1-AS1
UCK2
AL358115.1
FAM78B
POGK
TADA1
ILDR2
POU2F1
CD247
CREG1
RCSD1
MPZL1
ADCY10
MPC2
DCAF6
GPR161
TIPRL
SFT2D2
TBX19
AL023755.1
DPT
LINC00970
ATP1B1
NME7
Z99758.1
BLZF1
CCDC181
SLC19A2
Z99572.1
F5
SELP
C1orf112
SELL
SELE
METTL18
SCYL3
KIFAP3
LINC01681
GORAB
BX284613.2
MROH9
FMO3
FMO2
FMO1
FMO4
PRRC2C
MYOCOS
MYOC
VAMP4
EEF1AKNMT
DNM3
DNM3OS
PIGC
C1orf105
SUCO
AL031599.1
TNFSF4
AL645568.1
PRDX6
SLC9C2
ANKRD45
KLHL20
CENPL
DARS2
GAS5
ZBTB37
SERPINC1
RC3H1
RC3H1-IT1
RABGAP1L-DT
RABGAP1L
RABGAP1L-IT1
Z99127.1
Z99127.4
CACYBP
MRPS14
TNN
KIAA0040
TNR
LINC02803
COP1
AL590723.1
AL591043.2
PAPPA2
ASTN1
BRINP2
LINC01645
AL136114.1
SEC16B
RASAL2
C1orf220
AL449106.1
RALGPS2
ANGPTL1
FAM20B
TOR3A
ABL2
SOAT1
AXDND1
TDRD5
FAM163A
LINC02818
TOR1AIP2
AL353708.3
TOR1AIP1
CEP350
QSOX1
LHX4
ACBD6
XPR1
KIAA1614
AL162431.1
STX6
MR1
IER5
CACNA1E
AL161734.2
ZNF648
AL355482.1
LINC01344
GLUL
RGSL1
RNASEL
RGS16
NPL
AL355999.1
DHX9
SHCBP1L
LAMC1
LAMC2
NMNAT2
SMG7-AS1
SMG7
NCF2
ARPC5
RGL1
COLGALT2
TSEN15
AL158011.1
C1orf21
AL713852.1
EDEM3
NIBAN1
RNF2
TRMT1L
SWT1
IVNS1ABP
HMCN1
PRG4
TPR
ODR4
AL096803.2
PDC
PTGS2
PLA2G4A
ERVMER61-1
LINC01701
BRINP3
AL138927.1
RGS18
AL390957.1
RGS1
RGS2
UCHL5
RO60
GLRX2
CDC73
B3GALT2
LINC01031
AL136456.1
AL357793.2
KCNT2
CFH
CFHR3
CFHR1
CFHR4
CFHR2
CFHR5
F13B
ASPM
ZBTB41
CRB1
DENND1B
AL365258.1
C1orf53
NEK7
AL450352.1
PTPRC
AL157402.2
MIR181A1HG
LINC02789
NR5A2
LINC00862
AC097065.2
AC104461.1
ZNF281
AL359834.1
KIF14
DDX59
DDX59-AS1
CAMSAP2
INAVA
KIF21B
TMEM9
TNNT2
LAD1
AC119427.1
TNNI1
CSRP1
AC096677.1
NAV1
IPO9-AS1
IPO9
LMOD1
TIMM17A
RNPEP
ELF3-AS1
ELF3
ARL8A
PTPN7
LGR6
PPP1R12B
SYT2
AC104463.2
KDM5B
RABIF
KLHL12
ADIPOR1
CYB5R1
TMEM183A
PPFIA4
MYBPH
CHI3L1
BTG2
FMOD
PRELP
ATP2B4
LAX1
ZC3H11A
ZBED6
SNRPE
AL592146.2
SOX13
ETNK2
ERLNC1
REN
KISS1
GOLT1A
PLEKHA6
AL606489.1
PPP1R15B
PIK3C2B
MDM4
AL512306.3
LRRN2
AL512306.2
NFASC
CNTN2
TMEM81
RBBP5
DSTYK
TMCC2
NUAK2
CDK18
MFSD4A
ELK4
SLC45A3
NUCKS1
RAB29
SLC41A1
AC119673.2
PM20D1
RAB7B
RHEX
FAM72A
SRGAP2
IKBKE
RASSF5
EIF2D
DYRK3
MAPKAPK2
IL10
IL19
FCMR
PIGR
FCAMR
PFKFB2
YOD1
C4BPB
C4BPA
AL445493.2
AL596218.1
CD55
CR1
AL137789.1
CR1L
CD46
MIR29B2CHG
CD34
PLXNA2
LINC01717
LAMB3
HSD11B1-AS1
G0S2
HSD11B1
TRAF3IP3
C1orf74
IRF6
UTP25
SYT14
HHAT
KCNH1
RCOR3
TRAF5
LINC00467
SLC30A1
LPGAT1
LPGAT1-AS1
INTS7
DTL
AL606468.1
LINC02608
PPP2R5A
AL360091.3
PACC1
NENF
AC092803.1
ATF3
BATF3
NSL1
TATDN3
SPATA45
FLVCR1-DT
FLVCR1
VASH2
ANGEL2
AC096639.1
PROX1-AS1
LINC00538
PROX1
AC011700.1
AL606537.1
LINC02775
SMYD2
AL929236.1
PTPN14
CENPF
KCNK2
KCTD3
USH2A
ESRRG
GPATCH2
SPATA17
RRP15
TGFB2
C1orf143
LYPLAL1-DT
LYPLAL1
AC096642.1
LYPLAL1-AS1
ZC3H11B
SLC30A10
EPRS
BPNT1
IARS2
RAB3GAP2
MARK1
C1orf115
MARC2
MARC1
LINC01352
HLX-AS1
HLX
AL360013.3
AL360013.4
DUSP10
LINC02257
LINC01705
AL356108.1
AL513314.2
TAF1A
TAF1A-AS1
MIA3
AL592148.3
AIDA
BROX
FAM177B
AL392172.1
DISP1
TLR5
AL359979.1
SUSD4
CAPN8
CAPN2
TP53BP2
AC138393.3
FBXO28
DEGS1
NVL
CNIH4
WDR26
CNIH3
DNAH14
LBR
ENAH
AC099066.2
AC099066.1
SRP9
EPHX1
AL591895.1
TMEM63A
LEFTY1
PYCR2
SDE2
AL512343.2
H3F3A
ACBD3
ACBD3-AS1
LIN9
PARP1
AL359704.3
STUM
ITPKB
ITPKB-AS1
PSEN2
COQ8A
CDC42BPA
AL353689.3
AL451047.1
AL627308.3
ZNF678
SNAP47
JMJD4
WNT9A
ARF1
C1orf35
MRPL55
GUK1
IBA57
OBSCN
AL353593.1
AL670729.2
TRIM11
RNF187
RHOU
LINC02814
AL162595.1
RAB4A
AL117350.1
CCSAP
NUP133
ABCB10
TAF5L
URB2
GALNT2
AL136988.2
PGBD5
COG2
AL158214.2
AGT
AL512328.1
C1orf198
AL118511.1
TTC13
ARV1
FAM89A
C1orf131
GNPAT
EXOC8
SPRTN
EGLN1
AL445524.1
TSNAX
LINC00582
DISC1
AL136171.2
SIPA1L2
LINC01744
MAP10
NTPCR
PCNX2
MAP3K21
KCNK1
SLC35F3
COA6-AS1
COA6
TARBP1
AL161640.2
IRF2BP2
AL160408.2
AL160408.1
AL160408.3
AL160408.6
LINC01132
AL391832.4
AL391832.1
AL391832.2
LINC01348
TOMM20
RBM34
ARID4B
GGPS1
TBCE
TBCE.1
B3GALNT2
GNG4
LYST
AL139161.1
LINC02768
NID1
GPR137B
ERO1B
EDARADD
LGALS8
AL359921.1
HEATR1
ACTN2
MTR
RYR2
AL356010.2
AL359551.1
CHRM3
CHRM3-AS2
FMN2
GREM2
AL358176.4
RGS7
AL359764.2
AL359764.3
FH
KMO
OPN3
CHML
WDR64
EXO1
PLD5
AL591686.2
CEP170
AL606534.1
SDCCAG8
AKT3
AKT3-IT1
LINC02774
ZBTB18
C1orf100
AL645465.1
ADSS
CATSPERE
DESI2
COX20
HNRNPU
AL356512.1
EFCAB2
KIF26B
KIF26B-AS1
SMYD3
AC118555.1
TFB2M
CNST
AL591623.1
SCCPDH
AL591848.4
LINC01341
AHCTF1
ZNF695
ZNF670
ZNF669
ZNF124
AL390728.6
AL390728.5
ZNF496
AC104335.1
NLRP3
OR2B11
AL390860.1
TRIM58
OR2L2
SH3BP5L
ZNF672
ZNF692
PGBD2
FAM110C
SH3YL1
ACP1
ALKAL2
AC079779.2
TMEM18
SNTG2
AC105450.1
AC144450.1
PXDN
MYT1L
LINC01250
AC019118.2
EIPR1
TRAPPC12
TRAPPC12-AS1
ADI1
AC231981.1
AC108488.1
RNASEH1
RNASEH1-AS1
AC108488.3
COLEC11
ALLC
DCDC2C
SILC1
NRIR
CMPK2
RSAD2
RNF144A
AC068481.1
LINC01871
LINC00298
LINC00299
U91324.1
LINC01814
AC011747.1
ID2-AS1
ID2
KIDINS220
MBOAT2
ASAP2
ITGB1BP1
CPSF3
IAH1
ADAM17
AC080162.1
AC073195.1
YWHAQ
TAF1B
AC010969.2
GRHL1
AC010969.1
AC104794.3
KLF11
CYS1
RRM2
AC007240.3
HPCAL1
ODC1
ODC1-DT
NOL10
AC007314.1
RN7SL832P
ATP6V1C2
PDIA6
AC062028.1
SLC66A3
ROCK2
LINC00570
AC099344.3
E2F6
GREB1
LPIN1
MIR3681HG
AC009486.2
TRIB2
AC064875.1
AC093912.1
LINC00276
LRATD1
AC068286.2
NBAS
DDX1
FAM49A
RAD51AP2
VSNL1
SMC6
GEN1
KCNS3
RDH14
NT5C1B
AC106053.1
AC130814.1
LINC01376
AC010096.1
LINC01808
LINC00954
TTC32
WDR35
LAPTM4A
AC098828.2
SDC1
PUM2
RHOB
HS1BP3
AC012065.3
HS1BP3-IT1
GDF7
AC012065.4
LDAH
AC115619.1
APOB
AC010872.2
TDRD15
AC018742.1
AC011752.1
AC009411.2
AC096570.1
AC096570.2
AC018467.1
KLHL29
AC011239.1
AC009242.1
ATAD2B
UBXN2A
MFSD2B
WDCP
FKBP1B
SF3B6
FAM228B
TP53I3
PFN4
FAM228A
ITSN2
AC009228.1
NCOA1
PTRHD1
CENPO
ADCY3
DNAJC27
DNAJC27-AS1
EFR3B
DNMT3A
DTNB
AC104699.1
ASXL2
KIF3C
RAB10
HADHA
HADHB
AC010896.1
ADGRF3
SELENOI
DRC1
SLC35F6
CENPA
DPYSL5
AC013472.2
MAPRE3
AC013472.1
TMEM214
AGBL5
OST4
EMILIN1
KHK
CGREF1
ABHD1
PREB
SLC5A6
ATRAID
CAD
UCN
MPV17
GTF3C2
GTF3C2-AS1
AC074117.1
EIF2B4
SNX17
ZNF513
PPM1G
NRBP1
KRTCAP3
IFT172
FNDC4
GCKR
C2orf16
ZNF512
CCDC121
GPN1
SUPT7L
SLC4A1AP
MRPL33
RBKS
BABAM2
AC093690.1
AC104695.2
FOSL2
AC104695.4
AC104695.3
PLB1
AC074011.1
AC092164.1
PPP1CB
SPDYA
TRMT61B
WDR43
TOGARAM2
CLIP4
ALK
AC016907.2
YPEL5
LBH
LCLAT1
GALNT14
EHD3
XDH
SRD5A2
AL133247.1
AL121652.1
MEMO1
DPY30
SPAST
AL121658.1
SLC30A6
NLRC4
YIPF4
AL133245.1
BIRC6
BIRC6-AS1
AL133243.2
AL133243.3
AL133243.1
TTC27
LINC00486
LTBP1
AC019127.1
RASGRP3
AC020594.1
FAM98A
AC017050.1
LINC01320
AC073218.1
