wahlbergioides	13433	wa5	Rubus	wahlbergii, kal	vägkant	Sk	S Mellby	Svinaberga mot Stenshuvud	6171151	1401707	2005-07-24		2005-07-24	UR													4		3		3		4												3																																															5			2							3								3																																			2																							4								5			3											4																		2																																																									3														5		3		1																																																										4				0		
wahlbergioides	13610	gf32b	Rubus	wahlbergii, kal	vägslänt	Sml	Kalmar	N om korsningen Norrlidsvägen-Norra vägen	6285530	1532330	2012-07-07		2012-07-07	TB	27.9												5		5		5		5												3																																															5			2							3								3																																				2																						4								5		2												5																			1																																																										3												5		5																																																												3	This is clearly wak; it is most likely mixed up			1		
wahlbergioides	13972	wa75	Rubus	wahlbergii	Skogsbryn - Vägkant	Sk	Blentarp	ca 200 m Ö om Slaggarps gård, på grusvägen mot Mauritstorp	6158438	1364780	2001-08-18	5	2014-06-28	UR													5		5		5		5												3																																															5			2							3								3																																																										4								5		4												3																			2																																																								4												5		5						2																																																								4				0		
wahlbergioides	13961	wa80	Rubus	wahlbergii		D	Holstein	Wentorf i N vägkanten	4406153	6018058	2014-06-25	4	2014-06-25	UR													4		4		4		5												3																																															5			1							3								3																																																										3								5		3												3																	1																																																										3												5				5																																																												3				1		
wahlbergioides	13995	wa95	Rubus	wahlbergii	vägkant	Sk	Smedstorp	Månstorp	6162906	1395502	2014-06-15	9	2014-06-15	UR													4		4		5		5												3																																															5			1							3								3																																																										3								5		3												2																	2																																																										4												5		5								1																																																						4				0		
wahlbergioides	18011	wa97	Rubus	wahlbergii	vägkant	Sk	S Mellby	Stenshuvud, 75 m V om Annorlundas övre P-plats, N-sidan mot bete	6170868	1403000	2014-06-15	5	2014-06-15	UR													4		5		5		5												3																																															5			3							5								5																																																										3								5		3												3																																																																											4												5		5		4																																																												4				0		
wahlbergioides	18007	wa99	Rubus	wahlbergii	gärdesgard	Sk	Vanstad	Vanstadstorp	6168176	1374959	2014-06-15	1	2014-06-15	UR													4		4		5		5												3																																															5			1							3								3																																																										4								5		4												3																	1																																																										4												5		5						2																																																								4				0		
wahlbergioides	13506	cy10	Rubus	dissimulans		Bh	Kareby	Vid motorvägen	6427090	1268665	2012-07-04		2012-07-04	TM	28.1												5		4		4		5												2																																															5			2							2								2																																			2																							4								5		2												5																			2																																																								5												5		4		3				2																																																												0		
wahlbergioides	13609	gf30b	Rubus	glauciformis	övergivet grustag	Bl	Jämjö	Häljarums naturreservat	6228939	1503287	2012-07-01		2012-07-01	TB													5		5		5		4												3																																															5			2							3								3																																				2																						4								5		2												4																	2																																																										4												5		5		5																																																																0		
wahlbergioides	13978	wa101n	Rubus	wahlbergii kal eller gothicus	vägkant	Sk	Börringe	S om rastplatsen vid Grönalund i svängen	6151828	1343611	2012-07-17	2	2014-06-28	UR	34.6												5		5		5		5												3																																															5										3								3																																																										4								5		4												3																			2																																																										3												4		5																																																												3				1		
wahlbergioides	18072	csx66n	Rubus	wahlbergii, kal	Klappersten	Sk	Brunnby	Möllehässle	6243487	1295398	2012-07-07		2014-07-04	UR													5		5		5		5												3																																															5										3								3																																																										3								5		4																																																																																							4												5		5																																																														3				1		
wahlbergioides	18123	wa52b	Rubus	wahlbergii	betesmark	Sk	Nävlinge	Nävlinge V-sidan vägen mot bäcken	6214632	1377483	2010-07-19	8	2014-08-24	UR													5		5		5		5												3																																															5										2								2																																																										4								5			3													3																					1																																																				5												5		5		4																																																												4				0		
wahlbergioides	18005	wa94	Rubus	wahlbergii	banvall	Sk	St Olof	På banvallen	6168238	1394910	2014-06-15	11	2014-06-15	UR													5		5		5		5												3																																															5										3								3																																																										3								5		3												3																	1																																																										3												5		5																																																														3				1		
wahlbergioides	13660	wa19	Rubus	wahlbergii – Spannarpsformen	vägkant	Hl	Spannarp	V vägkanten, 50-150 m N vägskälet S om Noregård	6333180	1292919	2003-08-17	6	2003-08-17	UR	35.4												5		5		5		5												2																																															5										2								2																																			1																							3								5			2											5																			2																																																								5		3												5		3																																																												4				0		
wahlbergioides	13679	wa51b	Rubus	wahlbergii, kal; TB conf	vägkant	Sml	Kalmar	Lybecksvägens V ände	6284953	1531567	2012-07-07		2012-07-07	TB	34.3												5		5		5		5												3																																															5										2								2																																				1																						4								5			3											3																					2																																																								3														5																																																												2				0		
wahlbergioides	13680	wa52a	Rubus	wahlbergii, kal; TB conf	vägslänt	Sml	Kalmar	mellan Djurängsvägen och Ölandsleden vid Skräddaretorpsvägen	6284079	1532622	2012-07-07		2012-07-07	TB													5		5		5		5												3																																															5										2								2																																2																										5								5			2									5																					2																																																										4										4		5		4																																																												4				0		
wahlbergioides	13689	wak110	Rubus	wahlbergii kal	banvall	Bl	Hällaryd	Kopprarp, vid järnvägskorsning	6230479	1446155	2013-07-24		2013-07-24	TB													5		5		5		5												3																																															5										2								2																																		1																								4								5			3											3																	2																																																										3																5																																																												2				0		
wahlbergioides	13690	wak111	Rubus	wahlbergii kal	vägkant	Bl	Karlshamn	V om Stockholmsledet	6227488	1443592	2013-07-24		2013-07-24	TB													5		4		4		5												3																																															5										2								2																																		1																								4								5			2											3																			2																																																								3																5																																																												2				0		
wahlbergioides	18113	wa46	Rubus	wahlbergii, kal		Sml	Lindsdal	Lindsdal, Ö om Nils Holgerssons väg, N om Surrebäcken	6290888	1530285	2014-08-31		2014-08-31	TB													5		4		4		5												3																																															5										2								2																																																										1								4			1?											5																			1																																																										4										5		5		4																																																												4				0		
wahlbergioides	18109	wa49	Rubus	wahlbergii, kal		Sml	Kalmar	Kalmar, Laboratorieholmen	6282402	1535017	2014-08-30		2014-08-30	TB													5		5		5		5												3																																															5										3								3																																																										3								5		3																															1				1																																																						5										4				5																																																												3				1		
wahlbergioides	18097	wa53b	Rubus	wahlbergii, kal		Sml	Kalmar	Gudmundsdämmet	6281160	1531715			2012-07-07	TB													5		5		5		5												3																																															5										3								3																																																										1								4														5																																																																													5										5		5																																																														3				1		
wahlbergioides	18098	wa55b	Rubus	wahlbergii, kal		Sml	Kalmar	Polishuset	6282870	1532860	2004-08-22		2012-07-07	TB													5		5		5		5												3																																															5										2								2																																																																																																																																																													5										5				3																																																												3				1		
wahlbergioides	18099	wa56b	Rubus	wahlbergii, kal		Bl	Rom	Lilla Rom 500 m Ö	6222924	1501323	2014-07-16		2014-07-16	TB													5		5		5		5												3																																															5										3								3																																																										3								5														3																			1																																																								4														5																																																														2				0		
wahlbergioides	13967	wa74	Rubus	wahlbergii	Vägkant	Sk	Torna-Hällestad	 vid vägen till Åkestorp (V-sida), 200 m SO Åkestorp 	6175166	1348352	1999-08-22	1	2014-06-28	UR													5		5		5		5												3																																															5										3								3																																																										4								5		4												3																			2																																																										4								4				5		4																																																												4				0		
nordicus	13642	nd2	Rubus	nordicus		Bh	Stala	Nordhagen	6455991	1257269	2012-07-09		2012-07-09	TM													4		4		4		5												3																																															5			5							4								3																																		2																										3										4				5						5																	1																																																										5						5								4		3				1																																																								5				0		
