Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC112447574,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
TRPC7,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
MIR2459,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC101905033,0.22926215531767036,-2.1492019558011637,3.772114802286666,-0.5697604840919241,0.5688401605165135,NA
LOC112447440,0.22926215531767036,-2.1492019558011637,3.772114802286666,-0.5697604840919241,0.5688401605165135,NA
LOC107132640,0.22926215531767036,-2.1492019558011637,3.772114802286666,-0.5697604840919241,0.5688401605165135,NA
LOC107132646,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112447557,0.19289230760400208,1.7808530765454293,3.7791569672240386,0.4712302484364777,0.6374763200544359,NA
GABRB2,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC100296257,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
IFNT2,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC782470,0.21758431272225934,0.5747733308921444,3.812915511407015,0.1507437888861182,0.8801778293633258,NA
LOC112447796,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC786322,0.5435953626689576,0,3.816984489962444,0,1,NA
LOC107132715,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448100,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC112448040,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC112448136,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC104969614,0.33240696450269985,1.3833388912658071,3.808681034295286,0.36320681065427257,0.716450400369653,NA
GRM1,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448081,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448111,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
BHMT,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC112448376,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC101903602,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC104970757,0.22926215531767036,-2.1492019558011637,3.772114802286666,-0.5697604840919241,0.5688401605165135,NA
LOC100337168,0.19289230760400208,1.7808530765454293,3.7791569672240386,0.4712302484364777,0.6374763200544359,NA
LOC781785,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC100296195,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448609,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC104973108,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC101907464,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC107132861,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC112448605,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC101903945,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC112448565,0.22500022992777646,1.4054272063008137,3.8072413561001186,0.36914581316180034,0.7120190426490589,NA
LOC112448505,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
C10H14orf39,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448633,0.205389219819033,-2.007178809581347,3.7816979285581747,-0.5307612737717029,0.5955842192196295,NA
SYT16,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC101906075,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448568,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448739,0.5435953626689576,0,3.816984489962444,0,1,NA
LOC112448759,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
ABCG5,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112448771,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC112448888,0.19289230760400208,1.7808530765454293,3.7791569672240386,0.4712302484364777,0.6374763200544359,NA
LOC112448902,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC112448815,0.23105652989437342,-0.8735066927873878,3.811960420621231,-0.2291489408080038,0.8187531560128846,NA
LOC112448880,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC529516,0.19289230760400208,1.7808530765454293,3.7791569672240386,0.4712302484364777,0.6374763200544359,NA
OR1B1,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC112448839,0.5435953626689576,0,3.816984489962444,0,1,NA
LOC112448956,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LCN8,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC790024,0.20501559017522483,0.5447131211145054,3.81427608517892,0.14280904395753882,0.8864409942523472,NA
KCTD4,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112449176,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112449058,0.24379868184487755,-2.229062406343199,3.767116367673667,-0.5917158348149799,0.5540408911878181,NA
LOC112449075,0.2294236032956405,2.005823247612947,3.7647460801814225,0.5327911112444234,0.5941781875863434,NA
LOC100337390,0.205389219819033,-2.007178809581347,3.7816979285581747,-0.5307612737717029,0.5955842192196295,NA
GRK1,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC112449104,0.5435953626689576,0,3.816984489962444,0,1,NA
LOC104973708,0.205389219819033,-2.007178809581347,3.7816979285581747,-0.5307612737717029,0.5955842192196295,NA
TRNAF-GAA,0.33838142644844876,0,3.8169844899624445,0,1,NA
LOC104973722,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
MYO3A,0.5435953626689576,0,3.816984489962444,0,1,NA
LOC101903449,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC530211,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC785772,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC619029,0.2189802517913624,1.9451845086926345,3.768417356106976,0.516180753052825,0.6057281716299159,NA
LOC112449433,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
LOC104973875,0.205389219819033,-2.007178809581347,3.7816979285581747,-0.5307612737717029,0.5955842192196295,NA
LOC112449337,0.22926215531767036,-2.1492019558011637,3.772114802286666,-0.5697604840919241,0.5688401605165135,NA
MIR193A-2,0.25315443245188296,-2.2783268035793394,3.764164875415334,-0.6052675371527001,0.5450012474838499,NA
LOC107133108,0.20571013168777028,0,3.816984489962444,0,1,NA
LOC100139328,0.23464527904777954,2.0353907112663605,3.7630098645197068,0.5408943331393973,0.5885804170881674,NA
