Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
dubia,Bishop,2021,2021230,230,8/18/21,215,92,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14607.2,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
dubia,Bishop,2021,2021244,244,9/1/21,213,54,158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004694836,237.7920188,0,0,0,0,0,0,0,50649.7,93769.4,21401.3,317.1,21005,396.3,50649.7,0,0,0
dubia,Bishop,2021,2021258,258,9/15/21,248,106,117,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.100806452,1698.518145,0,0,0,0,0,0,0,16849.3,57516.4,14675.2,188.1,23031.8,2772,16849.3,0,0,0
dubia,Bishop,2021,2021272,272,9/29/21,205,49,103,0,0,0,0,0,5,0,0,0,0,0,49,0,0,0,0,0,0,0.024390244,291.7682927,0,0,0,0,0,0,0.23902439,11962.5,49858.2,17992.9,794.9,17992.9,877.2,11962.5,0,237.8,0
dubia,Bishop,2021,2021286,286,10/13/21,291,24,98,15,1,0,0,1,0,0,0,0,0,0,152,0,0,0,0,0.003436426,42.4628866,0,0,0,0,0,0,0,0,0.52233677,12356.7,51422.5,9851.4,84.9,28874.7,254.8,12356.7,0,0,0
dubia,Bishop,2021,2021300,300,10/27/21,113,17,69,5,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0.008849558,27.17610619,0,0,0,0,0,0,0.185840708,3070.9,74183.7,19648.4,74.1,50751.6,597.9,3070.9,0,40.8,0
dubia,Bishop,2021,2021314,314,11/10/21,58,19,25,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0.017241379,27.17586207,0,0,0,0,0,0,0.224137931,1576.2,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
mendotae,Bishop,2021,2021160,160,6/9/21,69,20,44,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.072463768,792.6376812,0,0,0,0,0,0,0,0,0,10938.4,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
mendotae,Bishop,2021,2021174,174,6/23/21,26,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.6,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
parvula,Bishop,2021,2021174,174,6/23/21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.5,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
parvula,Bishop,2021,2021202,202,7/21/21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.9,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
